model,bench,variant,k,sample_method,tp,tag,step,finished_s,output_tokens
Qwen3-30B-A3B,math500,fixed_k3,3,greedy,1,qwen3_30ba3b_math500_rollout_fixed_k3_20260712,3,20.73171972198179,85924
Qwen3-30B-A3B,math500,fixed_k3,3,greedy,1,qwen3_30ba3b_math500_rollout_fixed_k3_20260712,3,22.71749655500753,129310
Qwen3-30B-A3B,openmath,baseline,0,-,1,qwen3_30ba3b_openmath_rollout_baseline_20260712,0,53.593861385999844,102987
Qwen3-30B-A3B,openmath,baseline,0,-,1,qwen3_30ba3b_openmath_rollout_baseline_20260712,0,53.593861385999844,131072
Qwen3-30B-A3B,openmath,baseline,0,-,1,qwen3_30ba3b_openmath_rollout_baseline_20260712,0,53.593861385999844,131072
Qwen3-30B-A3B,openmath,baseline,0,-,1,qwen3_30ba3b_openmath_rollout_baseline_20260712,0,53.593861385999844,131072
Qwen3-30B-A3B,openmath,baseline,0,-,1,qwen3_30ba3b_openmath_rollout_baseline_20260712,1,55.32819549499982,131072
Qwen3-30B-A3B,openmath,baseline,0,-,1,qwen3_30ba3b_openmath_rollout_baseline_20260712,1,55.32819549499982,126504
Qwen3-30B-A3B,openmath,baseline,0,-,1,qwen3_30ba3b_openmath_rollout_baseline_20260712,1,55.32819549499982,131072
Qwen3-30B-A3B,openmath,baseline,0,-,1,qwen3_30ba3b_openmath_rollout_baseline_20260712,1,55.32819549499982,131072
Qwen3-30B-A3B,openmath,baseline,0,-,1,qwen3_30ba3b_openmath_rollout_baseline_20260712,2,45.49335999300001,102946
Qwen3-30B-A3B,openmath,baseline,0,-,1,qwen3_30ba3b_openmath_rollout_baseline_20260712,2,8.293839028000548,17394
Qwen3-30B-A3B,openmath,baseline,0,-,1,qwen3_30ba3b_openmath_rollout_baseline_20260712,2,45.49335999300001,130790
Qwen3-30B-A3B,openmath,baseline,0,-,1,qwen3_30ba3b_openmath_rollout_baseline_20260712,2,40.450578725000014,83286
Qwen3-30B-A3B,openmath,baseline,0,-,1,qwen3_30ba3b_openmath_rollout_baseline_20260712,3,49.098112196999864,131072
Qwen3-30B-A3B,openmath,baseline,0,-,1,qwen3_30ba3b_openmath_rollout_baseline_20260712,3,49.098112196999864,131072
Qwen3-30B-A3B,openmath,baseline,0,-,1,qwen3_30ba3b_openmath_rollout_baseline_20260712,3,34.68802289300038,68749
Qwen3-30B-A3B,openmath,baseline,0,-,1,qwen3_30ba3b_openmath_rollout_baseline_20260712,3,47.594699678000325,86848
Qwen3-30B-A3B,openmath,dynamic,5,greedy,1,qwen3_30ba3b_openmath_rollout_dynamic_20260712,0,40.24713054599124,109065
Qwen3-30B-A3B,openmath,dynamic,5,greedy,1,qwen3_30ba3b_openmath_rollout_dynamic_20260712,0,40.953259476984385,131072
Qwen3-30B-A3B,openmath,dynamic,5,greedy,1,qwen3_30ba3b_openmath_rollout_dynamic_20260712,0,39.48756168800173,131072
Qwen3-30B-A3B,openmath,dynamic,5,greedy,1,qwen3_30ba3b_openmath_rollout_dynamic_20260712,0,38.971563119994244,131072
Qwen3-30B-A3B,openmath,dynamic,5,greedy,1,qwen3_30ba3b_openmath_rollout_dynamic_20260712,1,32.359862846991746,131072
Qwen3-30B-A3B,openmath,dynamic,5,greedy,1,qwen3_30ba3b_openmath_rollout_dynamic_20260712,1,31.6599908649805,128596
Qwen3-30B-A3B,openmath,dynamic,5,greedy,1,qwen3_30ba3b_openmath_rollout_dynamic_20260712,1,34.17274397300207,131072
Qwen3-30B-A3B,openmath,dynamic,5,greedy,1,qwen3_30ba3b_openmath_rollout_dynamic_20260712,1,33.72639622798306,131072
Qwen3-30B-A3B,openmath,dynamic,5,greedy,1,qwen3_30ba3b_openmath_rollout_dynamic_20260712,2,39.498302300984506,99629
Qwen3-30B-A3B,openmath,dynamic,5,greedy,1,qwen3_30ba3b_openmath_rollout_dynamic_20260712,2,14.045908100990346,21559
Qwen3-30B-A3B,openmath,dynamic,5,greedy,1,qwen3_30ba3b_openmath_rollout_dynamic_20260712,2,41.26916658200207,130434
Qwen3-30B-A3B,openmath,dynamic,5,greedy,1,qwen3_30ba3b_openmath_rollout_dynamic_20260712,2,38.00210943198181,77615
Qwen3-30B-A3B,openmath,dynamic,5,greedy,1,qwen3_30ba3b_openmath_rollout_dynamic_20260712,3,33.14631750801345,131072
Qwen3-30B-A3B,openmath,dynamic,5,greedy,1,qwen3_30ba3b_openmath_rollout_dynamic_20260712,3,31.73327543999767,131072
Qwen3-30B-A3B,openmath,dynamic,5,greedy,1,qwen3_30ba3b_openmath_rollout_dynamic_20260712,3,23.199057101999642,66258
Qwen3-30B-A3B,openmath,dynamic,5,greedy,1,qwen3_30ba3b_openmath_rollout_dynamic_20260712,3,28.82722643399029,87651
Qwen3-30B-A3B,openmath,fixed_k3,3,greedy,1,qwen3_30ba3b_openmath_rollout_fixed_k3_20260712,0,26.831548993941396,107789
Qwen3-30B-A3B,openmath,fixed_k3,3,greedy,1,qwen3_30ba3b_openmath_rollout_fixed_k3_20260712,0,27.59236285695806,131072
Qwen3-30B-A3B,openmath,fixed_k3,3,greedy,1,qwen3_30ba3b_openmath_rollout_fixed_k3_20260712,0,26.626625417964533,131072
Qwen3-30B-A3B,openmath,fixed_k3,3,greedy,1,qwen3_30ba3b_openmath_rollout_fixed_k3_20260712,0,26.328069527167827,131072
Qwen3-30B-A3B,openmath,fixed_k3,3,greedy,1,qwen3_30ba3b_openmath_rollout_fixed_k3_20260712,1,27.18545358395204,131072
Qwen3-30B-A3B,openmath,fixed_k3,3,greedy,1,qwen3_30ba3b_openmath_rollout_fixed_k3_20260712,1,26.597837763139978,128467
Qwen3-30B-A3B,openmath,fixed_k3,3,greedy,1,qwen3_30ba3b_openmath_rollout_fixed_k3_20260712,1,28.62818455696106,131072
Qwen3-30B-A3B,openmath,fixed_k3,3,greedy,1,qwen3_30ba3b_openmath_rollout_fixed_k3_20260712,1,28.31740284198895,131072
Qwen3-30B-A3B,openmath,fixed_k3,3,greedy,1,qwen3_30ba3b_openmath_rollout_fixed_k3_20260712,2,21.055425780126825,101273
Qwen3-30B-A3B,openmath,fixed_k3,3,greedy,1,qwen3_30ba3b_openmath_rollout_fixed_k3_20260712,2,7.421489011030644,21852
Qwen3-30B-A3B,openmath,fixed_k3,3,greedy,1,qwen3_30ba3b_openmath_rollout_fixed_k3_20260712,2,22.02281614509411,131072
Qwen3-30B-A3B,openmath,fixed_k3,3,greedy,1,qwen3_30ba3b_openmath_rollout_fixed_k3_20260712,2,21.13794197817333,78891
Qwen3-30B-A3B,openmath,fixed_k3,3,greedy,1,qwen3_30ba3b_openmath_rollout_fixed_k3_20260712,3,23.313424453139305,131072
Qwen3-30B-A3B,openmath,fixed_k3,3,greedy,1,qwen3_30ba3b_openmath_rollout_fixed_k3_20260712,3,22.81338447215967,131072
Qwen3-30B-A3B,openmath,fixed_k3,3,greedy,1,qwen3_30ba3b_openmath_rollout_fixed_k3_20260712,3,14.391734396107495,66706
Qwen3-30B-A3B,openmath,fixed_k3,3,greedy,1,qwen3_30ba3b_openmath_rollout_fixed_k3_20260712,3,18.4494259969797,86306
Qwen3-30B-A3B,swe_verified,baseline,0,-,1,qwen3_30ba3b_swe_verified_rollout_baseline_20260712,0,33.21591713302769,47500
Qwen3-30B-A3B,swe_verified,baseline,0,-,1,qwen3_30ba3b_swe_verified_rollout_baseline_20260712,0,34.50169029599056,46217
Qwen3-30B-A3B,swe_verified,baseline,0,-,1,qwen3_30ba3b_swe_verified_rollout_baseline_20260712,0,34.02976379892789,68148
Qwen3-30B-A3B,swe_verified,baseline,0,-,1,qwen3_30ba3b_swe_verified_rollout_baseline_20260712,0,22.88911600294523,50500
Qwen3-30B-A3B,swe_verified,baseline,0,-,1,qwen3_30ba3b_swe_verified_rollout_baseline_20260712,1,39.84884739713743,32163
Qwen3-30B-A3B,swe_verified,baseline,0,-,1,qwen3_30ba3b_swe_verified_rollout_baseline_20260712,1,47.96432787319645,105104
Qwen3-30B-A3B,swe_verified,baseline,0,-,1,qwen3_30ba3b_swe_verified_rollout_baseline_20260712,1,47.96432787319645,63802
Qwen3-30B-A3B,swe_verified,baseline,0,-,1,qwen3_30ba3b_swe_verified_rollout_baseline_20260712,1,47.96432787319645,131072
Qwen3-30B-A3B,swe_verified,baseline,0,-,1,qwen3_30ba3b_swe_verified_rollout_baseline_20260712,2,40.326141234021634,67659
Qwen3-30B-A3B,swe_verified,baseline,0,-,1,qwen3_30ba3b_swe_verified_rollout_baseline_20260712,2,42.70823874301277,45097
Qwen3-30B-A3B,swe_verified,baseline,0,-,1,qwen3_30ba3b_swe_verified_rollout_baseline_20260712,2,42.70823874301277,47573
Qwen3-30B-A3B,swe_verified,baseline,0,-,1,qwen3_30ba3b_swe_verified_rollout_baseline_20260712,2,42.70823874301277,97027
Qwen3-30B-A3B,swe_verified,baseline,0,-,1,qwen3_30ba3b_swe_verified_rollout_baseline_20260712,3,44.89868813985959,77454
Qwen3-30B-A3B,swe_verified,baseline,0,-,1,qwen3_30ba3b_swe_verified_rollout_baseline_20260712,3,44.89868813985959,56028
Qwen3-30B-A3B,swe_verified,baseline,0,-,1,qwen3_30ba3b_swe_verified_rollout_baseline_20260712,3,44.89868813985959,115633
Qwen3-30B-A3B,swe_verified,baseline,0,-,1,qwen3_30ba3b_swe_verified_rollout_baseline_20260712,3,30.7884397378657,50132
Qwen3-30B-A3B,swe_verified,dynamic,5,greedy,1,qwen3_30ba3b_swe_verified_rollout_dynamic_20260712,0,21.73325432499405,45691
Qwen3-30B-A3B,swe_verified,dynamic,5,greedy,1,qwen3_30ba3b_swe_verified_rollout_dynamic_20260712,0,18.42953975198907,37475
Qwen3-30B-A3B,swe_verified,dynamic,5,greedy,1,qwen3_30ba3b_swe_verified_rollout_dynamic_20260712,0,21.136622874008026,61904
Qwen3-30B-A3B,swe_verified,dynamic,5,greedy,1,qwen3_30ba3b_swe_verified_rollout_dynamic_20260712,0,15.81356365699321,49853
Qwen3-30B-A3B,swe_verified,dynamic,5,greedy,1,qwen3_30ba3b_swe_verified_rollout_dynamic_20260712,1,15.951637523976387,34035
Qwen3-30B-A3B,swe_verified,dynamic,5,greedy,1,qwen3_30ba3b_swe_verified_rollout_dynamic_20260712,1,28.16056732099969,102505
Qwen3-30B-A3B,swe_verified,dynamic,5,greedy,1,qwen3_30ba3b_swe_verified_rollout_dynamic_20260712,1,21.128523444000166,55294
Qwen3-30B-A3B,swe_verified,dynamic,5,greedy,1,qwen3_30ba3b_swe_verified_rollout_dynamic_20260712,1,26.26460357400356,130720
Qwen3-30B-A3B,swe_verified,dynamic,5,greedy,1,qwen3_30ba3b_swe_verified_rollout_dynamic_20260712,2,21.492401169991354,65445
Qwen3-30B-A3B,swe_verified,dynamic,5,greedy,1,qwen3_30ba3b_swe_verified_rollout_dynamic_20260712,2,22.397466242982773,54828
Qwen3-30B-A3B,swe_verified,dynamic,5,greedy,1,qwen3_30ba3b_swe_verified_rollout_dynamic_20260712,2,18.462212370999623,50463
Qwen3-30B-A3B,swe_verified,dynamic,5,greedy,1,qwen3_30ba3b_swe_verified_rollout_dynamic_20260712,2,24.400913388992194,79122
Qwen3-30B-A3B,swe_verified,dynamic,5,greedy,1,qwen3_30ba3b_swe_verified_rollout_dynamic_20260712,3,22.443977057992015,74170
Qwen3-30B-A3B,swe_verified,dynamic,5,greedy,1,qwen3_30ba3b_swe_verified_rollout_dynamic_20260712,3,25.86026489501819,53589
Qwen3-30B-A3B,swe_verified,dynamic,5,greedy,1,qwen3_30ba3b_swe_verified_rollout_dynamic_20260712,3,26.887454828014597,114710
Qwen3-30B-A3B,swe_verified,dynamic,5,greedy,1,qwen3_30ba3b_swe_verified_rollout_dynamic_20260712,3,22.35590608601342,56394
Qwen3-30B-A3B,swe_verified,fixed_k3,3,greedy,1,qwen3_30ba3b_swe_verified_rollout_fixed_k3_20260712,0,18.309578595995845,44236
Qwen3-30B-A3B,swe_verified,fixed_k3,3,greedy,1,qwen3_30ba3b_swe_verified_rollout_fixed_k3_20260712,0,14.852253171993652,36820
Qwen3-30B-A3B,swe_verified,fixed_k3,3,greedy,1,qwen3_30ba3b_swe_verified_rollout_fixed_k3_20260712,0,17.677392988000065,60704
Qwen3-30B-A3B,swe_verified,fixed_k3,3,greedy,1,qwen3_30ba3b_swe_verified_rollout_fixed_k3_20260712,0,15.52669864899508,50540
Qwen3-30B-A3B,swe_verified,fixed_k3,3,greedy,1,qwen3_30ba3b_swe_verified_rollout_fixed_k3_20260712,1,15.088239401004103,34035
Qwen3-30B-A3B,swe_verified,fixed_k3,3,greedy,1,qwen3_30ba3b_swe_verified_rollout_fixed_k3_20260712,1,26.719718478001596,102959
Qwen3-30B-A3B,swe_verified,fixed_k3,3,greedy,1,qwen3_30ba3b_swe_verified_rollout_fixed_k3_20260712,1,23.692663255002117,57201
Qwen3-30B-A3B,swe_verified,fixed_k3,3,greedy,1,qwen3_30ba3b_swe_verified_rollout_fixed_k3_20260712,1,25.454826660003164,131072
Qwen3-30B-A3B,swe_verified,fixed_k3,3,greedy,1,qwen3_30ba3b_swe_verified_rollout_fixed_k3_20260712,2,20.626762998996128,66824
Qwen3-30B-A3B,swe_verified,fixed_k3,3,greedy,1,qwen3_30ba3b_swe_verified_rollout_fixed_k3_20260712,2,20.573136167993653,52917
Qwen3-30B-A3B,swe_verified,fixed_k3,3,greedy,1,qwen3_30ba3b_swe_verified_rollout_fixed_k3_20260712,2,16.83715426499839,50275
Qwen3-30B-A3B,swe_verified,fixed_k3,3,greedy,1,qwen3_30ba3b_swe_verified_rollout_fixed_k3_20260712,2,21.935798162994615,75482
Qwen3-30B-A3B,swe_verified,fixed_k3,3,greedy,1,qwen3_30ba3b_swe_verified_rollout_fixed_k3_20260712,3,22.054879994997464,74146
Qwen3-30B-A3B,swe_verified,fixed_k3,3,greedy,1,qwen3_30ba3b_swe_verified_rollout_fixed_k3_20260712,3,20.45751295900118,53865
Qwen3-30B-A3B,swe_verified,fixed_k3,3,greedy,1,qwen3_30ba3b_swe_verified_rollout_fixed_k3_20260712,3,25.0167099149985,118320
Qwen3-30B-A3B,swe_verified,fixed_k3,3,greedy,1,qwen3_30ba3b_swe_verified_rollout_fixed_k3_20260712,3,21.845708255998034,56402
