scenario,label,k,batch_size,latency_s,output_tok_s_per_gpu,speedup_vs_baseline,acceptance_rate_pct,mean_acceptance_length,accepted_tokens_per_draft,output_json
PARD OpenMath ISL=1024 OSL=1024,PARD K=7,7,8,11.947043959982693,171.42315763295866,0.9678884646697559,36.36026457315943,3.5452185201211597,2.5452185201211597,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_235b_a22b_pard_openmath_isl1024_osl1024_k7_v0202_retry4_standalone_specdec_breakdown_k7_20260608_065041/breakdown.json
PARD OpenMath ISL=1024 OSL=1024,PARD K=7,7,16,11.719473919016309,349.5037429413729,1.1920753377125133,35.528875379939215,3.487021276595745,2.487021276595745,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_235b_a22b_pard_openmath_isl1024_osl1024_k7_v0202_retry4_standalone_specdec_breakdown_k7_20260608_065041/breakdown.json
PARD OpenMath ISL=1024 OSL=1024,PARD K=7,7,32,12.981483253010083,631.0526956232432,1.3035935118605098,35.79601876040759,3.505721313228532,2.505721313228532,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_235b_a22b_pard_openmath_isl1024_osl1024_k7_v0202_retry4_standalone_specdec_breakdown_k7_20260608_065041/breakdown.json
PARD OpenMath ISL=1024 OSL=1024,PARD K=9,9,1,11.573460243176669,22.119573111328496,0.7122240750589125,26.600441501103756,3.3940397350993377,2.3940397350993377,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_235b_a22b_pard_openmath_isl1024_osl1024_k9_v0202_retry4_standalone_specdec_breakdown_k9_20260608_065041/breakdown.json
PARD OpenMath ISL=1024 OSL=1024,PARD K=9,9,2,10.032717367168516,51.03303335101318,0.7913573801872837,22.617870095614904,3.035608308605341,2.035608308605341,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_235b_a22b_pard_openmath_isl1024_osl1024_k9_v0202_retry4_standalone_specdec_breakdown_k9_20260608_065041/breakdown.json
PARD OpenMath ISL=1024 OSL=1024,PARD K=9,9,4,10.095685712993145,101.42946493293786,0.9868145983910308,30.173107890499196,3.7155797101449277,2.7155797101449277,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_235b_a22b_pard_openmath_isl1024_osl1024_k9_v0202_retry4_standalone_specdec_breakdown_k9_20260608_065041/breakdown.json
PARD OpenMath ISL=1024 OSL=1024,PARD K=9,9,8,11.02917199395597,185.68937007440923,1.0484382728011243,30.11417936723505,3.7102761430511544,2.7102761430511544,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_235b_a22b_pard_openmath_isl1024_osl1024_k9_v0202_retry4_standalone_specdec_breakdown_k9_20260608_065041/breakdown.json
PARD OpenMath ISL=1024 OSL=1024,PARD K=9,9,16,12.820955086033791,319.47697909509736,1.0896610850031594,28.58145727426773,3.572331154684096,2.572331154684096,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_235b_a22b_pard_openmath_isl1024_osl1024_k9_v0202_retry4_standalone_specdec_breakdown_k9_20260608_065041/breakdown.json
PARD OpenMath ISL=1024 OSL=1024,PARD K=9,9,32,12.580885831732303,651.1465177863407,1.345102210550756,29.98284046643871,3.698455641979484,2.698455641979484,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_235b_a22b_pard_openmath_isl1024_osl1024_k9_v0202_retry4_standalone_specdec_breakdown_k9_20260608_065041/breakdown.json
PARD OpenMath ISL=1024 OSL=1024,PARD K=12,12,1,11.052553778048605,23.162067802686444,0.7457911702993707,14.895549500454134,2.7874659400544957,1.7874659400544959,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_235b_a22b_pard_openmath_isl1024_osl1024_k12_v0202_retry3_standalone_specdec_breakdown_k12_20260604_195136/breakdown.json
PARD OpenMath ISL=1024 OSL=1024,PARD K=12,12,2,12.56442537996918,40.7499733984059,0.631900360879171,19.704433497536947,3.3645320197044337,2.3645320197044337,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_235b_a22b_pard_openmath_isl1024_osl1024_k12_v0202_retry3_standalone_specdec_breakdown_k12_20260604_195136/breakdown.json
PARD OpenMath ISL=1024 OSL=1024,PARD K=12,12,4,10.779059225693345,94.99901415878276,0.9242522778427885,23.501087294190743,3.8201304753028893,2.8201304753028893,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_235b_a22b_pard_openmath_isl1024_osl1024_k12_v0202_retry3_standalone_specdec_breakdown_k12_20260604_195136/breakdown.json
PARD OpenMath ISL=1024 OSL=1024,PARD K=12,12,8,10.706056053284556,191.29359960446737,1.080080841928914,21.8671679197995,3.6240601503759398,2.6240601503759398,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_235b_a22b_pard_openmath_isl1024_osl1024_k12_v0202_retry3_standalone_specdec_breakdown_k12_20260604_195136/breakdown.json
