checked_at_utc,job_id,state,reason,elapsed,start_time,nodes,exit_code,method,max_steps,target_model,draft_model,num_speculative_tokens,specdec_method,run_id,exp_suffix
2026-06-14T23:04:30+00:00,2120534,FAILED,None,00:16:46,2026-06-14T09:59:21,"lyris[0271-0276,0279-0288]",1:0,baseline,1,/lustre/fsw/coreai_dlalgo_llm/users/sna/model_snapshots/Qwen3-235B-A22B-Thinking-2507,,0,,20260614_lyris_swerl_qwen235b_fullgrpo_stagedsif_smoke_r2,specdec-baseline-steps1-20260614_lyris_swerl_qwen235b_fullgrpo_stagedsif_smoke_r2
2026-06-14T23:04:30+00:00,2120535,FAILED,None,00:18:17,2026-06-14T09:59:21,"lyris[0253-0264,0266-0269]",1:0,pard,1,/lustre/fsw/coreai_dlalgo_llm/users/sna/model_snapshots/Qwen3-235B-A22B-Thinking-2507,amd/PARD-Qwen3-0.6B,5,draft_model,20260614_lyris_swerl_qwen235b_fullgrpo_stagedsif_smoke_r2,specdec-pard-steps1-20260614_lyris_swerl_qwen235b_fullgrpo_stagedsif_smoke_r2
2026-06-14T23:04:30+00:00,2120536,FAILED,None,00:35:36,2026-06-14T09:59:21,lyris[0092-0107],1:0,pard2,1,/lustre/fsw/coreai_dlalgo_llm/users/sna/model_snapshots/Qwen3-235B-A22B-Thinking-2507,amd/PARD2-Qwen3-8B,1,pard2,20260614_lyris_swerl_qwen235b_fullgrpo_stagedsif_smoke_r2,specdec-pard2-steps1-20260614_lyris_swerl_qwen235b_fullgrpo_stagedsif_smoke_r2
