model_group,model,method,method_label,temperature,batch_size,state,job_id,tok_s_gpu,acceptance_pct,mean_accept_len,source,note,speedup
qwen32,Qwen3-32B,pard,PARD K16,0.0,32,COMPLETED,3460344,198.2569,22.6118,3.6179,final breakdown,,1.3880301884785131
qwen32,Qwen3-32B,pard,PARD K16,1.0,1,COMPLETED,3460346,14.2184,12.6529,2.0245,final breakdown,,1.940601548668735
qwen32,Qwen3-32B,pard,PARD K16,1.0,2,RUNNING,3463077,25.35,8.4,2.34,live log; tok/s/GPU adjusted to TP=2 for qwen32,live,1.639290937575154
qwen32,Qwen3-32B,pard,PARD K16,1.0,4,RUNNING,3463079,76.3,17.9,3.86,live log; tok/s/GPU adjusted to TP=2 for qwen32,live,2.4474325562243955
qwen32,Qwen3-32B,pard,PARD K16,1.0,8,RUNNING,3463085,122.7,12.6,3.01,live log; tok/s/GPU adjusted to TP=2 for qwen32,live,1.9682675549668363
qwen32,Qwen3-32B,pard,PARD K16,1.0,16,RUNNING,3463087,200.55,14.9,3.38,live log; tok/s/GPU adjusted to TP=2 for qwen32,live,1.6050507326486418
qwen32,Qwen3-32B,pard,PARD K16,1.0,32,RUNNING,3463089,316.3,13.4,3.14,live log; tok/s/GPU adjusted to TP=2 for qwen32,live,1.5205988014179816
qwen32,Qwen3-32B,pard2,PARD-2 K16,0.0,1,FAILED,3463104,,,,failed: HF_HUB_OFFLINE cache miss for amd/PARD2-Qwen3-14B/warp_model.bin during PARD-2 warp resolve,failed: HF_HUB_OFFLINE cache miss for amd/PARD2-Qwen3-14B/warp_model.bin during PARD-2 warp resolve,
qwen32,Qwen3-32B,pard2,PARD-2 K16,0.0,2,FAILED,3463105,,,,failed: HF_HUB_OFFLINE cache miss for amd/PARD2-Qwen3-14B/warp_model.bin during PARD-2 warp resolve,failed: HF_HUB_OFFLINE cache miss for amd/PARD2-Qwen3-14B/warp_model.bin during PARD-2 warp resolve,
qwen32,Qwen3-32B,pard2,PARD-2 K16,0.0,4,FAILED,3463106,,,,failed: HF_HUB_OFFLINE cache miss for amd/PARD2-Qwen3-14B/warp_model.bin during PARD-2 warp resolve,failed: HF_HUB_OFFLINE cache miss for amd/PARD2-Qwen3-14B/warp_model.bin during PARD-2 warp resolve,
qwen32,Qwen3-32B,pard2,PARD-2 K16,0.0,8,FAILED,3463108,,,,failed: HF_HUB_OFFLINE cache miss for amd/PARD2-Qwen3-14B/warp_model.bin during PARD-2 warp resolve,failed: HF_HUB_OFFLINE cache miss for amd/PARD2-Qwen3-14B/warp_model.bin during PARD-2 warp resolve,
qwen32,Qwen3-32B,pard2,PARD-2 K16,0.0,16,FAILED,3463110,,,,failed: HF_HUB_OFFLINE cache miss for amd/PARD2-Qwen3-14B/warp_model.bin during PARD-2 warp resolve,failed: HF_HUB_OFFLINE cache miss for amd/PARD2-Qwen3-14B/warp_model.bin during PARD-2 warp resolve,
qwen32,Qwen3-32B,pard2,PARD-2 K16,0.0,32,FAILED,3463111,,,,failed: HF_HUB_OFFLINE cache miss for amd/PARD2-Qwen3-14B/warp_model.bin during PARD-2 warp resolve,failed: HF_HUB_OFFLINE cache miss for amd/PARD2-Qwen3-14B/warp_model.bin during PARD-2 warp resolve,
qwen32,Qwen3-32B,pard2,PARD-2 K16,1.0,1,FAILED,3463112,,,,failed: HF_HUB_OFFLINE cache miss for amd/PARD2-Qwen3-14B/warp_model.bin during PARD-2 warp resolve,failed: HF_HUB_OFFLINE cache miss for amd/PARD2-Qwen3-14B/warp_model.bin during PARD-2 warp resolve,
qwen32,Qwen3-32B,pard2,PARD-2 K16,1.0,2,FAILED,3463113,,,,failed: HF_HUB_OFFLINE cache miss for amd/PARD2-Qwen3-14B/warp_model.bin during PARD-2 warp resolve,failed: HF_HUB_OFFLINE cache miss for amd/PARD2-Qwen3-14B/warp_model.bin during PARD-2 warp resolve,
qwen32,Qwen3-32B,pard2,PARD-2 K16,1.0,4,FAILED,3463115,,,,failed: HF_HUB_OFFLINE cache miss for amd/PARD2-Qwen3-14B/warp_model.bin during PARD-2 warp resolve,failed: HF_HUB_OFFLINE cache miss for amd/PARD2-Qwen3-14B/warp_model.bin during PARD-2 warp resolve,
qwen32,Qwen3-32B,pard2,PARD-2 K16,1.0,8,FAILED,3463117,,,,failed: HF_HUB_OFFLINE cache miss for amd/PARD2-Qwen3-14B/warp_model.bin during PARD-2 warp resolve,failed: HF_HUB_OFFLINE cache miss for amd/PARD2-Qwen3-14B/warp_model.bin during PARD-2 warp resolve,
qwen32,Qwen3-32B,pard2,PARD-2 K16,1.0,16,FAILED,3463118,,,,failed: HF_HUB_OFFLINE cache miss for amd/PARD2-Qwen3-14B/warp_model.bin during PARD-2 warp resolve,failed: HF_HUB_OFFLINE cache miss for amd/PARD2-Qwen3-14B/warp_model.bin during PARD-2 warp resolve,
qwen32,Qwen3-32B,pard2,PARD-2 K16,1.0,32,FAILED,3463120,,,,failed: HF_HUB_OFFLINE cache miss for amd/PARD2-Qwen3-14B/warp_model.bin during PARD-2 warp resolve,failed: HF_HUB_OFFLINE cache miss for amd/PARD2-Qwen3-14B/warp_model.bin during PARD-2 warp resolve,
