mode,job_id,draft_model,status,prompt_count,generation_batch_size,generation_tokens,generation_elapsed_sec,generation_throughput_tok_s,speedup_vs_matched_baseline,acceptance_rate,mean_acceptance_length,accepted_tokens,draft_tokens,num_drafts,output_json
graph_on,3172338,none,pass,32,32,32768,26.416542768478394,1240.4348399102587,1.0,0.0,1.0,0.0,0.0,0.0,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/qwen3_235b_pard_math_artifacts/reports/nemorl_vllmgeneration/qwen235b_pard_nemorl_vllmgeneration_baseline_20260605_063109.json
graph_on,3172339,amd/PARD-Qwen3-0.6B,pass,32,32,32768,22.022499799728394,1487.9328095352796,1.199525167837858,0.46805173642937165,3.340258682146858,22979.0,49095.0,9819.0,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/qwen3_235b_pard_math_artifacts/reports/nemorl_vllmgeneration/qwen235b_pard_nemorl_vllmgeneration_public_pard_k5_20260605_063109.json
eager,3172341,none,pass,32,32,32768,119.36873865127563,274.51073346538897,1.0,0.0,1.0,0.0,0.0,0.0,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/qwen3_235b_pard_math_artifacts/reports/nemorl_vllmgeneration/qwen235b_pard_nemorl_vllmgeneration_baseline_20260605_063130.json
eager,3172342,amd/PARD-Qwen3-0.6B,pass,32,32,32768,59.76048946380615,548.3221488646924,1.9974524928141881,0.4644514233613616,3.322257116806808,22923.0,49355.0,9871.0,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/qwen3_235b_pard_math_artifacts/reports/nemorl_vllmgeneration/qwen235b_pard_nemorl_vllmgeneration_public_pard_k5_20260605_063131.json
graph_on_local_tpp_mask,3174485,none,pass,32,32,32768,26.256014347076416,1248.018818349278,1.0,0.0,1.0,0.0,0.0,0.0,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/qwen3_235b_pard_math_artifacts/reports/nemorl_vllmgeneration/qwen235b_pard_nemorl_vllmgeneration_baseline_20260605_114643.json
graph_on_local_tpp_mask,3174486,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/qwen3_235b_pard_math_artifacts/checkpoints/PARD-Qwen3-0.6B_qwen235b_math_k5_cat_tpp_mask_1024_8x128_lr3e6/checkpoint-16,pass,32,32,32768,20.483137845993042,1599.7548933358446,1.2818355539316295,0.46631429152266723,3.331571457613336,22938.0,49190.0,9838.0,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/qwen3_235b_pard_math_artifacts/reports/nemorl_vllmgeneration/qwen235b_pard_nemorl_vllmgeneration_local_cat_tpp_mask_k5_20260605_114646.json
tp16_fixed256_eager,3175487,none,pass,32,32,8192,37.36245822906494,219.25752180907875,1.0,0.0,1.0,0.0,0.0,0.0,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/qwen3_235b_pard_math_artifacts/reports/nemorl_vllmgeneration/qwen235b_pard_nemorl_vllmgeneration_baseline_20260605_140154.json
tp16_fixed256_eager,3175488,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/qwen3_235b_pard_math_artifacts/checkpoints/PARD-Qwen3-0.6B_qwen235b_math_k5_cat_tpp_mask_1024_8x128_lr3e6/checkpoint-16,pass,32,32,8192,23.045363903045654,355.4727985405061,1.6212570296677828,0.47416837782340865,3.370841889117043,5773.0,12175.0,2435.0,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/qwen3_235b_pard_math_artifacts/reports/nemorl_vllmgeneration/qwen235b_pard_nemorl_vllmgeneration_local_cat_tpp_mask_k5_tp16_fixed256_20260605_140155.json
