section,model,mode,method,job_id,max_osl,steps,state,e2e_step_time_s,e2e_throughput_speedup,generation_time_s,generation_tps_gpu,generation_throughput_speedup,acceptance_pct,mean_accept_len,notes,source
recipe_osl4096_step20,Qwen3-32B,sync,Eagle-3,2152195,4096,19/20 last 20,COMPLETED,395.20157894736843,1.332298022113014,192.64263157894737,2150.331052631579,1.693697678602668,45.150963225327686,2.329656620248645,live partial; patched Eagle-3 retry with SpecDec context guard; recipe OSL unchanged,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_eagle3_contextguard_retry/logs/qwen32_sync_eagle3/2152195-logs/ray-driver.log
recipe_osl4096_step20,Qwen3-32B,sync,Suffix,2152499,4096,19/20 last 20,COMPLETED,592.4557894736841,0.8858924764926016,386.0573684210526,1070.777894736842,0.8433929428658838,16.93444627518644,1.939819888175273,live partial,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/20260618_lyris_nemorl_qwen32_sync_suffix_step20_retry5h/logs/qwen32_sync_suffix/2152499-logs/ray-driver.log
recipe_osl4096_step20,Qwen3-32B,sync,PARD K=5,2152143,4096,19/20 last 20,COMPLETED,562.2284210526316,0.9541968660378357,370.55947368421056,1138.1789473684212,0.8964810505029737,31.779866316811095,2.0042378398981495,live partial,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20/logs/qwen32_sync_pard/2152143-logs/ray-driver.log
recipe_osl4096_step20,Qwen3-32B,sync,PARD-2,2152532,4096,19/20 last 20,COMPLETED,873.437894736842,0.6109744330430573,677.1678947368422,623.9194736842105,0.4914271051058471,1.0044261989874395,1.0479029095512342,live partial; PARD-2 retry reusing the global patched vLLM site to avoid per-run vLLM import/build failure; recipe OSL unchanged,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/20260618_lyris_nemorl_qwen32_sync_recipe_osl_pard2_step20_retry_global_pard2_site/logs/qwen32_sync_pard2/2152532-logs/ray-driver.log
recipe_osl4096_step20,Qwen3-32B,sync,baseline fuse_loss=false,2152343,4096,19/20 last 20,COMPLETED,544.0821052631578,0.9862459172595902,331.1589473684211,1272.8657894736843,1.002566479317684,,,live partial; qwen32 fuse_loss=false retry using ++policy.sequence_packing.fuse_loss=false; recipe OSL unchanged,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/20260618_lyris_nemorl_fuse_loss_false_qwen32_baseline_step20_retry_addkey/logs/qwen32_sync_baseline/2152343-logs/ray-driver.log
recipe_osl4096_step20,Qwen3-32B,async-1off,baseline,2152144,4096,19/20 last 20,COMPLETED,227.4515789473684,1.0,,1910.517894736842,1.0,,,usable metrics; driver ended with NCCL shutdown warning; async log omits generation_time_s; using generation worker tok/s/GPU,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20/logs/qwen32_async1off_baseline/2152144-logs/ray-driver.log
recipe_osl4096_step20,Qwen3-32B,async-1off,Eagle-3,2152196,4096,19/20 last 20,COMPLETED,189.0457894736842,1.1880478869920843,,2281.865263157895,1.1943700027327946,,,usable metrics; driver ended with NCCL shutdown warning; async log omits generation_time_s; using generation worker tok/s/GPU; patched Eagle-3 retry with SpecDec context guard; recipe OSL unchanged,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_eagle3_contextguard_retry/logs/qwen32_async1off_eagle3/2152196-logs/ray-driver.log
recipe_osl4096_step20,Qwen3-32B,async-1off,Suffix,2152146,4096,19/20 last 20,COMPLETED,494.8905263157895,0.46015494830381537,,873.3168421052632,0.45711000379065037,,,usable metrics; driver ended with NCCL shutdown warning; async log omits generation_time_s; using generation worker tok/s/GPU,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20/logs/qwen32_async1off_suffix/2152146-logs/ray-driver.log
recipe_osl4096_step20,Qwen3-32B,async-1off,PARD K=5,2152147,4096,19/20 last 20,COMPLETED,244.6405263157895,0.9395213544793076,,1794.2421052631578,0.9391391256820967,,,usable metrics; driver ended with NCCL shutdown warning; async log omits generation_time_s; using generation worker tok/s/GPU,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20/logs/qwen32_async1off_pard/2152147-logs/ray-driver.log
recipe_osl4096_step20,Qwen3-32B,async-1off,PARD-2,2152218,4096,19/20 last 20,COMPLETED,339.2626315789474,0.7034916663394165,,1344.173157894737,0.7035648091010871,,,usable metrics; driver ended with NCCL shutdown warning; async log omits generation_time_s; using generation worker tok/s/GPU; PARD-2 retry using shared patched vLLM source site cache; recipe OSL unchanged,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_pard2_step20_retry_globalcache/logs/qwen32_async1off_pard2/2152218-logs/ray-driver.log
recipe_osl4096_step20,Qwen3-32B,async-1off,baseline fuse_loss=false,2152344,4096,19/20 last 20,COMPLETED,238.57263157894738,0.9726961117063948,,1864.5284210526315,0.9759282685543518,,,usable metrics; driver ended with NCCL shutdown warning; async log omits generation_time_s; using generation worker tok/s/GPU; qwen32 fuse_loss=false retry using ++policy.sequence_packing.fuse_loss=false; recipe OSL unchanged,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_fuse_loss_false_qwen32_baseline_step20_retry_addkey/logs/qwen32_async1off_baseline/2152344-logs/ray-driver.log
qwen235b_osl1024_canary,Qwen3-235B-A22B,sync,baseline canary,2153816,1024,1/1 last 1,COMPLETED,268.64,,151.56,29.62,,,,"OSL1024 step1 canary; completed one step, shutdown warnings only.",tmp/lyris_nemorl_qwen235b_osl1024_20260619_logs/2153816-ray-driver.log
qwen235b_osl1024_canary,Qwen3-235B-A22B,sync,baseline canary,2153824,1024,1/1 last 1,COMPLETED,260.0,,143.35,31.3,,,,OSL1024 backfill step1 canary; clean completed one step.,tmp/lyris_nemorl_qwen235b_osl1024_20260619_logs/2153824-ray-driver.log
qwen235b_osl1024_canary,Qwen3-235B-A22B,sync,baseline canary,2154865,1024,1/3 last 2,TIMEOUT,257.2,,141.55,31.72,,,,"OSL1024 step3 fallback; completed step1, timed out in step2 with NCCL ALLGATHER_BASE watchdog / EngineDeadError.",tmp/lyris_nemorl_qwen235b_osl1024_20260619_logs/2154865-ray-driver.log
