domain,temperature,model,method,batch_1_speedup,batch_2_speedup,batch_4_speedup,batch_8_speedup,batch_16_speedup,batch_32_speedup,batch_1_basis,batch_2_basis,batch_4_basis,batch_8_basis,batch_16_basis,batch_32_basis
SWE,0.0,Qwen3-235B-A22B,eagle3_k3,2.661552856199058,1.991185394738042,2.311103424042253,1.9994044914754503,1.879147646279391,1.9426352715702266,matched 6/16 Lyris SWE core matrix; B1 duplicates resolved by explicit speedup/direct row,matched 6/16 Lyris SWE core matrix; B1 duplicates resolved by explicit speedup/direct row,matched 6/19 aggregation,matched 6/19 aggregation,matched 6/19 aggregation,matched 6/19 aggregation
SWE,0.0,Qwen3-30B-A3B,baseline,1.0,1.0,1.0,1.0,1.0,1.0,matched 6/16 Lyris SWE core matrix,matched 6/16 Lyris SWE core matrix,matched 6/19 aggregation,matched 6/19 aggregation,matched 6/19 aggregation,matched 6/19 aggregation
SWE,0.0,Qwen3-30B-A3B,suffix_k32,8.8885357063021,7.807793370253287,5.074882207311193,6.46073854561584,5.772202239648547,1.5506010593383,matched 6/16 Lyris SWE core matrix; B1 duplicates resolved by explicit speedup/direct row,matched 6/16 Lyris SWE core matrix; B1 duplicates resolved by explicit speedup/direct row,matched 6/19 aggregation,matched 6/19 aggregation,matched 6/19 aggregation,matched 6/19 aggregation
SWE,0.0,Qwen3-30B-A3B,eagle3_k3,1.1273608764495366,1.0960740686725827,1.0582492521483768,1.0671269036732103,1.0118878062409395,0.8841311682888733,matched 6/16 Lyris SWE core matrix; B1 duplicates resolved by explicit speedup/direct row,matched 6/16 Lyris SWE core matrix; B1 duplicates resolved by explicit speedup/direct row,matched 6/19 aggregation,matched 6/19 aggregation,matched 6/19 aggregation,matched 6/19 aggregation
SWE,0.0,Qwen3-32B,baseline,1.0,1.0,1.0,1.0,1.0,1.0,matched 6/16 Lyris SWE core matrix,matched 6/16 Lyris SWE core matrix,matched 6/19 aggregation,matched 6/19 aggregation,matched 6/19 aggregation,matched 6/19 aggregation
SWE,0.0,Qwen3-32B,suffix_k32,6.528053195637498,6.52504407070085,6.548114708089441,3.7305306162059715,3.273353729326889,3.643778483906329,matched 6/16 Lyris SWE core matrix; B1 duplicates resolved by explicit speedup/direct row,matched 6/16 Lyris SWE core matrix; B1 duplicates resolved by explicit speedup/direct row,matched 6/19 aggregation,matched 6/19 aggregation,matched 6/19 aggregation,matched 6/19 aggregation
SWE,0.0,Qwen3-32B,eagle3_k3,2.360481560499263,2.3997479091958858,2.180104277306245,2.1033589032316233,2.025446936829832,1.8442626896016099,matched 6/16 Lyris SWE core matrix; B1 duplicates resolved by explicit speedup/direct row,matched 6/16 Lyris SWE core matrix; B1 duplicates resolved by explicit speedup/direct row,matched 6/19 aggregation,matched 6/19 aggregation,matched 6/19 aggregation,matched 6/19 aggregation
SWE,1.0,Qwen3-235B-A22B,baseline,1.0,1.0,1.0,1.0,1.0,1.0,matched 6/16 Lyris SWE core matrix,matched 6/16 Lyris SWE core matrix,matched 6/19 aggregation,matched 6/19 aggregation,matched 6/19 aggregation,matched 6/19 aggregation
SWE,1.0,Qwen3-235B-A22B,suffix_k32,2.8557948187327993,1.8924102074726148,1.9698948543369932,1.693893396827697,1.364374513300756,1.3896809146720128,matched 6/16 Lyris SWE core matrix; B1 duplicates resolved by explicit speedup/direct row,matched 6/16 Lyris SWE core matrix; B1 duplicates resolved by explicit speedup/direct row,matched 6/19 aggregation,matched 6/19 aggregation,matched 6/19 aggregation,matched 6/19 aggregation
SWE,1.0,Qwen3-235B-A22B,eagle3_k3,1.6101549662428134,1.49008286962667,1.341648113640337,1.2921106719593534,1.198261061580185,1.1734329168895086,matched 6/16 Lyris SWE core matrix; B1 duplicates resolved by explicit speedup/direct row,matched 6/16 Lyris SWE core matrix; B1 duplicates resolved by explicit speedup/direct row,matched 6/19 aggregation,matched 6/19 aggregation,matched 6/19 aggregation,matched 6/19 aggregation
SWE,1.0,Qwen3-30B-A3B,baseline,1.0,1.0,1.0,1.0,1.0,1.0,matched 6/16 Lyris SWE core matrix,matched 6/16 Lyris SWE core matrix,matched 6/19 aggregation,matched 6/19 aggregation,matched 6/19 aggregation,matched 6/19 aggregation
SWE,1.0,Qwen3-30B-A3B,suffix_k32,8.607654409288306,7.913413515160022,7.299554128832293,3.6148213366011475,3.058830543381312,1.2244773512586324,matched 6/16 Lyris SWE core matrix; B1 duplicates resolved by explicit speedup/direct row,matched 6/16 Lyris SWE core matrix; B1 duplicates resolved by explicit speedup/direct row,matched 6/19 aggregation,matched 6/19 aggregation,matched 6/19 aggregation,matched 6/19 aggregation
SWE,1.0,Qwen3-30B-A3B,eagle3_k3,1.0930354771197597,1.0390135957255815,1.0566705448383789,1.0413839075436224,0.9306906028911724,0.9662912549501921,matched 6/16 Lyris SWE core matrix; B1 duplicates resolved by explicit speedup/direct row,matched 6/16 Lyris SWE core matrix; B1 duplicates resolved by explicit speedup/direct row,matched 6/19 aggregation,matched 6/19 aggregation,matched 6/19 aggregation,matched 6/19 aggregation
SWE,1.0,Qwen3-32B,baseline,1.0,1.0,1.0,1.0,1.0,1.0,matched 6/16 Lyris SWE core matrix,matched 6/16 Lyris SWE core matrix,matched 6/19 aggregation,matched 6/19 aggregation,matched 6/19 aggregation,matched 6/19 aggregation
SWE,1.0,Qwen3-32B,suffix_k32,1.933652836835138,2.415034658807197,1.355309832117561,0.9760370955509134,1.1713403710173018,1.2555806518969759,matched 6/16 Lyris SWE core matrix; B1 duplicates resolved by explicit speedup/direct row,matched 6/16 Lyris SWE core matrix; B1 duplicates resolved by explicit speedup/direct row,matched 6/19 aggregation,matched 6/19 aggregation,matched 6/19 aggregation,matched 6/19 aggregation
SWE,1.0,Qwen3-32B,eagle3_k3,1.9062132556931641,1.812984046489219,1.6570715449276943,1.2053051341257086,1.4367067523220436,1.265237779231414,matched 6/16 Lyris SWE core matrix; B1 duplicates resolved by explicit speedup/direct row,matched 6/16 Lyris SWE core matrix; B1 duplicates resolved by explicit speedup/direct row,matched 6/19 aggregation,matched 6/19 aggregation,matched 6/19 aggregation,matched 6/19 aggregation
