job_id,run_id,method,max_steps,state,local_log_files,error_file,error_excerpt,local_log_dir
3288611,20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec_suffix_py312_retry1,suffix,10,FAILED,18,tmp/oci_hsg_swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec_suffix_py312_retry1/suffix_steps10_3288611/3288611-logs/ray-driver.log,× Failed to build `megatron-core @ / │ file:///lustre/fs1/portfolios/nemotron/projects/nemotron_sw_post/users/ruit/evolution_rl/3rdparty/Megatron-LM-workspace` / ├─▶ The build backend returned an error / ╰─▶ Call to `setuptools.build_meta.build_editable` failed (exit status: 1) / [stdout],tmp/oci_hsg_swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec_suffix_py312_retry1/suffix_steps10_3288611
3288612,20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec_suffix_py312_retry1,suffix,20,FAILED,18,tmp/oci_hsg_swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec_suffix_py312_retry1/suffix_steps20_3288612/3288612-logs/ray-driver.log,× Failed to build `megatron-core @ / │ file:///lustre/fs1/portfolios/nemotron/projects/nemotron_sw_post/users/ruit/evolution_rl/3rdparty/Megatron-LM-workspace` / ├─▶ The build backend returned an error / ╰─▶ Call to `setuptools.build_meta.build_editable` failed (exit status: 1) / [stdout],tmp/oci_hsg_swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec_suffix_py312_retry1/suffix_steps20_3288612
3291005,20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec_writable_r1,baseline,10,FAILED,18,tmp/oci_hsg_swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec_writable_r1/baseline_steps10_3291005/3291005-logs/ray-driver.log,"[36m(MegatronPolicyWorker pid=2455036, ip=10.109.27.7)[0m Exception raised in creation task: The actor died because of an error raised in its creation task, [36mray::lm_policy-3-0:MegatronPolicyWorker.__init__()[39m (pid=2455036, ip=10.109.27.7, actor_id=35a3b755cf21262a56942ed401000000, repr=MegatronPolicyWorker[rank=12]) / [36m(MegatronPolicyWorker pid=2455036, ip=10.109.27.7)[0m   File ""/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/Nemo-RL-SWE_bench-20260613/nemo_rl/models/policy/workers/megatron_policy_worker.py"", line 159, in __init__ / [36m(MegatronPolicyWo",tmp/oci_hsg_swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec_writable_r1/baseline_steps10_3291005
3291006,20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec_writable_r1,suffix,10,CANCELLED by 150081,0,,no local log/error excerpt available,tmp/oci_hsg_swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec_writable_r1/suffix_steps10_3291006
3291007,20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec_writable_r1,pard,10,CANCELLED by 150081,0,,no local log/error excerpt available,tmp/oci_hsg_swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec_writable_r1/pard_steps10_3291007
3291008,20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec_writable_r1,pard2,10,CANCELLED by 150081,0,,no local log/error excerpt available,tmp/oci_hsg_swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec_writable_r1/pard2_steps10_3291008
3291010,20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec_writable_r1,eagle3,10,CANCELLED by 150081,0,,no local log/error excerpt available,tmp/oci_hsg_swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec_writable_r1/eagle3_steps10_3291010
3291097,20260613_oci_hsg_swerl_qwen235b_megatron_reconvert_r1,baseline,1,COMPLETED,18,tmp/oci_hsg_swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_megatron_reconvert_r1/baseline_steps1_3291097/3291097-logs/ray-driver.log,"[36m(NemoGym pid=3811970, ip=10.109.28.214)[0m ERROR: pip's dependency resolver does not currently take into account all the packages that are installed. This behaviour is the source of the following dependency conflicts. / [36m(NemoGym pid=3811970, ip=10.109.28.214)[0m mlflow-skinny 3.8.1 requires packaging<26, but you have packaging 26.0 which is incompatible. / [36m(NemoGym pid=3811970, ip=10.109.28.214)[0m mlflow-tracing 3.8.1 requires packaging<26, but you have packaging 26.0 which is incompatible. / [36m(NemoGym pid=3811970, ip=10.109.28.214)[0m + mkdir -p evaluation/oh / [36m(N",tmp/oci_hsg_swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_megatron_reconvert_r1/baseline_steps1_3291097
3299465,20260614_oci_hsg_swerl_qwen235b_fullgrpo_specdec_after_prewarm_n3post_r1,baseline,10,COMPLETING,18,tmp/oci_hsg_swerl_fullgrpo_logs/20260614_oci_hsg_swerl_qwen235b_fullgrpo_specdec_after_prewarm_n3post_r1/baseline_steps10_3299465/3299465-logs/ray-driver.log,"Traceback (most recent call last): / File ""/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/Nemo-RL-SWE_bench-20260613/./examples/nemo_gym/run_grpo_nemo_gym.py"", line 307, in <module> / main() / ~~~~^^ / File ""/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/Nemo-RL-SWE_bench-20260613/./examples/nemo_gym/run_grpo_nemo_gym.py"", line 206, in main / ) = setup(config, tokenizer, train_dataset, val_dataset)",tmp/oci_hsg_swerl_fullgrpo_logs/20260614_oci_hsg_swerl_qwen235b_fullgrpo_specdec_after_prewarm_n3post_r1/baseline_steps10_3299465
3299466,20260614_oci_hsg_swerl_qwen235b_fullgrpo_specdec_after_prewarm_n3post_r1,suffix,10,COMPLETING,18,tmp/oci_hsg_swerl_fullgrpo_logs/20260614_oci_hsg_swerl_qwen235b_fullgrpo_specdec_after_prewarm_n3post_r1/suffix_steps10_3299466/3299466-logs/ray-driver.log,"Traceback (most recent call last): / File ""/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/Nemo-RL-SWE_bench-20260613/./examples/nemo_gym/run_grpo_nemo_gym.py"", line 307, in <module> / main() / ~~~~^^ / File ""/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/Nemo-RL-SWE_bench-20260613/./examples/nemo_gym/run_grpo_nemo_gym.py"", line 206, in main / ) = setup(config, tokenizer, train_dataset, val_dataset)",tmp/oci_hsg_swerl_fullgrpo_logs/20260614_oci_hsg_swerl_qwen235b_fullgrpo_specdec_after_prewarm_n3post_r1/suffix_steps10_3299466
3299467,20260614_oci_hsg_swerl_qwen235b_fullgrpo_specdec_after_prewarm_n3post_r1,pard,10,COMPLETING,18,tmp/oci_hsg_swerl_fullgrpo_logs/20260614_oci_hsg_swerl_qwen235b_fullgrpo_specdec_after_prewarm_n3post_r1/pard_steps10_3299467/3299467-logs/ray-driver.log,"Traceback (most recent call last): / File ""/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/Nemo-RL-SWE_bench-20260613/./examples/nemo_gym/run_grpo_nemo_gym.py"", line 307, in <module> / main() / ~~~~^^ / File ""/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/Nemo-RL-SWE_bench-20260613/./examples/nemo_gym/run_grpo_nemo_gym.py"", line 206, in main / ) = setup(config, tokenizer, train_dataset, val_dataset)",tmp/oci_hsg_swerl_fullgrpo_logs/20260614_oci_hsg_swerl_qwen235b_fullgrpo_specdec_after_prewarm_n3post_r1/pard_steps10_3299467
3299468,20260614_oci_hsg_swerl_qwen235b_fullgrpo_specdec_after_prewarm_n3post_r1,pard2,10,COMPLETING,18,tmp/oci_hsg_swerl_fullgrpo_logs/20260614_oci_hsg_swerl_qwen235b_fullgrpo_specdec_after_prewarm_n3post_r1/pard2_steps10_3299468/3299468-logs/ray-driver.log,"Traceback (most recent call last): / File ""/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/Nemo-RL-SWE_bench-20260613/./examples/nemo_gym/run_grpo_nemo_gym.py"", line 307, in <module> / main() / ~~~~^^ / File ""/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/Nemo-RL-SWE_bench-20260613/./examples/nemo_gym/run_grpo_nemo_gym.py"", line 206, in main / ) = setup(config, tokenizer, train_dataset, val_dataset)",tmp/oci_hsg_swerl_fullgrpo_logs/20260614_oci_hsg_swerl_qwen235b_fullgrpo_specdec_after_prewarm_n3post_r1/pard2_steps10_3299468
3299469,20260614_oci_hsg_swerl_qwen235b_fullgrpo_specdec_after_prewarm_n3post_r1,eagle3,10,COMPLETING,18,tmp/oci_hsg_swerl_fullgrpo_logs/20260614_oci_hsg_swerl_qwen235b_fullgrpo_specdec_after_prewarm_n3post_r1/eagle3_steps10_3299469/3299469-logs/ray-driver.log,"Traceback (most recent call last): / File ""/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/Nemo-RL-SWE_bench-20260613/./examples/nemo_gym/run_grpo_nemo_gym.py"", line 307, in <module> / main() / ~~~~^^ / File ""/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/Nemo-RL-SWE_bench-20260613/./examples/nemo_gym/run_grpo_nemo_gym.py"", line 206, in main / ) = setup(config, tokenizer, train_dataset, val_dataset)",tmp/oci_hsg_swerl_fullgrpo_logs/20260614_oci_hsg_swerl_qwen235b_fullgrpo_specdec_after_prewarm_n3post_r1/eagle3_steps10_3299469
