domain,model,temperature,top_p,batch_size,isl,osl,method,job_id,tok_s_gpu,baseline_tok_s_gpu,speedup,acceptance_pct,mean_accept_len,source
Math,Qwen3-235B-A22B,1.0,,2,4096,32768,baseline,3423821,3.9298626758296966,3.9298626758296966,1.0,,,docs/oci_qmath_qwen235b_baseline_qwen32_bs12_20260619_metrics_live.csv
Math,Qwen3-32B,1.0,,1,4096,32768,baseline,3423823,7.326800295379499,7.326800295379499,1.0,,,docs/oci_qmath_qwen235b_baseline_qwen32_bs12_20260619_metrics_live.csv
Math,Qwen3-32B,1.0,,1,4096,32768,suffix_k32,3423825,11.061727840728706,7.326800295379499,1.5097624330916408,29.169087739686226,1.6615055180365674,docs/oci_qmath_qwen235b_baseline_qwen32_bs12_20260619_metrics_live.csv
Math,Qwen3-32B,1.0,,1,4096,32768,eagle3_k3,3423830,14.213635132497018,7.326800295379499,1.93995121464694,43.03293015451304,2.290987904635391,docs/oci_qmath_qwen235b_baseline_qwen32_bs12_20260619_metrics_live.csv
Math,Qwen3-32B,1.0,,1,4096,32768,pard_k5,3423828,18.32550362604682,7.326800295379499,2.5011605185422394,58.46503831417624,3.9232519157088124,docs/oci_qmath_qwen235b_baseline_qwen32_bs12_20260619_metrics_live.csv
Math,Qwen3-32B,1.0,,2,4096,32768,baseline,3423833,15.46400301431412,15.46400301431412,1.0,,,docs/oci_qmath_qwen235b_baseline_qwen32_bs12_20260619_metrics_live.csv
Math,Qwen3-32B,1.0,,2,4096,32768,suffix_k32,3423835,24.956163666735698,15.46400301431412,1.6138229954841086,51.17940490812924,2.845604519774011,docs/oci_qmath_qwen235b_baseline_qwen32_bs12_20260619_metrics_live.csv
Math,Qwen3-32B,1.0,,2,4096,32768,eagle3_k3,3423837,17.685194253431494,15.46400301431412,1.1436362394045931,29.998453837382343,1.8999536151214704,docs/oci_qmath_qwen235b_baseline_qwen32_bs12_20260619_metrics_live.csv
Math,Qwen3-32B,1.0,,2,4096,32768,pard_k5,3423836,18.412181956354207,15.46400301431412,1.1906478509678982,33.28265376641327,2.6641326883206635,docs/oci_qmath_qwen235b_baseline_qwen32_bs12_20260619_metrics_live.csv
Math,Qwen3-32B,1.0,,4,4096,32768,baseline,3423716,31.175527107356316,31.175527107356316,1.0,,,docs/oci_qmath_qwen32_math500_osl32k_batch_sweep_20260619_metrics_live.csv
Math,Qwen3-32B,1.0,,4,4096,32768,suffix_k32,3423717,37.89136749250311,31.175527107356316,1.2154202673789625,57.609644118081384,3.0791666666666666,docs/oci_qmath_qwen32_math500_osl32k_batch_sweep_20260619_metrics_live.csv
Math,Qwen3-32B,1.0,,4,4096,32768,eagle3_k3,3423719,73.20576910529468,31.175527107356316,2.3481806371132925,75.13571665011585,3.2540714995034756,docs/oci_qmath_qwen32_math500_osl32k_batch_sweep_20260619_metrics_live.csv
Math,Qwen3-32B,1.0,,4,4096,32768,pard_k5,3423718,41.486551923994554,31.175527107356316,1.3307409937651127,46.437387535798464,3.3218693767899232,docs/oci_qmath_qwen32_math500_osl32k_batch_sweep_20260619_metrics_live.csv
Math,Qwen3-32B,1.0,,8,4096,32768,baseline,3423720,62.33908580689244,62.33908580689244,1.0,,,docs/oci_qmath_qwen32_math500_osl32k_batch_sweep_20260619_metrics_live.csv
Math,Qwen3-32B,1.0,,8,4096,32768,suffix_k32,3423721,194.0170000027326,62.33908580689244,3.112284973246774,78.5198848008284,6.241575460829493,docs/oci_qmath_qwen32_math500_osl32k_batch_sweep_20260619_metrics_live.csv
Math,Qwen3-32B,1.0,,8,4096,32768,eagle3_k3,3423728,76.17199574323972,62.33908580689244,1.221897863231383,53.893480807112816,2.6168044242133846,docs/oci_qmath_qwen32_math500_osl32k_batch_sweep_20260619_metrics_live.csv
Math,Qwen3-32B,1.0,,8,4096,32768,pard_k5,3423727,45.85715544098565,62.33908580689244,0.7356084043811164,27.23150099994595,2.361575049997297,docs/oci_qmath_qwen32_math500_osl32k_batch_sweep_20260619_metrics_live.csv
Math,Qwen3-32B,1.0,,16,4096,32768,baseline,3423729,124.94932148908092,124.94932148908092,1.0,,,docs/oci_qmath_qwen32_math500_osl32k_batch_sweep_20260619_metrics_live.csv
Math,Qwen3-32B,1.0,,16,4096,32768,suffix_k32,3423753,100.23029398996118,124.94932148908092,0.8021675731846221,46.99155358665917,2.774750461908071,docs/oci_qmath_qwen32_math500_osl32k_batch_sweep_20260619_metrics_live.csv
Math,Qwen3-32B,1.0,,16,4096,32768,eagle3_k3,3423757,127.8032441882591,124.94932148908092,1.022840641831157,49.60750999022334,2.4882252997067003,docs/oci_qmath_qwen32_math500_osl32k_batch_sweep_20260619_metrics_live.csv
Math,Qwen3-32B,1.0,,16,4096,32768,pard_k5,3423756,74.08954079546736,124.94932148908092,0.5929567276757234,24.68564756218651,2.2342823781093255,docs/oci_qmath_qwen32_math500_osl32k_batch_sweep_20260619_metrics_live.csv
Math,Qwen3-32B,1.0,,32,4096,32768,baseline,3423758,208.0101600139665,208.0101600139665,1.0,,,docs/oci_qmath_qwen32_math500_osl32k_batch_sweep_20260619_metrics_live.csv
Math,Qwen3-32B,1.0,,32,4096,32768,suffix_k32,3423759,237.55582841733528,208.0101600139665,1.1420395446135179,55.82254514454584,3.506722875975575,docs/oci_qmath_qwen32_math500_osl32k_batch_sweep_20260619_metrics_live.csv
Math,Qwen3-32B,1.0,,32,4096,32768,eagle3_k3,3423762,239.8815524809338,208.0101600139665,1.1532203641631127,44.612515294373004,2.33837545883119,docs/oci_qmath_qwen32_math500_osl32k_batch_sweep_20260619_metrics_live.csv
Math,Qwen3-32B,1.0,,32,4096,32768,pard_k5,3423761,151.22578174679367,208.0101600139665,0.7270115158636475,30.206944763655862,2.510347238182793,docs/oci_qmath_qwen32_math500_osl32k_batch_sweep_20260619_metrics_live.csv
SWE,Qwen3-235B-A22B,0.0,,4,4096,32768,baseline,3423915,7.686645935775346,7.686645935775346,1.0,,,docs/oci_swebench_qwen235b_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-235B-A22B,0.0,,4,4096,32768,suffix_k32,3423917,46.72067279138864,7.686645935775346,6.07816116180665,86.20053731615135,7.620985135529001,docs/oci_swebench_qwen235b_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-235B-A22B,0.0,,4,4096,32768,eagle3_k3,3423918,17.76463374157087,7.686645935775346,2.311103424042253,55.276358129850465,2.658290743895514,docs/oci_swebench_qwen235b_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-235B-A22B,0.0,,8,4096,32768,baseline,3423919,15.39663105577196,15.39663105577196,1.0,,,docs/oci_swebench_qwen235b_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-235B-A22B,0.0,,8,4096,32768,suffix_k32,3423920,61.28997694375598,15.39663105577196,3.9807394696763425,80.32595111459877,6.451635969129867,docs/oci_swebench_qwen235b_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-235B-A22B,0.0,,8,4096,32768,eagle3_k3,3423921,30.784093286500863,15.39663105577196,1.9994044914754503,55.55736404142338,2.666720921242701,docs/oci_swebench_qwen235b_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-235B-A22B,0.0,,16,4096,32768,baseline,3423922,31.65464490683899,31.65464490683899,1.0,,,docs/oci_swebench_qwen235b_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-235B-A22B,0.0,,16,4096,32768,suffix_k32,3423923,121.43859259108653,31.65464490683899,3.8363593383683705,79.92425881843756,6.519390271239632,docs/oci_swebench_qwen235b_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-235B-A22B,0.0,,16,4096,32768,eagle3_k3,3423924,59.4837514704964,31.65464490683899,1.879147646279391,53.83949028488579,2.6151847085465736,docs/oci_swebench_qwen235b_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-235B-A22B,0.0,,32,4096,32768,baseline,3423925,58.7203160933287,58.7203160933287,1.0,,,docs/oci_swebench_qwen235b_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-235B-A22B,0.0,,32,4096,32768,suffix_k32,3423926,154.62524094860166,58.7203160933287,2.6332494651909557,81.29572677168426,6.930674465072581,docs/oci_swebench_qwen235b_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-235B-A22B,0.0,,32,4096,32768,eagle3_k3,3423937,114.07215720065315,58.7203160933287,1.9426352715702266,54.291535259029736,2.6287460577708917,docs/oci_swebench_qwen235b_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-30B-A3B,0.0,,4,4096,32768,baseline,2159183,77.39263525820533,77.39263525820533,1.0,,,docs/lyris_swebench_qwen30ba3b_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-30B-A3B,0.0,,4,4096,32768,suffix_k32,2159184,392.7585076487911,77.39263525820533,5.074882207311193,87.13509945696198,8.849989864180012,docs/lyris_swebench_qwen30ba3b_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-30B-A3B,0.0,,4,4096,32768,eagle3_k3,2159185,81.9006983837879,77.39263525820533,1.0582492521483768,13.69096310328497,1.410728893098549,docs/lyris_swebench_qwen30ba3b_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-30B-A3B,0.0,,8,4096,32768,baseline,2159190,147.75566922324097,147.75566922324097,1.0,,,docs/lyris_swebench_qwen30ba3b_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-30B-A3B,0.0,,8,4096,32768,suffix_k32,2159191,954.6107474838569,147.75566922324097,6.46073854561584,88.64318667203757,9.174271096159238,docs/lyris_swebench_qwen30ba3b_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-30B-A3B,0.0,,8,4096,32768,eagle3_k3,2159193,157.6740497983602,147.75566922324097,1.0671269036732103,12.647452460011333,1.37942357380034,docs/lyris_swebench_qwen30ba3b_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-30B-A3B,0.0,,16,4096,32768,baseline,2159197,301.00315521894197,301.00315521894197,1.0,,,docs/lyris_swebench_qwen30ba3b_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-30B-A3B,0.0,,16,4096,32768,suffix_k32,2159198,1737.451086696056,301.00315521894197,5.772202239648547,89.38390305923079,9.516300103521548,docs/lyris_swebench_qwen30ba3b_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-30B-A3B,0.0,,16,4096,32768,eagle3_k3,2159199,304.5814224060962,301.00315521894197,1.0118878062409395,12.73278117822379,1.3819834353467138,docs/lyris_swebench_qwen30ba3b_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-30B-A3B,0.0,,32,4096,32768,baseline,2159203,529.1993104607326,529.1993104607326,1.0,,,docs/lyris_swebench_qwen30ba3b_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-30B-A3B,0.0,,32,4096,32768,suffix_k32,2159204,820.5770114015098,529.1993104607326,1.5506010593383,84.83549383055976,8.460467481315275,docs/lyris_swebench_qwen30ba3b_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-30B-A3B,0.0,,32,4096,32768,eagle3_k3,2159206,467.8816046153137,529.1993104607326,0.8841311682888733,12.859877395750042,1.3857963218725013,docs/lyris_swebench_qwen30ba3b_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-32B,0.0,,4,4096,32768,baseline,2159147,33.92283409978268,33.92283409978268,1.0,,,docs/lyris_swebench_qwen32_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-32B,0.0,,4,4096,32768,suffix_k32,2159148,222.13060890886504,33.92283409978268,6.548114708089441,92.47563444977584,9.688999111637548,docs/lyris_swebench_qwen32_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-32B,0.0,,4,4096,32768,eagle3_k3,2159149,73.95531571928638,33.92283409978268,2.180104277306245,75.84041312676995,3.2752123938030984,docs/lyris_swebench_qwen32_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-32B,0.0,,8,4096,32768,baseline,2159156,63.72975495074019,63.72975495074019,1.0,,,docs/lyris_swebench_qwen32_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-32B,0.0,,8,4096,32768,suffix_k32,2159157,237.74580200704034,63.72975495074019,3.7305306162059715,84.82726895329137,7.517211654502614,docs/lyris_swebench_qwen32_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-32B,0.0,,8,4096,32768,eagle3_k3,2159159,134.046547476409,63.72975495074019,2.1033589032316233,72.13002635125622,3.1639007905376864,docs/lyris_swebench_qwen32_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-32B,0.0,,16,4096,32768,baseline,2159166,131.58556261588555,131.58556261588555,1.0,,,docs/lyris_swebench_qwen32_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-32B,0.0,,16,4096,32768,suffix_k32,2159167,430.7260921142858,131.58556261588555,3.273353729326889,88.65516403774025,8.685530002818723,docs/lyris_swebench_qwen32_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-32B,0.0,,16,4096,32768,eagle3_k3,2159168,266.5195747313754,131.58556261588555,2.025446936829832,69.98927935171609,3.0996783805514827,docs/lyris_swebench_qwen32_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-32B,0.0,,32,4096,32768,baseline,2159172,237.78898277667247,237.78898277667247,1.0,,,docs/lyris_swebench_qwen32_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-32B,0.0,,32,4096,32768,suffix_k32,2159173,866.4503791516117,237.78898277667247,3.643778483906329,89.62108051162822,9.129367492181851,docs/lyris_swebench_qwen32_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-32B,0.0,,32,4096,32768,eagle3_k3,2159175,438.54534893333687,237.78898277667247,1.8442626896016099,65.48145425760488,2.9644436277281465,docs/lyris_swebench_qwen32_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-235B-A22B,1.0,,4,4096,32768,baseline,3423938,7.923111303156699,7.923111303156699,1.0,,,docs/oci_swebench_qwen235b_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-235B-A22B,1.0,,4,4096,32768,suffix_k32,3423939,15.60769618642765,7.923111303156699,1.9698948543369932,46.82108687577648,2.357287393023558,docs/oci_swebench_qwen235b_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-235B-A22B,1.0,,4,4096,32768,eagle3_k3,3423942,10.63002733404262,7.923111303156699,1.341648113640337,23.98469443533399,1.7195408330600197,docs/oci_swebench_qwen235b_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-235B-A22B,1.0,,8,4096,32768,baseline,3423945,15.075989863776506,15.075989863776506,1.0,,,docs/oci_swebench_qwen235b_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-235B-A22B,1.0,,8,4096,32768,suffix_k32,3423948,25.537119680892314,15.075989863776506,1.693893396827697,48.77994283745915,2.581193228113589,docs/oci_swebench_qwen235b_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-235B-A22B,1.0,,8,4096,32768,eagle3_k3,3423949,19.479847393336662,15.075989863776506,1.2921106719593534,23.432360386580132,1.702970811597404,docs/oci_swebench_qwen235b_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-235B-A22B,1.0,,16,4096,32768,baseline,3423950,30.56043220920272,30.56043220920272,1.0,,,docs/oci_swebench_qwen235b_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-235B-A22B,1.0,,16,4096,32768,suffix_k32,3423951,41.69587482169171,30.56043220920272,1.364374513300756,49.118924451575424,2.6269095092414902,docs/oci_swebench_qwen235b_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-235B-A22B,1.0,,16,4096,32768,eagle3_k3,3423952,36.61937594134853,30.56043220920272,1.198261061580185,24.422558950377578,1.7326767685113273,docs/oci_swebench_qwen235b_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-235B-A22B,1.0,,32,4096,32768,baseline,3423955,60.25629688901522,60.25629688901522,1.0,,,docs/oci_swebench_qwen235b_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-235B-A22B,1.0,,32,4096,32768,suffix_k32,3423959,83.73702577547503,60.25629688901522,1.3896809146720128,46.33037103562067,2.50743015797125,docs/oci_swebench_qwen235b_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-235B-A22B,1.0,,32,4096,32768,eagle3_k3,3423960,70.70672221943735,60.25629688901522,1.1734329168895086,23.426292362181325,1.70278877086544,docs/oci_swebench_qwen235b_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-30B-A3B,1.0,,4,4096,32768,baseline,2159186,78.47392072840016,78.47392072840016,1.0,,,docs/lyris_swebench_qwen30ba3b_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-30B-A3B,1.0,,4,4096,32768,suffix_k32,2159188,572.8246320586514,78.47392072840016,7.299554128832293,92.76502939503129,9.729625223081499,docs/lyris_swebench_qwen30ba3b_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-30B-A3B,1.0,,4,4096,32768,eagle3_k3,2159189,82.92108057168235,78.47392072840016,1.0566705448383789,11.556350135969149,1.3466905040790744,docs/lyris_swebench_qwen30ba3b_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-30B-A3B,1.0,,8,4096,32768,baseline,2159194,152.0632394071262,152.0632394071262,1.0,,,docs/lyris_swebench_qwen30ba3b_osl32k_temp01_bsweep_20260619_metrics_live.csv
