job_id,label,log_path,metrics_csv,summary_csv,merge_rl_summary,skip_step1,min_step,max_step,disabled,notes
3334220,qwen235b_baseline,tmp/oci_logs_20260616/3334220-ray-driver.log,docs/oci_hsg_mathrl_qwen235b_baseline_step20_3334220_partial_metrics_20260616.csv,docs/oci_hsg_mathrl_qwen235b_baseline_step20_3334220_partial_summary_20260616.csv,true,false,,,,qwen235B MathRL baseline failed after reusable partial steps
3333717,qwen235b_suffix,tmp/oci_logs_20260616/3333717-ray-driver.log,docs/oci_hsg_mathrl_qwen235b_suffix_step20_3333717_partial_metrics_20260616.csv,docs/oci_hsg_mathrl_qwen235b_suffix_step20_3333717_partial_summary_20260616.csv,true,false,,,,qwen235B MathRL suffix K32 failed after reusable partial steps
3333537,qwen235b_eagle3,tmp/oci_logs_20260616/3333537-ray-driver.log,docs/oci_hsg_mathrl_qwen235b_eagle3_step20_3333537_partial_metrics_20260616.csv,docs/oci_hsg_mathrl_qwen235b_eagle3_step20_3333537_partial_summary_20260616.csv,true,false,,,,qwen235B MathRL Eagle-3 failed after reusable partial steps
