mode,run_id,step,policy_generate_time_s,mean_gen_tokens_per_sample,total_num_tokens,policy_generate_generated_tokens_per_sec_per_gpu,policy_generate_total_tokens_per_sec_per_gpu
baseline,jorrhdfl,1,2.3081701453775167,512.0,84544.0,7098.263545610624,9157.037249757455
baseline,jorrhdfl,2,2.032216541003436,512.0,86400.0,8062.132981119309,10628.788598155339
baseline,jorrhdfl,3,2.0247504208236933,512.0,87424.0,8091.861511175678,10794.416820572242
baseline,jorrhdfl,4,2.027566068805754,512.0,89632.0,8080.624474866188,11051.674391650486
baseline,jorrhdfl,5,2.029586998745799,512.0,86528.0,8072.57831771914,10658.326060113552
baseline,jorrhdfl,6,2.0199493230320513,512.0,81600.0,8111.094577069262,10099.263267346982
baseline,jorrhdfl,7,2.0228288429789245,512.0,85216.0,8099.548341357471,10531.785758317845
baseline,jorrhdfl,8,2.1974347890354693,512.0,120096.0,7455.966421279563,13663.204091338965
baseline,jorrhdfl,9,2.0186336329206824,512.0,83616.0,8116.381166350938,10355.519525231934
baseline,jorrhdfl,10,2.01189227681607,512.0,81952.0,8143.577163051979,10183.447809851621
baseline,jorrhdfl,11,2.0266439062543213,512.0,84320.0,8084.301316791855,10401.432602415303
baseline,jorrhdfl,12,2.0341848391108215,512.0,88512.0,8054.331978583489,10878.067506231411
baseline,jorrhdfl,13,2.020275474060327,512.0,85536.0,8109.785130971086,10584.69514408482
baseline,jorrhdfl,14,2.0171154658310115,512.0,80768.0,8122.489900819891,10010.334233237014
baseline,jorrhdfl,15,2.018794470001012,512.0,84320.0,8115.734535369411,10441.87524448164
baseline,jorrhdfl,16,2.023105605971068,512.0,84416.0,8098.44031455583,10431.487084862441
baseline,jorrhdfl,17,2.018177208956331,512.0,85440.0,8118.216738991286,10583.807955618522
baseline,jorrhdfl,18,2.0517527000047266,512.0,87936.0,7985.367827205616,10714.741596270036
baseline,jorrhdfl,19,2.0186185417696834,512.0,87168.0,8116.441844250805,10795.501749872654
baseline,jorrhdfl,20,2.016512196045369,512.0,86240.0,8124.9198651667275,10691.728045226724
k1_always,1k74f3rk,1,3.5258985520340502,512.0,84544.0,4646.758764669579,5994.500320438002
k1_always,1k74f3rk,2,1.456631532870233,512.0,86400.0,11247.86854484469,14828.732944863606
k1_always,1k74f3rk,3,1.8956067748367786,512.0,87424.0,8643.142774909498,11529.817412623413
k1_always,1k74f3rk,4,2.0331559642218053,512.0,89632.0,8058.407858676504,11021.289263746527
k1_always,1k74f3rk,5,1.4161939332261682,512.0,86528.0,11569.036991054143,15274.744152251173
k1_always,1k74f3rk,6,1.7540730517357588,512.0,81600.0,9340.54598455125,11630.074345998872
k1_always,1k74f3rk,7,1.4453057809732854,512.0,85216.0,11336.009456052148,14740.133389388122
k1_always,1k74f3rk,8,1.9143151040188968,512.0,120096.0,8558.674570139246,15683.938311392869
k1_always,1k74f3rk,9,1.6344096646644175,512.0,83616.0,10024.414535852624,12789.939053800248
k1_always,1k74f3rk,10,1.9712256947532296,512.0,81952.0,8311.579969563583,10393.533350611491
k1_always,1k74f3rk,11,1.504302728921175,512.0,84320.0,10891.424767772602,14013.136847207425
k1_always,1k74f3rk,12,1.8114296300336719,512.0,88512.0,9044.789666875133,12215.765731726864
k1_always,1k74f3rk,13,1.7299684910103679,512.0,85536.0,9470.69272367563,12360.91877460203
k1_always,1k74f3rk,14,1.436041300650686,512.0,80768.0,11409.142614892922,14060.876933588737
k1_always,1k74f3rk,15,1.4413983542472124,512.0,84320.0,11366.739771641227,14624.68715736066
k1_always,1k74f3rk,16,1.4411378018558025,512.0,84416.0,11368.794836206338,14643.98475484
k1_always,1k74f3rk,17,1.8236374468542635,512.0,85440.0,8984.2419216945,11712.854458459138
k1_always,1k74f3rk,18,1.7941942792385817,512.0,87936.0,9131.675532347046,12252.853692817229
k1_always,1k74f3rk,19,1.4135714750736952,512.0,87168.0,11590.49987136012,15416.27033671141
k1_always,1k74f3rk,20,1.4587932522408664,512.0,86240.0,11231.200840031566,14779.338996037633
