domain,job_id,label,tag,model,temperature,batch_size,isl,osl,method,spec_method,num_speculative_tokens,draft_model,prompt_count_loaded,prompt_count_used,num_batches,total_gpus,latency_s,mean_latency_s,output_tok_s,output_tok_s_per_gpu,speedup_vs_baseline,metrics_available,acceptance_rate_pct,mean_acceptance_length,accepted_tokens_per_draft,num_drafts,num_draft_tokens,num_accepted_tokens,acceptance_rate_by_position_pct,breakdown_json
Math,3423819,qwen235b_math500_osl32k_baseline_t10_offset0_n1_isl4096_osl32768_bs1_k0_20260619_qmath_qwen235b_baseline_qwen32_bs12,qwen235b_math500_osl32k_baseline_t10_offset0_n1_isl4096_osl32768_bs1_k0_20260619_qmath_qwen235b_baseline_qwen32_bs12,Qwen/Qwen3-235B-A22B,1.0,1,4096,32768,baseline,draft_model,0,,1,1,1,4,4238.971920655997,4238.971920655997,7.730176234554777,1.9325440586386942,1.0,False,,,,,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_baseline_qwen32_bs12_20260619/qwen235b_math500_osl32k_baseline_t10_offset0_n1_isl4096_osl32768_bs1_k0_20260619_qmath_qwen235b_baseline_qwen32_bs12/breakdown.json
Math,3423821,qwen235b_math500_osl32k_baseline_t10_offset0_n2_isl4096_osl32768_bs2_k0_20260619_qmath_qwen235b_baseline_qwen32_bs12,qwen235b_math500_osl32k_baseline_t10_offset0_n2_isl4096_osl32768_bs2_k0_20260619_qmath_qwen235b_baseline_qwen32_bs12,Qwen/Qwen3-235B-A22B,1.0,2,4096,32768,baseline,draft_model,0,,2,2,1,4,4169.10242201807,4169.10242201807,15.719450703318786,3.9298626758296966,1.0,False,,,,,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_baseline_qwen32_bs12_20260619/qwen235b_math500_osl32k_baseline_t10_offset0_n2_isl4096_osl32768_bs2_k0_20260619_qmath_qwen235b_baseline_qwen32_bs12/breakdown.json
Math,3423823,qwen32_math500_osl32k_baseline_t10_offset0_n1_isl4096_osl32768_bs1_k0_20260619_qmath_qwen235b_baseline_qwen32_bs12,qwen32_math500_osl32k_baseline_t10_offset0_n1_isl4096_osl32768_bs1_k0_20260619_qmath_qwen235b_baseline_qwen32_bs12,Qwen/Qwen3-32B,1.0,1,4096,32768,baseline,draft_model,0,,1,1,1,2,2236.1739558170084,2236.1739558170084,14.653600590758998,7.326800295379499,1.0,False,,,,,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_baseline_qwen32_bs12_20260619/qwen32_math500_osl32k_baseline_t10_offset0_n1_isl4096_osl32768_bs1_k0_20260619_qmath_qwen235b_baseline_qwen32_bs12/breakdown.json
Math,3423825,qwen32_math500_osl32k_suffix_t10_offset0_n1_isl4096_osl32768_bs1_k32_20260619_qmath_qwen235b_baseline_qwen32_bs12,qwen32_math500_osl32k_suffix_t10_offset0_n1_isl4096_osl32768_bs1_k32_20260619_qmath_qwen235b_baseline_qwen32_bs12,Qwen/Qwen3-32B,1.0,1,4096,32768,suffix_k32,suffix,32,,1,1,1,2,1481.1429313669214,1481.1429313669214,22.12345568145741,11.061727840728706,1.5097624330916408,True,29.169087739686226,1.6615055180365674,0.6615055180365673,18213,41304,12048,"24.8394,11.3490,7.1487,5.2819,4.6835,3.5744,3.1132,2.2127,1.7735,1.2244,0.8510,0.0988,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_baseline_qwen32_bs12_20260619/qwen32_math500_osl32k_suffix_t10_offset0_n1_isl4096_osl32768_bs1_k32_20260619_qmath_qwen235b_baseline_qwen32_bs12/breakdown.json
Math,3423828,qwen32_math500_osl32k_pard_t10_offset0_n1_isl4096_osl32768_bs1_k5_20260619_qmath_qwen235b_baseline_qwen32_bs12,qwen32_math500_osl32k_pard_t10_offset0_n1_isl4096_osl32768_bs1_k5_20260619_qmath_qwen235b_baseline_qwen32_bs12,Qwen/Qwen3-32B,1.0,1,4096,32768,pard_k5,draft_model,5,amd/PARD-Qwen3-0.6B,1,1,1,2,894.0545555709978,894.0545555709978,36.65100725209364,18.32550362604682,2.5011605185422394,True,58.46503831417624,3.9232519157088124,2.9232519157088124,8352,41760,24415,"89.7390,77.0354,63.6135,38.6853,23.2519",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_baseline_qwen32_bs12_20260619/qwen32_math500_osl32k_pard_t10_offset0_n1_isl4096_osl32768_bs1_k5_20260619_qmath_qwen235b_baseline_qwen32_bs12/breakdown.json
Math,3423830,qwen32_math500_osl32k_eagle3_t10_offset0_n1_isl4096_osl32768_bs1_k3_20260619_qmath_qwen235b_baseline_qwen32_bs12,qwen32_math500_osl32k_eagle3_t10_offset0_n1_isl4096_osl32768_bs1_k3_20260619_qmath_qwen235b_baseline_qwen32_bs12,Qwen/Qwen3-32B,1.0,1,4096,32768,eagle3_k3,eagle3,3,RedHatAI/Qwen3-32B-speculator.eagle3,1,1,1,2,1152.6959744830383,1152.6959744830383,28.427270264994036,14.213635132497018,1.93995121464694,True,43.03293015451304,2.290987904635391,1.2909879046353911,14303,42909,18465,"72.5372,39.1456,17.4159",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_baseline_qwen32_bs12_20260619/qwen32_math500_osl32k_eagle3_t10_offset0_n1_isl4096_osl32768_bs1_k3_20260619_qmath_qwen235b_baseline_qwen32_bs12/breakdown.json
Math,3423833,qwen32_math500_osl32k_baseline_t10_offset0_n2_isl4096_osl32768_bs2_k0_20260619_qmath_qwen235b_baseline_qwen32_bs12,qwen32_math500_osl32k_baseline_t10_offset0_n2_isl4096_osl32768_bs2_k0_20260619_qmath_qwen235b_baseline_qwen32_bs12,Qwen/Qwen3-32B,1.0,2,4096,32768,baseline,draft_model,0,,2,2,1,2,2118.985619032057,2118.985619032057,30.92800602862824,15.46400301431412,1.0,False,,,,,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_baseline_qwen32_bs12_20260619/qwen32_math500_osl32k_baseline_t10_offset0_n2_isl4096_osl32768_bs2_k0_20260619_qmath_qwen235b_baseline_qwen32_bs12/breakdown.json
Math,3423835,qwen32_math500_osl32k_suffix_t10_offset0_n2_isl4096_osl32768_bs2_k32_20260619_qmath_qwen235b_baseline_qwen32_bs12,qwen32_math500_osl32k_suffix_t10_offset0_n2_isl4096_osl32768_bs2_k32_20260619_qmath_qwen235b_baseline_qwen32_bs12,Qwen/Qwen3-32B,1.0,2,4096,32768,suffix_k32,suffix,32,,2,2,1,2,1313.0223233660217,1313.0223233660217,49.912327333471396,24.956163666735698,1.6138229954841086,True,51.17940490812924,2.845604519774011,1.8456045197740114,22125,79786,40834,"40.6870,26.4407,19.0780,15.8463,13.9254,11.9367,10.9876,10.1198,9.5096,9.0802,8.8633,8.0859,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_baseline_qwen32_bs12_20260619/qwen32_math500_osl32k_suffix_t10_offset0_n2_isl4096_osl32768_bs2_k32_20260619_qmath_qwen235b_baseline_qwen32_bs12/breakdown.json
Math,3423836,qwen32_math500_osl32k_pard_t10_offset0_n2_isl4096_osl32768_bs2_k5_20260619_qmath_qwen235b_baseline_qwen32_bs12,qwen32_math500_osl32k_pard_t10_offset0_n2_isl4096_osl32768_bs2_k5_20260619_qmath_qwen235b_baseline_qwen32_bs12,Qwen/Qwen3-32B,1.0,2,4096,32768,pard_k5,draft_model,5,amd/PARD-Qwen3-0.6B,2,2,1,2,1779.691297732992,1779.691297732992,36.824363912708414,18.412181956354207,1.1906478509678982,True,33.28265376641327,2.6641326883206635,1.6641326883206635,24599,122995,40936,"60.2098,35.2941,27.1312,22.6229,21.1553",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_baseline_qwen32_bs12_20260619/qwen32_math500_osl32k_pard_t10_offset0_n2_isl4096_osl32768_bs2_k5_20260619_qmath_qwen235b_baseline_qwen32_bs12/breakdown.json
Math,3423837,qwen32_math500_osl32k_eagle3_t10_offset0_n2_isl4096_osl32768_bs2_k3_20260619_qmath_qwen235b_baseline_qwen32_bs12,qwen32_math500_osl32k_eagle3_t10_offset0_n2_isl4096_osl32768_bs2_k3_20260619_qmath_qwen235b_baseline_qwen32_bs12,Qwen/Qwen3-32B,1.0,2,4096,32768,eagle3_k3,eagle3,3,RedHatAI/Qwen3-32B-speculator.eagle3,2,2,1,2,1852.8493117140606,1852.8493117140606,35.37038850686299,17.685194253431494,1.1436362394045931,True,29.998453837382343,1.8999536151214704,0.8999536151214704,34494,103482,31043,"38.2559,27.7469,23.9926",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_baseline_qwen32_bs12_20260619/qwen32_math500_osl32k_eagle3_t10_offset0_n2_isl4096_osl32768_bs2_k3_20260619_qmath_qwen235b_baseline_qwen32_bs12/breakdown.json
