domain,temperature,model,method,rows,batches,isl,osl,tp,total_gpus,baseline_tok_s_per_gpu,tok_s_per_gpu,speedup_vs_baseline,acceptance_pct,mean_accept_len,source_group,source_file
Math,1.0,Qwen3-30B-A3B,eagle3_k3,2,1/2,4096,32768,1.0,1,29.089809686161978,32.48063643235426,1.1217967690105248,10.700124312838327,1.3210037293851498,lyris_core_20260616,docs/lyris_math500_osl32k_temp01_home_retry_metrics_live_20260616.csv
Math,1.0,Qwen3-30B-A3B,eagle3_k3,4,4/8/16/32,4096,32768,,4,231.08615865287845,226.32593485464582,0.9466985594226089,10.517261320785035,1.315517839623551,oci_qmath_bsweep_20260617,docs/qmath_vllm_standalone_batch_sweep_status_20260617.csv
Math,1.0,Qwen3-30B-A3B,pard_k3,1,1,4096,32768,1.0,1,29.089809686161978,36.29858869664507,1.8749026480058524,63.654257405228606,2.9096277221568583,lyris_core_20260616,docs/lyris_math500_osl32k_temp01_home_retry_metrics_live_20260616.csv
Math,1.0,Qwen3-30B-A3B,pard_k5,1,1,4096,32768,1.0,1,29.089809686161978,36.92239144421829,1.9071234440547755,41.09016336137587,3.0545081680687933,lyris_core_20260616,docs/lyris_math500_osl32k_temp01_home_retry_metrics_live_20260616.csv
Math,1.0,Qwen3-30B-A3B,pard_k5,4,4/8/16/32,4096,32768,,4,231.08615865287845,174.10893566821315,0.7322066525189055,38.2468493856816,2.91234246928408,oci_qmath_bsweep_20260617,docs/qmath_vllm_standalone_batch_sweep_status_20260617.csv
Math,1.0,Qwen3-30B-A3B,suffix_k32,2,1/2,4096,32768,1.0,1,29.089809686161978,162.80937398387036,6.061236990396827,83.85014049378901,7.162472600585987,lyris_core_20260616,docs/lyris_math500_osl32k_temp01_home_retry_metrics_live_20260616.csv
Math,1.0,Qwen3-30B-A3B,suffix_k32,4,4/8/16/32,4096,32768,,4,231.08615865287845,750.8296726963102,3.917787885123758,80.79205378636911,6.963258087114238,oci_qmath_bsweep_20260617,docs/qmath_vllm_standalone_batch_sweep_status_20260617.csv
Math,1.0,Qwen3-8B,eagle3_k3,2,1/2,4096,32768,1.0,1,54.359703416616185,99.61495617773986,1.930465552830496,68.60841324846666,3.058252397454,lyris_core_20260616,docs/lyris_math500_osl32k_temp01_home_retry_metrics_live_20260616.csv
Math,1.0,Qwen3-8B,eagle3_k3,4,4/8/16/32,4096,32768,,4,401.59006766060344,417.06655328297734,0.9626797281590703,52.60332059670742,2.5780996179012226,oci_qmath_bsweep_20260617,docs/qmath_vllm_standalone_batch_sweep_status_20260617.csv
Math,1.0,Qwen3-8B,pard2_k3,2,1/2,4096,32768,1.0,1,54.359703416616185,36.52511961129672,0.6974486044552847,25.29879945381927,1.7589639836145783,lyris_core_20260616,docs/lyris_math500_osl32k_temp01_home_retry_metrics_live_20260616.csv
Math,1.0,Qwen3-8B,pard2_k5,2,1/2,4096,32768,1.0,1,54.359703416616185,31.047241432739753,0.6172243442335872,12.357572752435122,1.617878637621756,lyris_core_20260616,docs/lyris_math500_osl32k_temp01_home_retry_metrics_live_20260616.csv
Math,1.0,Qwen3-8B,pard2_k5,4,4/8/16/32,4096,32768,,4,401.59006766060344,161.25294090586684,0.38092423366730305,0.18932827255249554,1.0094664136276248,oci_qmath_bsweep_20260617,docs/qmath_vllm_standalone_batch_sweep_status_20260617.csv
Math,1.0,Qwen3-8B,pard_k3,2,1/2,4096,32768,1.0,1,54.359703416616185,69.7477531105339,1.2910940925233265,70.68529484148067,3.12055884524442,lyris_core_20260616,docs/lyris_math500_osl32k_temp01_home_retry_metrics_live_20260616.csv
Math,1.0,Qwen3-8B,pard_k5,2,1/2,4096,32768,1.0,1,54.359703416616185,57.46661447641178,1.0535619865132577,33.393198217347994,2.6696599108673995,lyris_core_20260616,docs/lyris_math500_osl32k_temp01_home_retry_metrics_live_20260616.csv
Math,1.0,Qwen3-8B,pard_k5,4,4/8/16/32,4096,32768,,4,401.59006766060344,233.88309313730696,0.5832500503297429,35.48286185512371,2.7741430927561854,oci_qmath_bsweep_20260617,docs/qmath_vllm_standalone_batch_sweep_status_20260617.csv
Math,1.0,Qwen3-8B,suffix_k32,2,1/2,4096,32768,1.0,1,54.359703416616185,272.28985232218633,5.322017825549832,80.59374451070266,6.705824285833183,lyris_core_20260616,docs/lyris_math500_osl32k_temp01_home_retry_metrics_live_20260616.csv
Math,1.0,Qwen3-8B,suffix_k32,4,4/8/16/32,4096,32768,,4,401.59006766060344,870.762822138413,2.1705449779830444,75.85959150834857,6.113951442072419,oci_qmath_bsweep_20260617,docs/qmath_vllm_standalone_batch_sweep_status_20260617.csv
