job_id,run_id,method,max_steps,state,target_model,draft_model,num_speculative_tokens,base_log_dir,local_log_dir,tracker_file
3288611,20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec_suffix_py312_retry1,suffix,10,FAILED,Qwen/Qwen3-235B-A22B-Thinking-2507,,32,/lustre/fsw/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec_suffix_py312_retry1/suffix_steps10,tmp/oci_hsg_swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec_suffix_py312_retry1/suffix_steps10_3288611,latest_oci_hsg_swerl_qwen235b_suffix_py312_retry1_20260613_jobs.csv
3288612,20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec_suffix_py312_retry1,suffix,20,FAILED,Qwen/Qwen3-235B-A22B-Thinking-2507,,32,/lustre/fsw/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec_suffix_py312_retry1/suffix_steps20,tmp/oci_hsg_swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec_suffix_py312_retry1/suffix_steps20_3288612,latest_oci_hsg_swerl_qwen235b_suffix_py312_retry1_20260613_jobs.csv
3291005,20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec_writable_r1,baseline,10,FAILED,Qwen/Qwen3-235B-A22B-Thinking-2507,,0,/lustre/fsw/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec_writable_r1/baseline_steps10,tmp/oci_hsg_swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec_writable_r1/baseline_steps10_3291005,latest_oci_hsg_swerl_qwen235b_fullgrpo_specdec_writable_r1_20260613_jobs.csv
3291006,20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec_writable_r1,suffix,10,CANCELLED by 150081,Qwen/Qwen3-235B-A22B-Thinking-2507,,32,/lustre/fsw/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec_writable_r1/suffix_steps10,tmp/oci_hsg_swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec_writable_r1/suffix_steps10_3291006,latest_oci_hsg_swerl_qwen235b_fullgrpo_specdec_writable_r1_20260613_jobs.csv
3291007,20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec_writable_r1,pard,10,CANCELLED by 150081,Qwen/Qwen3-235B-A22B-Thinking-2507,amd/PARD-Qwen3-0.6B,5,/lustre/fsw/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec_writable_r1/pard_steps10,tmp/oci_hsg_swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec_writable_r1/pard_steps10_3291007,latest_oci_hsg_swerl_qwen235b_fullgrpo_specdec_writable_r1_20260613_jobs.csv
3291008,20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec_writable_r1,pard2,10,CANCELLED by 150081,Qwen/Qwen3-235B-A22B-Thinking-2507,amd/PARD2-Qwen3-8B,1,/lustre/fsw/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec_writable_r1/pard2_steps10,tmp/oci_hsg_swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec_writable_r1/pard2_steps10_3291008,latest_oci_hsg_swerl_qwen235b_fullgrpo_specdec_writable_r1_20260613_jobs.csv
3291010,20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec_writable_r1,eagle3,10,CANCELLED by 150081,Qwen/Qwen3-235B-A22B-Thinking-2507,nvidia/Qwen3-235B-A22B-Eagle3,3,/lustre/fsw/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec_writable_r1/eagle3_steps10,tmp/oci_hsg_swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_fullgrpo_specdec_writable_r1/eagle3_steps10_3291010,latest_oci_hsg_swerl_qwen235b_fullgrpo_specdec_writable_r1_20260613_jobs.csv
3291097,20260613_oci_hsg_swerl_qwen235b_megatron_reconvert_r1,baseline,1,COMPLETED,Qwen/Qwen3-235B-A22B-Thinking-2507,,0,/lustre/fsw/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_megatron_reconvert_r1/baseline_steps1,tmp/oci_hsg_swerl_fullgrpo_logs/20260613_oci_hsg_swerl_qwen235b_megatron_reconvert_r1/baseline_steps1_3291097,latest_oci_hsg_swerl_qwen235b_megatron_reconvert_r1_20260613_jobs.csv
3299465,20260614_oci_hsg_swerl_qwen235b_fullgrpo_specdec_after_prewarm_n3post_r1,baseline,10,COMPLETING,Qwen/Qwen3-235B-A22B-Thinking-2507,,0,/lustre/fsw/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/swerl_fullgrpo_logs/20260614_oci_hsg_swerl_qwen235b_fullgrpo_specdec_after_prewarm_n3post_r1/baseline_steps10,tmp/oci_hsg_swerl_fullgrpo_logs/20260614_oci_hsg_swerl_qwen235b_fullgrpo_specdec_after_prewarm_n3post_r1/baseline_steps10_3299465,latest_oci_hsg_swerl_qwen235b_fullgrpo_specdec_after_prewarm_n3post_r1_20260614_jobs.csv
3299466,20260614_oci_hsg_swerl_qwen235b_fullgrpo_specdec_after_prewarm_n3post_r1,suffix,10,COMPLETING,Qwen/Qwen3-235B-A22B-Thinking-2507,,32,/lustre/fsw/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/swerl_fullgrpo_logs/20260614_oci_hsg_swerl_qwen235b_fullgrpo_specdec_after_prewarm_n3post_r1/suffix_steps10,tmp/oci_hsg_swerl_fullgrpo_logs/20260614_oci_hsg_swerl_qwen235b_fullgrpo_specdec_after_prewarm_n3post_r1/suffix_steps10_3299466,latest_oci_hsg_swerl_qwen235b_fullgrpo_specdec_after_prewarm_n3post_r1_20260614_jobs.csv
3299467,20260614_oci_hsg_swerl_qwen235b_fullgrpo_specdec_after_prewarm_n3post_r1,pard,10,COMPLETING,Qwen/Qwen3-235B-A22B-Thinking-2507,amd/PARD-Qwen3-0.6B,5,/lustre/fsw/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/swerl_fullgrpo_logs/20260614_oci_hsg_swerl_qwen235b_fullgrpo_specdec_after_prewarm_n3post_r1/pard_steps10,tmp/oci_hsg_swerl_fullgrpo_logs/20260614_oci_hsg_swerl_qwen235b_fullgrpo_specdec_after_prewarm_n3post_r1/pard_steps10_3299467,latest_oci_hsg_swerl_qwen235b_fullgrpo_specdec_after_prewarm_n3post_r1_20260614_jobs.csv
3299468,20260614_oci_hsg_swerl_qwen235b_fullgrpo_specdec_after_prewarm_n3post_r1,pard2,10,COMPLETING,Qwen/Qwen3-235B-A22B-Thinking-2507,amd/PARD2-Qwen3-8B,1,/lustre/fsw/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/swerl_fullgrpo_logs/20260614_oci_hsg_swerl_qwen235b_fullgrpo_specdec_after_prewarm_n3post_r1/pard2_steps10,tmp/oci_hsg_swerl_fullgrpo_logs/20260614_oci_hsg_swerl_qwen235b_fullgrpo_specdec_after_prewarm_n3post_r1/pard2_steps10_3299468,latest_oci_hsg_swerl_qwen235b_fullgrpo_specdec_after_prewarm_n3post_r1_20260614_jobs.csv
3299469,20260614_oci_hsg_swerl_qwen235b_fullgrpo_specdec_after_prewarm_n3post_r1,eagle3,10,COMPLETING,Qwen/Qwen3-235B-A22B-Thinking-2507,nvidia/Qwen3-235B-A22B-Eagle3,3,/lustre/fsw/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/swerl_fullgrpo_logs/20260614_oci_hsg_swerl_qwen235b_fullgrpo_specdec_after_prewarm_n3post_r1/eagle3_steps10,tmp/oci_hsg_swerl_fullgrpo_logs/20260614_oci_hsg_swerl_qwen235b_fullgrpo_specdec_after_prewarm_n3post_r1/eagle3_steps10_3299469,latest_oci_hsg_swerl_qwen235b_fullgrpo_specdec_after_prewarm_n3post_r1_20260614_jobs.csv
