source_group,source_file,domain,temperature,model,method,batch_size,isl,osl,tp,total_gpus,output_tok_s_per_gpu,speedup_vs_baseline,acceptance_rate_pct,mean_acceptance_length,label,dataset,job_id,tok_s_per_gpu,acceptance_pct,mean_accept_len
oci_qmath_bsweep_20260617,docs/qmath_vllm_standalone_batch_sweep_status_20260617.csv,Math,0.0,Qwen3-235B-A22B,suffix_k32,16,4096,32768,,4,121.4550082179654,5.163246795438189,80.44482479055941,6.783046237533998,qwen235b_math500_osl32k_suffix_t00_offset0_n16_isl4096_osl32768_bs16_k32_20260617_qmath_osl32k_bsweep,MATH-500,3365954,121.4550082179654,80.44482479055941,6.783046237533998
oci_qmath_bsweep_20260617,docs/qmath_vllm_standalone_batch_sweep_status_20260617.csv,Math,0.0,Qwen3-235B-A22B,baseline,32,4096,32768,,4,60.842495081365485,1.0,,,qwen235b_math500_osl32k_baseline_t00_offset0_n32_isl4096_osl32768_bs32_k0_20260617_qmath_osl32k_bsweep,MATH-500,3365958,60.842495081365485,,
oci_qmath_bsweep_20260617,docs/qmath_vllm_standalone_batch_sweep_status_20260617.csv,Math,0.0,Qwen3-235B-A22B,eagle3_k3,32,4096,32768,,4,109.56184058858584,1.8007453580275976,59.11474588883364,2.773442376665009,qwen235b_math500_osl32k_eagle3_t00_offset0_n32_isl4096_osl32768_bs32_k3_20260617_qmath_osl32k_bsweep,MATH-500,3365965,109.56184058858584,59.11474588883364,2.773442376665009
oci_qmath_bsweep_20260617,docs/qmath_vllm_standalone_batch_sweep_status_20260617.csv,Math,0.0,Qwen3-235B-A22B,pard2_k1,32,4096,32768,,4,49.01436357081575,0.805594239770545,5.565064010921524,1.0556506401092152,qwen235b_math500_osl32k_pard2_t00_offset0_n32_isl4096_osl32768_bs32_k1_20260617_qmath_osl32k_bsweep,MATH-500,3365964,49.01436357081575,5.565064010921524,1.0556506401092152
oci_qmath_bsweep_20260617,docs/qmath_vllm_standalone_batch_sweep_status_20260617.csv,Math,0.0,Qwen3-235B-A22B,pard_k5,32,4096,32768,,4,105.63504709780238,1.7362050480759412,51.41696379010315,3.5708481895051576,qwen235b_math500_osl32k_pard_t00_offset0_n32_isl4096_osl32768_bs32_k5_20260617_qmath_osl32k_bsweep,MATH-500,3365963,105.63504709780238,51.41696379010315,3.5708481895051576
oci_qmath_bsweep_20260617,docs/qmath_vllm_standalone_batch_sweep_status_20260617.csv,Math,0.0,Qwen3-235B-A22B,suffix_k32,32,4096,32768,,4,139.08885655856616,2.286047874475903,77.80479990423429,6.3957978525341685,qwen235b_math500_osl32k_suffix_t00_offset0_n32_isl4096_osl32768_bs32_k32_20260617_qmath_osl32k_bsweep,MATH-500,3365960,139.08885655856616,77.80479990423429,6.3957978525341685
oci_qmath_bsweep_20260617,docs/qmath_vllm_standalone_batch_sweep_status_20260617.csv,Math,0.0,Qwen3-30B-A3B,baseline,4,4096,32768,,4,70.51966400829444,1.0,,,qwen30ba3b_math500_osl32k_baseline_t00_offset0_n4_isl4096_osl32768_bs4_k0_20260617_qmath_osl32k_bsweep,MATH-500,3365967,70.51966400829444,,
oci_qmath_bsweep_20260617,docs/qmath_vllm_standalone_batch_sweep_status_20260617.csv,Math,0.0,Qwen3-30B-A3B,eagle3_k3,4,4096,32768,,4,74.00081897559397,1.0493643158437351,8.651015590214714,1.2595304677064414,qwen30ba3b_math500_osl32k_eagle3_t00_offset0_n4_isl4096_osl32768_bs4_k3_20260617_qmath_osl32k_bsweep,MATH-500,3365971,74.00081897559397,8.651015590214714,1.2595304677064414
oci_qmath_bsweep_20260617,docs/qmath_vllm_standalone_batch_sweep_status_20260617.csv,Math,0.0,Qwen3-30B-A3B,pard_k5,4,4096,32768,,4,97.27031320957944,1.379336027439646,42.36077741037657,3.1180388705188284,qwen30ba3b_math500_osl32k_pard_t00_offset0_n4_isl4096_osl32768_bs4_k5_20260617_qmath_osl32k_bsweep,MATH-500,3365969,97.27031320957944,42.36077741037657,3.1180388705188284
oci_qmath_bsweep_20260617,docs/qmath_vllm_standalone_batch_sweep_status_20260617.csv,Math,0.0,Qwen3-30B-A3B,suffix_k32,4,4096,32768,,4,483.1865432507697,6.851798715234064,91.727505377357,9.315399943068602,qwen30ba3b_math500_osl32k_suffix_t00_offset0_n4_isl4096_osl32768_bs4_k32_20260617_qmath_osl32k_bsweep,MATH-500,3365968,483.1865432507697,91.727505377357,9.315399943068602
oci_qmath_bsweep_20260617,docs/qmath_vllm_standalone_batch_sweep_status_20260617.csv,Math,0.0,Qwen3-30B-A3B,baseline,8,4096,32768,,4,123.57770088666382,1.0,,,qwen30ba3b_math500_osl32k_baseline_t00_offset0_n8_isl4096_osl32768_bs8_k0_20260617_qmath_osl32k_bsweep,MATH-500,3365974,123.57770088666382,,
