checked_at,job_id,domain,model_group,method,k,temperature,batch_size,isl,osl,state,exit_code,elapsed,time_limit,live_generation_tok_s,live_tok_s_gpu_approx,running_reqs,waiting_reqs,gpu_kv_cache_pct,prefix_cache_hit_pct,live_acceptance_pct,live_mean_accept_len,live_accepted_tput,live_drafted_tput,engine_log_samples,specdec_log_samples,fatal_log_matches,breakdown_present,breakdown_valid,final_tok_s_gpu,final_acceptance_pct,final_mean_accept_len,partial,logs_dir
2026-06-20T10:39:47+00:00,3459984,math,qwen235b,eagle3,8,1.0,16,4096,32768,COMPLETED,0:0,01:40:11,18:00:00,28.1,7.0250,2,0,4.2,38.1,13.8,2.10,14.72,106.64,571,571,0,1,1,50.1044,22.1991,1.7759,False,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_eagle3_t10_offset0_n16_isl4096_osl32768_bs16_k8_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_eagle3_k8
2026-06-20T10:39:47+00:00,3459991,math,qwen235b,eagle3,8,1.0,32,4096,32768,COMPLETED,0:0,01:48:29,1-00:00:00,11.8,2.9500,1,0,2.1,36.2,8.6,1.69,4.84,56.06,592,592,0,1,1,85.6449,19.1392,1.5311,False,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_eagle3_t10_offset0_n32_isl4096_osl32768_bs32_k8_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_eagle3_k8
2026-06-20T10:39:47+00:00,3460387,math,qwen235b,pard2,16,0.0,1,4096,32768,COMPLETED,0:0,02:54:12,1-00:00:00,6.0,1.5000,1,0,3.1,43.6,0.2,1.03,0.20,93.42,592,592,0,1,1,1.6249,0.2657,0.0425,False,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_pard2_t00_offset0_n1_isl4096_osl32768_bs1_k16_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_pard2_k16
2026-06-20T10:39:47+00:00,3460388,math,qwen235b,pard2,16,0.0,2,4096,32768,COMPLETED,0:0,02:51:18,1-00:00:00,5.9,1.4750,1,0,3.1,46.2,0.0,1.00,0.00,94.79,592,592,0,1,1,3.3100,0.2454,0.0393,False,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_pard2_t00_offset0_n2_isl4096_osl32768_bs2_k16_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_pard2_k16
2026-06-20T10:39:47+00:00,3460389,math,qwen235b,pard2,16,0.0,4,4096,32768,COMPLETED,0:0,02:55:14,08:00:00,10.4,2.6000,1,0,3.1,44.8,0.0,1.00,0.00,166.35,592,592,0,1,1,6.3086,0.1728,0.0276,False,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_pard2_t00_offset0_n4_isl4096_osl32768_bs4_k16_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_pard2_k16
2026-06-20T10:39:47+00:00,3460391,math,qwen235b,pard2,16,0.0,8,4096,32768,COMPLETED,0:0,02:57:14,12:00:00,5.9,1.4750,1,0,3.1,46.1,0.0,1.00,0.00,94.97,592,592,0,1,1,12.7353,0.3047,0.0487,False,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_pard2_t00_offset0_n8_isl4096_osl32768_bs8_k16_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_pard2_k16
2026-06-20T10:39:47+00:00,3460392,math,qwen235b,pard2,16,0.0,16,4096,32768,COMPLETED,0:0,03:03:02,18:00:00,5.9,1.4750,1,0,3.1,46.1,0.0,1.00,0.00,94.72,592,592,0,1,1,24.5741,0.3459,0.0553,False,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_pard2_t00_offset0_n16_isl4096_osl32768_bs16_k16_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_pard2_k16
2026-06-20T10:39:47+00:00,3460393,math,qwen235b,pard2,16,0.0,32,4096,32768,COMPLETED,0:0,03:24:45,1-00:00:00,10.2,2.5500,1,0,3.1,45.2,0.0,1.00,0.00,163.84,593,593,0,1,1,43.6521,0.2819,0.0451,False,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_pard2_t00_offset0_n32_isl4096_osl32768_bs32_k16_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_pard2_k16
2026-06-20T10:39:47+00:00,3460394,math,qwen235b,pard2,16,1.0,1,4096,32768,COMPLETED,0:0,02:54:29,1-00:00:00,6.2,1.5500,1,0,3.1,43.6,0.3,1.05,0.30,93.65,575,576,0,1,1,1.6218,0.0843,0.0135,False,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_pard2_t10_offset0_n1_isl4096_osl32768_bs1_k16_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_pard2_k16
2026-06-20T10:39:47+00:00,3460395,math,qwen235b,pard2,16,1.0,2,4096,32768,COMPLETED,0:0,02:59:35,1-00:00:00,5.9,1.4750,1,0,3.1,46.2,0.0,1.00,0.00,95.00,592,592,0,1,1,3.1589,0.1292,0.0207,False,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_pard2_t10_offset0_n2_isl4096_osl32768_bs2_k16_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_pard2_k16
2026-06-20T10:39:47+00:00,3460397,math,qwen235b,pard2,16,1.0,4,4096,32768,COMPLETED,0:0,03:24:01,08:00:00,5.6,1.4000,1,0,3.1,44.8,0.0,1.00,0.00,89.19,592,592,0,1,1,5.1509,0.0474,0.0076,False,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_pard2_t10_offset0_n4_isl4096_osl32768_bs4_k16_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_pard2_k16
2026-06-20T10:39:47+00:00,3460398,math,qwen235b,pard2,16,1.0,8,4096,32768,COMPLETED,0:0,03:02:16,12:00:00,5.9,1.4750,1,0,3.1,46.1,0.0,1.00,0.00,94.89,592,592,0,1,1,12.3553,0.2097,0.0336,False,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_pard2_t10_offset0_n8_isl4096_osl32768_bs8_k16_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_pard2_k16
2026-06-20T10:39:47+00:00,3460399,math,qwen235b,pard2,16,1.0,16,4096,32768,COMPLETED,0:0,03:12:09,18:00:00,9.0,2.2500,1,0,3.1,46.1,0.0,1.00,0.00,144.31,586,587,0,1,1,22.8324,0.2472,0.0395,False,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_pard2_t10_offset0_n16_isl4096_osl32768_bs16_k16_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_pard2_k16
