job_id,label,method,model,prompt_count,isl,osl,batch_sizes,log_path,latest_prompt_tok_s,latest_generation_tok_s,running_reqs,waiting_reqs,gpu_kv_cache_pct,prefix_cache_hit_pct,live_acceptance_pct,live_mean_acceptance_length,live_accepted_throughput,live_drafted_throughput,completed_batch_rows,last_completed_bs,last_completed_out_tok_s_gpu,last_completed_latency_s,last_completed_coverage_pct,tail_status
2101569,qwen235b_n16_isl4096_osl1024_pard_k3,pard,Qwen/Qwen3-235B-A22B,16,4096,1024,1 2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl1k_lyris_tp4_fp8kv_pard_k3_pard_offset0_n16_isl4096_osl1024_bs1_2_k3_20260611/slurm-2101569.out,0.0,24.5,1,0,0.1,53.6,30.8,1.92,11.83,38.46,2,2,7.44,550.274,0.0,ok
2101570,qwen235b_n16_isl4096_osl1024_pard_k5,pard,Qwen/Qwen3-235B-A22B,16,4096,1024,1 2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl1k_lyris_tp4_fp8kv_pard_k5_pard_offset0_n16_isl4096_osl1024_bs1_2_k5_20260611/slurm-2101570.out,0.0,31.0,2,0,0.2,53.6,25.9,2.29,17.47,67.48,2,2,7.61,537.956,0.0,ok
2101572,qwen235b_n16_isl4096_osl1024_pard2_k3,pard2,Qwen/Qwen3-235B-A22B,16,4096,1024,1 2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl1k_lyris_tp4_fp8kv_pard2_k3_pard2_offset0_n16_isl4096_osl1024_bs1_2_k3_20260611/slurm-2101572.out,0.0,27.8,2,0,0.3,53.6,35.5,2.07,14.34,40.35,2,2,7.12,575.018,0.0,ok
2101573,qwen235b_n16_isl4096_osl1024_pard2_k5,pard2,Qwen/Qwen3-235B-A22B,16,4096,1024,1 2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl1k_lyris_tp4_fp8kv_pard2_k5_pard2_offset0_n16_isl4096_osl1024_bs1_2_k5_20260611/slurm-2101573.out,0.0,34.2,2,0,0.2,53.6,30.9,2.54,20.77,67.25,2,2,7.36,556.715,0.0,ok
2101574,qwen235b_n16_isl4096_osl1024_pard2_native_k3,pard2,Qwen/Qwen3-235B-A22B,16,4096,1024,1 2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl1k_lyris_tp4_fp8kv_pard2_native_k3_probe_pard2_offset0_n16_isl4096_osl1024_bs1_2_k3_20260611/slurm-2101574.out,,,,,,,,,,,0,,,,,ok
2101575,qwen235b_n16_isl4096_osl1024_eagle3_k1,eagle3,Qwen/Qwen3-235B-A22B,16,4096,1024,1 2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl1k_lyris_tp4_fp8kv_eagle3_k1_eagle3_offset0_n16_isl4096_osl1024_bs1_2_k1_20260611/slurm-2101575.out,0.0,26.8,2,0,0.2,52.0,62.0,1.62,10.26,16.54,2,2,6.68,613.234,0.0,ok
2101576,qwen235b_n16_isl4096_osl1024_eagle3_k3,eagle3,Qwen/Qwen3-235B-A22B,16,4096,1024,1 2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl1k_lyris_tp4_fp8kv_eagle3_k3_eagle3_offset0_n16_isl4096_osl1024_bs1_2_k3_20260611/slurm-2101576.out,0.0,21.8,1,0,0.1,52.0,35.5,2.07,11.27,31.72,2,2,8.04,509.701,0.0,ok
2101577,qwen235b_n2_isl4096_osl32768_pard_k3,pard,Qwen/Qwen3-235B-A22B,2,4096,32768,1,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl32k_pilot_lyris_tp4_fp8kv_pard_k3_pard_offset0_n2_isl4096_osl32768_bs1_k3_20260611/slurm-2101577.out,0.0,7.6,1,0,2.2,27.0,11.7,1.35,1.97,16.82,1,1,3.10,5283.376,0.0,ok
2101578,qwen235b_n2_isl4096_osl32768_pard_k5,pard,Qwen/Qwen3-235B-A22B,2,4096,32768,1,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl32k_pilot_lyris_tp4_fp8kv_pard_k5_pard_offset0_n2_isl4096_osl32768_bs1_k5_20260611/slurm-2101578.out,0.0,8.1,1,0,2.1,27.0,8.9,1.45,2.49,27.85,1,1,3.19,5138.471,0.0,ok
2101579,qwen235b_n2_isl4096_osl32768_pard2_k3,pard2,Qwen/Qwen3-235B-A22B,2,4096,32768,1,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl32k_pilot_lyris_tp4_fp8kv_pard2_k3_pard2_offset0_n2_isl4096_osl32768_bs1_k3_20260611/slurm-2101579.out,0.0,5.8,1,0,2.1,27.0,1.2,1.04,0.20,16.72,1,1,1.87,8778.999,0.0,ok
