job_id,label,step,max_steps,status,usable_for_metrics,total_step_time_s,generation_time_s,e2e_tokens_per_sec_per_gpu,generation_worker_tokens_per_sec_per_gpu,mean_generation_length,vllm_acceptance_rate_pct_mean_weighted,vllm_acceptance_length_mean_weighted,error_count,latest_error,metrics_csv,summary_csv,log_path,notes
3333717,qwen235b_suffix,6,20,completed_step,true,125.16,89.9,18.06,25.14,1024.0,25.87490494296578,1.7318250950570342,0,,docs/oci_hsg_mathrl_qwen235b_suffix_step20_3333717_partial_metrics_20260616.csv,docs/oci_hsg_mathrl_qwen235b_suffix_step20_3333717_partial_summary_20260616.csv,tmp/oci_logs_20260616/3333717-ray-driver.log,qwen235B MathRL suffix K32 failed after reusable partial steps
3333717,qwen235b_suffix,7,20,completed_step,true,125.37,92.71,18.08,24.45,1024.0,26.205818181818184,1.7434181818181818,0,,docs/oci_hsg_mathrl_qwen235b_suffix_step20_3333717_partial_metrics_20260616.csv,docs/oci_hsg_mathrl_qwen235b_suffix_step20_3333717_partial_summary_20260616.csv,tmp/oci_logs_20260616/3333717-ray-driver.log,qwen235B MathRL suffix K32 failed after reusable partial steps
3333717,qwen235b_suffix,8,20,completed_step,true,128.26,94.89,17.44,23.57,1024.0,25.31062271062271,1.7347985347985349,0,,docs/oci_hsg_mathrl_qwen235b_suffix_step20_3333717_partial_metrics_20260616.csv,docs/oci_hsg_mathrl_qwen235b_suffix_step20_3333717_partial_summary_20260616.csv,tmp/oci_logs_20260616/3333717-ray-driver.log,qwen235B MathRL suffix K32 failed after reusable partial steps
3333717,qwen235b_suffix,9,20,completed_step,true,130.15,95.53,17.63,24.02,1024.0,21.86086956521739,1.5351811594202898,0,,docs/oci_hsg_mathrl_qwen235b_suffix_step20_3333717_partial_metrics_20260616.csv,docs/oci_hsg_mathrl_qwen235b_suffix_step20_3333717_partial_summary_20260616.csv,tmp/oci_logs_20260616/3333717-ray-driver.log,qwen235B MathRL suffix K32 failed after reusable partial steps
3333717,qwen235b_suffix,10,20,completed_step,true,124.74,89.47,17.84,24.88,1024.0,25.719245283018868,1.7453584905660378,0,,docs/oci_hsg_mathrl_qwen235b_suffix_step20_3333717_partial_metrics_20260616.csv,docs/oci_hsg_mathrl_qwen235b_suffix_step20_3333717_partial_summary_20260616.csv,tmp/oci_logs_20260616/3333717-ray-driver.log,qwen235B MathRL suffix K32 failed after reusable partial steps
3333717,qwen235b_suffix,11,20,completed_step,true,126.51,93.65,17.82,24.08,1024.0,29.807063197026025,1.921635687732342,0,,docs/oci_hsg_mathrl_qwen235b_suffix_step20_3333717_partial_metrics_20260616.csv,docs/oci_hsg_mathrl_qwen235b_suffix_step20_3333717_partial_summary_20260616.csv,tmp/oci_logs_20260616/3333717-ray-driver.log,qwen235B MathRL suffix K32 failed after reusable partial steps
3333717,qwen235b_suffix,12,20,completed_step,true,126.23,93.65,18.61,25.08,1024.0,23.054444444444442,1.6357407407407407,0,,docs/oci_hsg_mathrl_qwen235b_suffix_step20_3333717_partial_metrics_20260616.csv,docs/oci_hsg_mathrl_qwen235b_suffix_step20_3333717_partial_summary_20260616.csv,tmp/oci_logs_20260616/3333717-ray-driver.log,qwen235B MathRL suffix K32 failed after reusable partial steps
3333717,qwen235b_suffix,13,20,completed_step,true,122.13,87.95,18.15,25.2,1024.0,26.052651515151513,1.8454924242424242,0,,docs/oci_hsg_mathrl_qwen235b_suffix_step20_3333717_partial_metrics_20260616.csv,docs/oci_hsg_mathrl_qwen235b_suffix_step20_3333717_partial_summary_20260616.csv,tmp/oci_logs_20260616/3333717-ray-driver.log,qwen235B MathRL suffix K32 failed after reusable partial steps
3333717,qwen235b_suffix,14,20,completed_step,true,126.91,92.45,17.96,24.66,1024.0,26.116349809885932,1.7390114068441065,0,,docs/oci_hsg_mathrl_qwen235b_suffix_step20_3333717_partial_metrics_20260616.csv,docs/oci_hsg_mathrl_qwen235b_suffix_step20_3333717_partial_summary_20260616.csv,tmp/oci_logs_20260616/3333717-ray-driver.log,qwen235B MathRL suffix K32 failed after reusable partial steps
3333717,qwen235b_suffix,15,20,incomplete_step,false,,,,,,23.46617100371747,1.6600000000000001,336,"Process group watchdog thread terminated with exception: [Rank 7] Watchdog caught collective operation timeout: WorkNCCL(SeqNum=298, OpType=COALESCED, NumelIn=0, NumelOut=0, Timeout(ms)=1800000) ran for 1800095 milliseconds before timing out. [repeated 111x across cluster]",docs/oci_hsg_mathrl_qwen235b_suffix_step20_3333717_partial_metrics_20260616.csv,docs/oci_hsg_mathrl_qwen235b_suffix_step20_3333717_partial_summary_20260616.csv,tmp/oci_logs_20260616/3333717-ray-driver.log,qwen235B MathRL suffix K32 failed after reusable partial steps
3333537,qwen235b_eagle3,1,20,completed_step,true,325.77,73.18,6.99,31.11,1024.0,43.032738095238095,2.289761904761905,0,,docs/oci_hsg_mathrl_qwen235b_eagle3_step20_3333537_partial_metrics_20260616.csv,docs/oci_hsg_mathrl_qwen235b_eagle3_step20_3333537_partial_summary_20260616.csv,tmp/oci_logs_20260616/3333537-ray-driver.log,qwen235B MathRL Eagle-3 failed after reusable partial steps
3333537,qwen235b_eagle3,2,20,completed_step,true,119.62,66.25,18.59,33.56,1024.0,47.567525773195875,2.4269072164948455,0,,docs/oci_hsg_mathrl_qwen235b_eagle3_step20_3333537_partial_metrics_20260616.csv,docs/oci_hsg_mathrl_qwen235b_eagle3_step20_3333537_partial_summary_20260616.csv,tmp/oci_logs_20260616/3333537-ray-driver.log,qwen235B MathRL Eagle-3 failed after reusable partial steps
3333537,qwen235b_eagle3,3,20,completed_step,true,105.92,65.4,20.91,33.87,1024.0,46.27720207253886,2.387823834196891,0,,docs/oci_hsg_mathrl_qwen235b_eagle3_step20_3333537_partial_metrics_20260616.csv,docs/oci_hsg_mathrl_qwen235b_eagle3_step20_3333537_partial_summary_20260616.csv,tmp/oci_logs_20260616/3333537-ray-driver.log,qwen235B MathRL Eagle-3 failed after reusable partial steps
3333537,qwen235b_eagle3,4,20,completed_step,true,121.23,67.72,18.7,33.48,1024.0,44.4489898989899,2.33489898989899,0,,docs/oci_hsg_mathrl_qwen235b_eagle3_step20_3333537_partial_metrics_20260616.csv,docs/oci_hsg_mathrl_qwen235b_eagle3_step20_3333537_partial_summary_20260616.csv,tmp/oci_logs_20260616/3333537-ray-driver.log,qwen235B MathRL Eagle-3 failed after reusable partial steps
3333537,qwen235b_eagle3,5,20,completed_step,true,100.93,65.76,22.58,34.65,1024.0,46.60260416666667,2.39953125,0,,docs/oci_hsg_mathrl_qwen235b_eagle3_step20_3333537_partial_metrics_20260616.csv,docs/oci_hsg_mathrl_qwen235b_eagle3_step20_3333537_partial_summary_20260616.csv,tmp/oci_logs_20260616/3333537-ray-driver.log,qwen235B MathRL Eagle-3 failed after reusable partial steps
3333537,qwen235b_eagle3,6,20,completed_step,true,97.8,64.35,23.11,35.12,1024.0,52.58497409326424,2.578238341968912,0,,docs/oci_hsg_mathrl_qwen235b_eagle3_step20_3333537_partial_metrics_20260616.csv,docs/oci_hsg_mathrl_qwen235b_eagle3_step20_3333537_partial_summary_20260616.csv,tmp/oci_logs_20260616/3333537-ray-driver.log,qwen235B MathRL Eagle-3 failed after reusable partial steps
3333537,qwen235b_eagle3,7,20,completed_step,true,98.5,64.68,23.02,35.05,1024.0,49.79157894736842,2.4907368421052634,0,,docs/oci_hsg_mathrl_qwen235b_eagle3_step20_3333537_partial_metrics_20260616.csv,docs/oci_hsg_mathrl_qwen235b_eagle3_step20_3333537_partial_summary_20260616.csv,tmp/oci_logs_20260616/3333537-ray-driver.log,qwen235B MathRL Eagle-3 failed after reusable partial steps
3333537,qwen235b_eagle3,8,20,completed_step,true,104.01,68.25,21.51,32.78,1024.0,44.268844221105525,2.3263316582914575,0,,docs/oci_hsg_mathrl_qwen235b_eagle3_step20_3333537_partial_metrics_20260616.csv,docs/oci_hsg_mathrl_qwen235b_eagle3_step20_3333537_partial_summary_20260616.csv,tmp/oci_logs_20260616/3333537-ray-driver.log,qwen235B MathRL Eagle-3 failed after reusable partial steps
3333537,qwen235b_eagle3,9,20,completed_step,true,99.08,65.23,23.15,35.17,1024.0,50.38743455497382,2.512722513089005,0,,docs/oci_hsg_mathrl_qwen235b_eagle3_step20_3333537_partial_metrics_20260616.csv,docs/oci_hsg_mathrl_qwen235b_eagle3_step20_3333537_partial_summary_20260616.csv,tmp/oci_logs_20260616/3333537-ray-driver.log,qwen235B MathRL Eagle-3 failed after reusable partial steps
3333537,qwen235b_eagle3,10,20,completed_step,true,99.51,61.61,22.37,36.13,1024.0,50.358247422680414,2.5123711340206185,0,,docs/oci_hsg_mathrl_qwen235b_eagle3_step20_3333537_partial_metrics_20260616.csv,docs/oci_hsg_mathrl_qwen235b_eagle3_step20_3333537_partial_summary_20260616.csv,tmp/oci_logs_20260616/3333537-ray-driver.log,qwen235B MathRL Eagle-3 failed after reusable partial steps
3333537,qwen235b_eagle3,11,20,completed_step,true,100.1,66.1,22.53,34.11,1024.0,47.55663265306123,2.426122448979592,0,,docs/oci_hsg_mathrl_qwen235b_eagle3_step20_3333537_partial_metrics_20260616.csv,docs/oci_hsg_mathrl_qwen235b_eagle3_step20_3333537_partial_summary_20260616.csv,tmp/oci_logs_20260616/3333537-ray-driver.log,qwen235B MathRL Eagle-3 failed after reusable partial steps
3333537,qwen235b_eagle3,12,20,completed_step,true,102.1,67.48,23.01,34.81,1024.0,50.3235294117647,2.5085026737967913,0,,docs/oci_hsg_mathrl_qwen235b_eagle3_step20_3333537_partial_metrics_20260616.csv,docs/oci_hsg_mathrl_qwen235b_eagle3_step20_3333537_partial_summary_20260616.csv,tmp/oci_logs_20260616/3333537-ray-driver.log,qwen235B MathRL Eagle-3 failed after reusable partial steps
3333537,qwen235b_eagle3,13,20,completed_step,true,98.29,63.96,22.55,34.66,1024.0,43.44920634920635,2.302804232804233,0,,docs/oci_hsg_mathrl_qwen235b_eagle3_step20_3333537_partial_metrics_20260616.csv,docs/oci_hsg_mathrl_qwen235b_eagle3_step20_3333537_partial_summary_20260616.csv,tmp/oci_logs_20260616/3333537-ray-driver.log,qwen235B MathRL Eagle-3 failed after reusable partial steps
3333537,qwen235b_eagle3,14,20,completed_step,true,100.96,67.51,22.58,33.77,1024.0,47.29020618556701,2.4187113402061855,0,,docs/oci_hsg_mathrl_qwen235b_eagle3_step20_3333537_partial_metrics_20260616.csv,docs/oci_hsg_mathrl_qwen235b_eagle3_step20_3333537_partial_summary_20260616.csv,tmp/oci_logs_20260616/3333537-ray-driver.log,qwen235B MathRL Eagle-3 failed after reusable partial steps
3333537,qwen235b_eagle3,15,20,incomplete_step,false,,,,,,48.01340206185567,2.4401546391752578,309,"Process group watchdog thread terminated with exception: [Rank 7] Watchdog caught collective operation timeout: WorkNCCL(SeqNum=313, OpType=COALESCED, NumelIn=0, NumelOut=0, Timeout(ms)=1800000) ran for 1800059 milliseconds before timing out. [repeated 79x across cluster]",docs/oci_hsg_mathrl_qwen235b_eagle3_step20_3333537_partial_metrics_20260616.csv,docs/oci_hsg_mathrl_qwen235b_eagle3_step20_3333537_partial_summary_20260616.csv,tmp/oci_logs_20260616/3333537-ray-driver.log,qwen235B MathRL Eagle-3 failed after reusable partial steps
