step,baseline_gen_tps_gpu,baseline_gen_time_s,baseline_step_time_s,baseline_total_tokens,baseline_draft_loss,k1_gen_tps_gpu,k1_gen_time_s,k1_step_time_s,k1_total_tokens,k1_acceptance_pct,k1_acceptance_length,k1_draft_loss,k1_gen_speedup,k1_gen_time_speedup,k1_e2e_throughput_speedup,k1_step_time_speedup,k3_gen_tps_gpu,k3_gen_time_s,k3_step_time_s,k3_total_tokens,k3_acceptance_pct,k3_acceptance_length,k3_draft_loss,k3_gen_speedup,k3_gen_time_speedup,k3_e2e_throughput_speedup,k3_step_time_speedup
1,5350.902083816716,3.9499881830997765,58.51309771789238,84544,9.036226131021976,4035.9799145946686,5.2368942480534315,56.79584604687989,84544,42.01388888888889,1.4201388888888888,9.015334963798523,0.7542615901720755,0.7542615901720754,1.030235515280379,1.030235515280379,3440.2734786138153,6.143697625026107,60.68400561995804,84544,22.15001353912808,1.6645004061738424,9.207154035568237,0.6429333642674173,0.6429333642674173,0.9642260282608687,0.9642260282608687
2,6383.737792401942,3.383597619831562,61.11739462427795,86400,7.134202718734741,7738.917761093773,2.7910879359114915,48.723099337890744,86400,71.64429530201343,1.7164429530201342,7.158975958824158,1.2122862831717172,1.2122862831717172,1.2543823249098702,1.2543823249098702,6958.863032659641,3.103955329861492,53.52285451814532,86400,48.44124700239808,2.4532374100719423,7.071422338485718,1.0900922404648614,1.0900922404648616,1.141893405620919,1.141893405620919
3,6420.977036584493,3.4038433521054685,50.710380653850734,87424,7.8192960023880005,7038.571646738627,3.105175466975197,50.43000365397893,87424,56.901840490797554,1.5690184049079754,7.913243770599365,1.0961838995273296,1.0961838995273296,1.005559725947981,1.005559725947981,5664.767284661161,3.85823439899832,50.348184525966644,87424,33.59477124183007,2.007843137254902,7.846963167190552,0.8822282422729887,0.8822282422729886,1.0071938269729923,1.0071938269729923
4,6586.591421854846,3.4020631560124457,49.38305519986898,89632,8.277859088033438,6457.734755022019,3.469947411911562,48.71144971414469,89632,48.188405797101446,1.4818840579710144,8.32011353969574,0.9804365173760028,0.9804365173760027,1.0137874255368193,1.0137874255368193,5529.958270921477,4.052110143005848,49.73682023584843,89632,28.117505995203835,1.843525179856115,8.25122582912445,0.8395781545781975,0.8395781545781975,0.9928872606993787,0.9928872606993788
5,6118.575713335172,3.535463319160044,48.472538453992456,86528,7.167176604270935,7589.984117765018,2.8500718399882317,46.772585455095395,86528,71.90916736753574,1.7190916736753574,7.165897965431213,1.2404821764684508,1.2404821764684508,1.0363450722759193,1.0363450722759195,7432.210044762872,2.9105743607506156,47.75128615787253,86528,46.4327485380117,2.3929824561403508,7.195248603820801,1.2146960980747024,1.2146960980747024,1.0151043532887338,1.0151043532887338
6,6238.861942254754,3.2698271237313747,47.92711445596069,81600,7.326892655342817,6516.208313159674,3.130654979031533,48.4569101058878,81600,62.301587301587304,1.623015873015873,7.407644987106323,1.0444546414830083,1.0444546414830083,0.9890666646146152,0.9890666646146152,5455.248072753825,3.739518300164491,49.02909399336204,81600,37.74305555555556,2.1322916666666667,7.419378995895386,0.8743979468124395,0.8743979468124395,0.9775239669419439,0.9775239669419439
7,6456.776686327246,3.299479141831398,47.301828369963914,85216,7.24703985825181,7515.39423998812,2.8347148958127946,48.04362704209052,85216,70.843776106934,1.70843776106934,7.245368719100952,1.1639544938734807,1.1639544938734807,0.9845598944584945,0.9845598944584945,7324.52661630131,2.9085838738828897,48.18929797178134,85216,46.94117647058824,2.408235294117647,7.1709476709365845,1.1343936722810308,1.1343936722810308,0.9815836785516753,0.9815836785516753
8,8288.222746760412,3.6224895152263343,49.23083232110366,120096,8.704352617263794,8824.308195330945,3.4024196951650083,48.68775912700221,120096,51.74461766889383,1.5174461766889382,8.660236597061157,1.0646803862480736,1.0646803862480738,1.0111542039280315,1.0111542039280315,7540.341687319475,3.981782423797995,50.16033026203513,120096,27.857570317175345,1.8357271095152603,8.739648580551147,0.9097658108026526,0.9097658108026526,0.9814694613038666,0.9814694613038667
9,6692.003922051416,3.1237279959023,48.32489347225055,83616,7.826000213623047,6537.949382917106,3.1973327989690006,47.37343815085478,83616,60.093896713615024,1.6009389671361502,7.835300803184509,0.9769793112901994,0.9769793112901994,1.0200841517638213,1.0200841517638213,6660.09600534523,3.1386934937909245,48.94043505284935,83616,36.29251700680272,2.0887755102040817,7.836730360984802,0.9952319339501515,0.9952319339501515,0.9874226377445542,0.9874226377445543
10,5872.976455107075,3.488520711194724,48.40334115596488,81952,8.162840783596039,7015.08985175447,2.9205613089725375,46.92471106699668,81952,56.584992343032155,1.5658499234303216,8.123079299926758,1.1944692619454018,1.1944692619454018,1.0315106913893852,1.0315106913893852,5363.5485762920935,3.819859130308032,47.982621017377824,81952,32.435033686236764,1.973051010587103,8.265061497688293,0.9132589952115356,0.9132589952115356,1.0087681775123265,1.0087681775123265
