step,baseline_gen_tps_gpu,baseline_gen_time_s,baseline_step_time_s,baseline_total_tokens,baseline_draft_loss,k1_gen_tps_gpu,k1_gen_time_s,k1_step_time_s,k1_total_tokens,k1_acceptance_pct,k1_acceptance_length,k1_draft_loss,k1_gen_speedup,k1_gen_time_speedup,k1_e2e_throughput_speedup,k1_step_time_speedup,k3_gen_tps_gpu,k3_gen_time_s,k3_step_time_s,k3_total_tokens,k3_acceptance_pct,k3_acceptance_length,k3_draft_loss,k3_gen_speedup,k3_gen_time_speedup,k3_e2e_throughput_speedup,k3_step_time_speedup
11,6292.443614141619,3.350049884058535,47.75433877389878,84320,7.239224433898926,7185.761909927806,2.9335789668839425,48.1858782840427,84320,67.15686274509804,1.6715686274509802,7.255830526351929,1.1419668336444917,1.1419668336444917,0.9910442742664124,0.9910442742664124,6675.78740364391,3.1576799447648227,48.84825068200007,84320,41.988950276243095,2.2596685082872927,7.2288700342178345,1.0609212911563903,1.0609212911563903,0.9776059143812005,0.9776059143812005
12,8010.113135180018,2.7625077981501818,47.59826449304819,88512,9.428969621658325,6931.441079393503,3.1924097379669547,48.081624476006255,88512,39.75409836065574,1.3975409836065573,9.395396709442139,0.8653362271440286,0.8653362271440287,0.989947095418973,0.989947095418973,6058.490602190763,3.652394870761782,49.872160103172064,88512,20.367454068241468,1.6110236220472443,9.424339294433594,0.7563551849951,0.7563551849950999,0.9544055119044413,0.9544055119044413
13,6352.953393109604,3.3659935272298753,48.65071648871526,85536,7.991885542869568,6848.758904342497,3.1223175320774317,46.41525441291742,85536,60.26645768025078,1.6026645768025078,8.057912349700928,1.0780433100250102,1.0780433100250102,1.0481622282172756,1.0481622282172758,5940.597751016573,3.599637763109058,49.86220599897206,85536,36.11676849966056,2.0835030549898166,7.930749893188477,0.935092292265158,0.9350922922651581,0.9757032508693704,0.9757032508693704
14,6001.137496409345,3.3646954451687634,48.230115744285285,80768,7.070842623710632,7114.009891900351,2.8383429748937488,47.48093929886818,80768,70.07481296758104,1.7007481296758105,7.166148900985718,1.1854435756815889,1.1854435756815886,1.0157784672434853,1.0157784672434853,6939.637313877498,2.9096621461212635,48.60458503104746,80768,47.455621301775146,2.4236686390532545,7.066136002540588,1.1563869879718112,1.156386987971811,0.9922955974930561,0.992295597493056
15,6071.746127618565,3.4718184121884406,48.99211559910327,84320,7.551473259925842,7342.872831313219,2.8708109869621694,48.524350794032216,84320,71.70445004198153,1.7170445004198154,7.490599989891052,1.2093510955460862,1.2093510955460862,1.0096397952248046,1.0096397952248046,6718.768232471972,3.137479858007282,49.115962469018996,84320,45.44405997693195,2.3633217993079585,7.459048390388489,1.1065627730893253,1.1065627730893253,0.9974784802396197,0.9974784802396198
16,6226.474701542205,3.3893978553824127,48.57378212129697,84416,6.926807165145874,7156.873796193475,2.9487735289148986,47.0866235489957,84416,71.99327165685449,1.719932716568545,6.946341395378113,1.1494263028838492,1.149426302883849,1.031583461718248,1.0315834617182482,7036.294081864473,2.9993061339482665,47.86066515976563,84416,44.980842911877396,2.349425287356322,7.109357118606567,1.130060655369191,1.130060655369191,1.0148998548004056,1.0148998548004056
17,6363.0486582626,3.3568814489990473,48.94401635089889,85440,7.797683000564575,6637.490994985482,3.218083461979404,47.68234488205053,85440,59.56284153005464,1.5956284153005464,7.871728539466858,1.0431306361874997,1.0431306361874997,1.0264599291827885,1.0264599291827887,5836.944672803388,3.6594487694092095,50.20342278201133,85440,33.99209486166008,2.0197628458498027,7.802723526954651,0.9173188806632728,0.9173188806632728,0.9749139329288181,0.9749139329288181
18,6367.373107791506,3.452601194847375,48.55185581324622,87936,8.253021717071533,9007.710522839945,2.440575764980167,46.71338365110569,87936,47.939262472885034,1.4793926247288502,8.362106561660767,1.4146666718520957,1.4146666718520955,1.0393564331770906,1.0393564331770906,5597.309566531591,3.927601241040975,49.85839241091162,87936,26.242371403661725,1.787271142109852,8.4077627658844,0.8790610306285306,0.8790610306285306,0.9737950516555471,0.9737950516555471
19,6618.098062693884,3.2927889241836965,48.60639465786517,87168,7.179144382476807,7754.958709448332,2.810072988970205,47.514211917994544,87168,74.65870307167235,1.7465870307167235,7.276635050773621,1.171780568372493,1.1717805683724927,1.0229864433352203,1.02298644333522,9791.643583930234,2.2255712039768696,48.50470424396917,87168,48.54291417165669,2.456287425149701,7.256582260131836,1.4795253094126208,1.4795253094126206,1.0020965062148304,1.0020965062148304
20,6049.791236889674,3.563759335782379,48.244594044052064,86240,7.338307023048401,7780.561730846363,2.7710081541445106,47.339495601831004,86240,68.6727122835944,1.686727122835944,7.334524512290955,1.2860876394218381,1.2860876394218381,1.019119308955756,1.019119308955756,6883.120205161464,3.1323003750294447,48.97547692526132,86240,44.0786984487325,2.322360953461975,7.386701703071594,1.1377450784070726,1.1377450784070728,0.9850765540818599,0.9850765540818599
