domain,run_group,model,method,k,config_basis,max_steps,max_new_tokens,sequence_length,job_id,account,state,exit_code,parsed_steps,completed_steps,metric_step_filter,e2e_step_time_s,generation_time_s,e2e_tokens_per_sec_per_gpu,generation_worker_tokens_per_sec_per_gpu,e2e_throughput_speedup,generation_throughput_speedup,acceptance_rate_pct,mean_accepted_length,metric_status,notes,sources
Math-RL,step20 temp1 OSL1024,Qwen3-235B-A22B,suffix,32,performance recipe temp1 max_new_tokens1024,20,1024,,3333717,nemotron_n3_post,FAILED,1:0,15,14,all,145.8186,93.5486,16.6893,24.1929,1.341,1.369,26.3522,1.7436,partial_failed,usable partial steps before NCCL watchdog failure,docs/oci_hsg_mathrl_qwen235b_suffix_step20_3333717_partial_summary_20260616.csv; remote sacct 2026-06-17
SWE-RL,qwen235B full-GRPO step>=2,Qwen3-235B-A22B,baseline,0,full-GRPO after-prewarm W&B retry,10,,,3299487,nemotron_n3_post,COMPLETED,0:0,8,8,step>=2,1243.2913,,103.7525,213.0563,1.000,1.000,,,complete,step>=2 filter avoids cold step 1,docs/oci_hsg_swerl_fullgrpo_n3post_wandb_r1_completed_summary_stepge2_20260615.csv
SWE-RL,qwen235B full-GRPO step>=2,Qwen3-235B-A22B,suffix,32,full-GRPO after-prewarm W&B retry,10,,,3299488,nemotron_n3_post,FAILED,1:0,0,0,step>=2,,,,,,,,not_parsed,failed before usable metrics due Arctic extension import issue,docs/oci_hsg_swerl_fullgrpo_specdec_after_prewarm_n3post_wandb_r1_status_20260614.md; remote sacct 2026-06-17
SWE-RL,qwen235B full-GRPO step>=2,Qwen3-235B-A22B,pard,5,full-GRPO after-prewarm W&B retry,10,,,3299489,nemotron_n3_post,COMPLETED,0:0,5,5,step>=2,1952.394,,27.382,57.07,0.264,0.268,,,complete,completed but slower than matched baseline,docs/oci_hsg_swerl_fullgrpo_n3post_wandb_r1_completed_summary_stepge2_20260615.csv
SWE-RL,qwen235B full-GRPO step>=2,Qwen3-235B-A22B,pard2,1,full-GRPO after-prewarm W&B retry,10,,,3299490,nemotron_n3_post,FAILED,1:0,0,0,step>=2,,,,,,,,not_parsed,failed before usable metrics due PARD-2 vLLM ABI mismatch,docs/oci_hsg_swerl_fullgrpo_specdec_after_prewarm_n3post_wandb_r1_status_20260614.md; remote sacct 2026-06-17
SWE-RL,qwen235B full-GRPO step>=2,Qwen3-235B-A22B,eagle3,3,full-GRPO after-prewarm W&B retry,10,,,3299491,nemotron_n3_post,COMPLETED,0:0,7,7,step>=2,1389.8343,,50.0786,103.4714,0.483,0.486,,,complete,completed but slower than matched baseline,docs/oci_hsg_swerl_fullgrpo_n3post_wandb_r1_completed_summary_stepge2_20260615.csv
SWE-RL,qwen30 ctx40k step1,Qwen3-30B-A3B,baseline,0,ctx40k vLLM40k step1 smoke/full-GRPO,1,,40960,3344823,nemotron_n3_post,COMPLETED,0:0,1,1,all,141.04,,190.8,559.5,1.000,1.000,,,complete,matched ctx40k baseline,docs/oci_hsg_swerl_qwen30ba3b_baseline_ctx40k_3344823_summary_20260616.csv; remote sacct 2026-06-17
SWE-RL,qwen30 ctx40k step1,Qwen3-30B-A3B,suffix,32,ctx40k vLLM40k step1 smoke/full-GRPO,1,,40960,3351394,nemotron_n3_post,COMPLETED,0:0,1,1,all,142.22,,183.31,533.73,0.961,0.954,,,complete_no_acceptance,completed; generation time and acceptance not printed in bounded grep,remote metric grep 2026-06-17; remote sacct 2026-06-17; docs/oci_hsg_swerl_qwen30ba3b_specdec_manifest_submit_status_20260616.csv
SWE-RL,qwen30 ctx40k step1,Qwen3-30B-A3B,eagle3,3,ctx40k vLLM40k step1 smoke/full-GRPO,1,,40960,3365630,nemotron_n3_post,PENDING,0:0,0,0,all,,,,,,,,pending,no metrics yet; squeue reason Priority,docs/oci_hsg_swerl_qwen30ba3b_specdec_manifest_submit_status_20260616.csv; remote sacct/squeue 2026-06-17
SWE-RL,qwen30 ctx40k step1,Qwen3-30B-A3B,pard,5,ctx40k vLLM40k step1 smoke/full-GRPO,1,,40960,3365631,nemotron_n3_post,PENDING,0:0,0,0,all,,,,,,,,pending,no metrics yet; squeue reason Priority,docs/oci_hsg_swerl_qwen30ba3b_specdec_manifest_submit_status_20260616.csv; remote sacct/squeue 2026-06-17
SWE-RL,qwen30 ctx40k step1,Qwen3-30B-A3B,pard2,3,ctx40k vLLM40k step1 smoke/full-GRPO,1,,40960,3365632,nemotron_n3_post,PENDING,0:0,0,0,all,,,,,,,,pending,no metrics yet; squeue reason Priority,docs/oci_hsg_swerl_qwen30ba3b_specdec_manifest_submit_status_20260616.csv; remote sacct/squeue 2026-06-17
SWE-RL,qwen30 ctx40k step1,Qwen3-30B-A3B,online_pard,5,ctx40k vLLM40k step1 smoke/full-GRPO online drafter,1,,40960,3365633,nemotron_n3_post,PENDING,0:0,0,0,all,,,,,,,,pending,no metrics yet; squeue reason Priority,docs/oci_hsg_swerl_qwen30ba3b_specdec_manifest_submit_status_20260616.csv; remote sacct/squeue 2026-06-17
SWE-RL,qwen30 ctx40k step1,Qwen3-30B-A3B,online_pard2,3,ctx40k vLLM40k step1 smoke/full-GRPO online drafter,1,,40960,3365634,nemotron_n3_post,PENDING,0:0,0,0,all,,,,,,,,pending,no metrics yet; squeue reason Priority,docs/oci_hsg_swerl_qwen30ba3b_specdec_manifest_submit_status_20260616.csv; remote sacct/squeue 2026-06-17
