job_id,temperature,model_group,batch_size,method,model,draft_model,specdec_method,num_speculative_tokens,prompt_count,isl,osl,max_model_len,max_num_batched_tokens,logs_dir,job_file,state,exit_code,elapsed,job_name,has_breakdown,output_tok_s_per_gpu,speedup_vs_baseline,acceptance_rate_pct,mean_acceptance_length,accepted_tokens_per_draft,latency_s,breakdown_json
3365936,0.0,qwen235b,4,baseline,Qwen/Qwen3-235B-A22B,,draft_model,0,4,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_osl32k_bsweep_20260617/qwen235b_math500_osl32k_baseline_t00_offset0_n4_isl4096_osl32768_bs4_k0_20260617_qmath_osl32k_bsweep,/Users/sna/Nemo-RL_Qwen3_Roadmap/tmp/oci_qmath_qwen235b_baseline_t00_bs4_20260617_qmath_osl32k_bsweep.job.txt,COMPLETED,0:0,02:27:39,vllm-baseline-qwen235b_math500_osl32k_baseline_t00_bs4-k0,yes,7.8572543284511465,1.0,,,,4170.4135605420015,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_osl32k_bsweep_20260617/qwen235b_math500_osl32k_baseline_t00_offset0_n4_isl4096_osl32768_bs4_k0_20260617_qmath_osl32k_bsweep/breakdown.json
3365937,0.0,qwen235b,4,suffix,Qwen/Qwen3-235B-A22B,,suffix,32,4,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_osl32k_bsweep_20260617/qwen235b_math500_osl32k_suffix_t00_offset0_n4_isl4096_osl32768_bs4_k32_20260617_qmath_osl32k_bsweep,/Users/sna/Nemo-RL_Qwen3_Roadmap/tmp/oci_qmath_qwen235b_suffix_t00_bs4_20260617_qmath_osl32k_bsweep.job.txt,COMPLETED,0:0,00:29:02,vllm-specdec-qwen235b_math500_osl32k_suffix_t00_bs4-k32,yes,51.6276044038515,6.570692794925545,89.8443974564522,8.803498150016818,7.803498150016818,634.6992152429884,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_osl32k_bsweep_20260617/qwen235b_math500_osl32k_suffix_t00_offset0_n4_isl4096_osl32768_bs4_k32_20260617_qmath_osl32k_bsweep/breakdown.json
3365942,0.0,qwen235b,4,pard,Qwen/Qwen3-235B-A22B,amd/PARD-Qwen3-0.6B,draft_model,5,4,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_osl32k_bsweep_20260617/qwen235b_math500_osl32k_pard_t00_offset0_n4_isl4096_osl32768_bs4_k5_20260617_qmath_osl32k_bsweep,/Users/sna/Nemo-RL_Qwen3_Roadmap/tmp/oci_qmath_qwen235b_pard_t00_bs4_20260617_qmath_osl32k_bsweep.job.txt,COMPLETED,0:0,01:04:32,vllm-specdec-qwen235b_math500_osl32k_pard_t00_bs4-k5,yes,17.940792068579746,2.2833411416525076,55.728688216772106,3.786434410838605,2.786434410838605,1826.4522477459395,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_osl32k_bsweep_20260617/qwen235b_math500_osl32k_pard_t00_offset0_n4_isl4096_osl32768_bs4_k5_20260617_qmath_osl32k_bsweep/breakdown.json
3365944,0.0,qwen235b,4,pard2,Qwen/Qwen3-235B-A22B,amd/PARD2-Qwen3-8B,pard2,1,4,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_osl32k_bsweep_20260617/qwen235b_math500_osl32k_pard2_t00_offset0_n4_isl4096_osl32768_bs4_k1_20260617_qmath_osl32k_bsweep,/Users/sna/Nemo-RL_Qwen3_Roadmap/tmp/oci_qmath_qwen235b_pard2_t00_bs4_20260617_qmath_osl32k_bsweep.job.txt,COMPLETED,0:0,03:35:10,vllm-specdec-qwen235b_math500_osl32k_pard2_t00_bs4-k1,yes,4.9821399322755155,0.6340815409570196,3.1820257270165166,1.0318202572701651,0.031820257270165166,6577.093466949998,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_osl32k_bsweep_20260617/qwen235b_math500_osl32k_pard2_t00_offset0_n4_isl4096_osl32768_bs4_k1_20260617_qmath_osl32k_bsweep/breakdown.json
3365945,0.0,qwen235b,4,eagle3,Qwen/Qwen3-235B-A22B,nvidia/Qwen3-235B-A22B-Eagle3,eagle3,3,4,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_osl32k_bsweep_20260617/qwen235b_math500_osl32k_eagle3_t00_offset0_n4_isl4096_osl32768_bs4_k3_20260617_qmath_osl32k_bsweep,/Users/sna/Nemo-RL_Qwen3_Roadmap/tmp/oci_qmath_qwen235b_eagle3_t00_bs4_20260617_qmath_osl32k_bsweep.job.txt,COMPLETED,0:0,01:06:27,vllm-specdec-qwen235b_math500_osl32k_eagle3_t00_bs4-k3,yes,15.911330027527615,2.0250496372393894,56.976311546570756,2.7092893463971226,1.7092893463971226,2059.413005908951,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_osl32k_bsweep_20260617/qwen235b_math500_osl32k_eagle3_t00_offset0_n4_isl4096_osl32768_bs4_k3_20260617_qmath_osl32k_bsweep/breakdown.json
3365948,0.0,qwen235b,8,baseline,Qwen/Qwen3-235B-A22B,,draft_model,0,8,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_osl32k_bsweep_20260617/qwen235b_math500_osl32k_baseline_t00_offset0_n8_isl4096_osl32768_bs8_k0_20260617_qmath_osl32k_bsweep,/Users/sna/Nemo-RL_Qwen3_Roadmap/tmp/oci_qmath_qwen235b_baseline_t00_bs8_20260617_qmath_osl32k_bsweep.job.txt,COMPLETED,0:0,02:26:47,vllm-baseline-qwen235b_math500_osl32k_baseline_t00_bs8-k0,yes,15.52013014261271,1.0,,,,4222.645003475947,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_osl32k_bsweep_20260617/qwen235b_math500_osl32k_baseline_t00_offset0_n8_isl4096_osl32768_bs8_k0_20260617_qmath_osl32k_bsweep/breakdown.json
3365949,0.0,qwen235b,8,suffix,Qwen/Qwen3-235B-A22B,,suffix,32,8,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_osl32k_bsweep_20260617/qwen235b_math500_osl32k_suffix_t00_offset0_n8_isl4096_osl32768_bs8_k32_20260617_qmath_osl32k_bsweep,/Users/sna/Nemo-RL_Qwen3_Roadmap/tmp/oci_qmath_qwen235b_suffix_t00_bs8_20260617_qmath_osl32k_bsweep.job.txt,COMPLETED,0:0,00:37:16,vllm-specdec-qwen235b_math500_osl32k_suffix_t00_bs8-k32,yes,61.08459623264491,3.935830155504207,86.68343617959084,7.793424853339686,6.793424853339686,1072.872770581991,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_osl32k_bsweep_20260617/qwen235b_math500_osl32k_suffix_t00_offset0_n8_isl4096_osl32768_bs8_k32_20260617_qmath_osl32k_bsweep/breakdown.json
3365950,0.0,qwen235b,8,pard,Qwen/Qwen3-235B-A22B,amd/PARD-Qwen3-0.6B,draft_model,5,8,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_osl32k_bsweep_20260617/qwen235b_math500_osl32k_pard_t00_offset0_n8_isl4096_osl32768_bs8_k5_20260617_qmath_osl32k_bsweep,/Users/sna/Nemo-RL_Qwen3_Roadmap/tmp/oci_qmath_qwen235b_pard_t00_bs8_20260617_qmath_osl32k_bsweep.job.txt,COMPLETED,0:0,01:08:58,vllm-specdec-qwen235b_math500_osl32k_pard_t00_bs8-k5,yes,36.46495987208803,2.3495266816074136,53.885201313434514,3.6942600656717257,2.6942600656717257,1797.2321985239396,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_osl32k_bsweep_20260617/qwen235b_math500_osl32k_pard_t00_offset0_n8_isl4096_osl32768_bs8_k5_20260617_qmath_osl32k_bsweep/breakdown.json
3365951,0.0,qwen235b,8,pard2,Qwen/Qwen3-235B-A22B,amd/PARD2-Qwen3-8B,pard2,1,8,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_osl32k_bsweep_20260617/qwen235b_math500_osl32k_pard2_t00_offset0_n8_isl4096_osl32768_bs8_k1_20260617_qmath_osl32k_bsweep,/Users/sna/Nemo-RL_Qwen3_Roadmap/tmp/oci_qmath_qwen235b_pard2_t00_bs8_20260617_qmath_osl32k_bsweep.job.txt,COMPLETED,0:0,02:57:15,vllm-specdec-qwen235b_math500_osl32k_pard2_t00_bs8-k1,yes,12.804274732257657,0.8250107837112598,4.31073246240594,1.0431073246240594,0.043107324624059404,5118.29067794804,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_osl32k_bsweep_20260617/qwen235b_math500_osl32k_pard2_t00_offset0_n8_isl4096_osl32768_bs8_k1_20260617_qmath_osl32k_bsweep/breakdown.json
3365952,0.0,qwen235b,8,eagle3,Qwen/Qwen3-235B-A22B,nvidia/Qwen3-235B-A22B-Eagle3,eagle3,3,8,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_osl32k_bsweep_20260617/qwen235b_math500_osl32k_eagle3_t00_offset0_n8_isl4096_osl32768_bs8_k3_20260617_qmath_osl32k_bsweep,/Users/sna/Nemo-RL_Qwen3_Roadmap/tmp/oci_qmath_qwen235b_eagle3_t00_bs8_20260617_qmath_osl32k_bsweep.job.txt,COMPLETED,0:0,01:08:36,vllm-specdec-qwen235b_math500_osl32k_eagle3_t00_bs8-k3,yes,34.349584391555666,2.2132278580090015,60.85433418845797,2.825630025653739,1.8256300256537392,1907.9124583560042,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_osl32k_bsweep_20260617/qwen235b_math500_osl32k_eagle3_t00_offset0_n8_isl4096_osl32768_bs8_k3_20260617_qmath_osl32k_bsweep/breakdown.json
