window,baseline_policy_generate_generated_tokens_per_sec_per_gpu,k1_policy_generate_generated_tokens_per_sec_per_gpu,policy_generate_generated_tps_speedup,baseline_policy_generate_time_s,k1_policy_generate_time_s,policy_generate_time_speedup
all_steps_1_20,8013.1028976153075,9811.282099840517,1.2244048560465068,2.0469104723772036,1.7450645406730474,1.172971213768253
steady_step2_20,8061.252337194502,10083.099117481093,1.250810506322674,2.033159963271924,1.651336434811942,1.2312209192571137
steady_step5_20,8058.073464970897,10226.84150335688,1.2691422519059667,2.0340941419708543,1.62437487434363,1.2522319657232952
