job_id,label,step_filter,steps,completed_steps,incomplete_steps,first_step,last_step,max_steps,completed_step_span,incomplete_step_span,partial_result_state,draft_training_enabled_steps,draft_refit_steps,error_count_sum,latest_error,vllm_accepted_tokens_sum_weighted,vllm_drafted_tokens_sum_weighted,vllm_token_acceptance_pct,log_path,total_step_time_s_mean,generation_time_s_mean,policy_training_time_s_mean,policy_and_reference_logprobs_time_s_mean,prepare_for_generation_total_s_mean,e2e_tokens_per_sec_per_gpu_mean,generation_worker_tokens_per_sec_per_gpu_mean,policy_training_tokens_per_sec_per_gpu_mean,policy_logprobs_tokens_per_sec_per_gpu_mean,mean_generation_length_mean,draft_loss_mean,generation_kl_error_mean,avg_reward_mean,vllm_acceptance_rate_pct_mean_weighted_mean,vllm_acceptance_length_mean_weighted_mean,vllm_acceptance_rate_pos1_weighted_mean,vllm_acceptance_rate_pos2_weighted_mean,vllm_acceptance_rate_pos3_weighted_mean,vllm_acceptance_rate_pos4_weighted_mean,vllm_acceptance_rate_pos5_weighted_mean
2152146,qwen32_async_suffix,step>=2,19,19,0,2,20,20,2-20,,partial_usable_with_errors,0,0,2,"[rank0]:[W618 10:26:54.888139128 ProcessGroupNCCL.cpp:1575] Warning: WARNING: destroy_process_group() was not called before program exit, which can leak resources. For more info, please see https://pytorch.org/docs/stable/distributed.html#shutdown (function operator()) [repeated 15x across cluster]",,,,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20/logs/qwen32_async1off_suffix/2152146-logs/ray-driver.log,494.8905263157895,,129.00315789473683,56.917368421052636,,431.7052631578947,873.3168421052632,3264.6557894736843,7394.651052631579,,,0.0009315789473684211,0.525,,,,,,,
2152147,qwen32_async_pard_k5,step>=2,19,19,0,2,20,20,2-20,,partial_usable_with_errors,0,0,2,"[rank0]:[W618 09:02:50.628385120 ProcessGroupNCCL.cpp:1575] Warning: WARNING: destroy_process_group() was not called before program exit, which can leak resources. For more info, please see https://pytorch.org/docs/stable/distributed.html#shutdown (function operator()) [repeated 15x across cluster]",,,,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20/logs/qwen32_async1off_pard/2152147-logs/ray-driver.log,244.6405263157895,,124.61263157894736,56.65894736842105,,881.4342105263158,1794.2421052631578,3378.9363157894736,7432.5921052631575,,,0.0009157894736842104,0.5240105263157895,,,,,,,
2152193,qwen30_sync_eagle3,step>=2,19,19,0,2,20,20,2-20,,partial_usable,0,0,0,,80307205.0,125597999.0,63.93987614404589,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_eagle3_contextguard_retry/logs/qwen30ba3b_sync_eagle3/2152193-logs/ray-driver.log,299.4005263157895,127.75263157894737,109.13947368421053,51.09842105263158,8.572631578947368,1371.578947368421,3226.283157894737,3762.341578947369,8048.823157894738,3097.4385263157897,,0.0019,0.5222578947368421,62.43796997915146,2.873314154236251,0.7769278315919476,0.6121125789221937,0.48396380971603076,,
2152194,qwen30_async_eagle3,step>=2,19,19,0,2,20,20,2-20,,partial_usable_with_errors,0,0,2,"[rank0]:[W618 09:47:51.204551405 ProcessGroupNCCL.cpp:1575] Warning: WARNING: destroy_process_group() was not called before program exit, which can leak resources. For more info, please see https://pytorch.org/docs/stable/distributed.html#shutdown (function operator()) [repeated 7x across cluster]",,,,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_eagle3_contextguard_retry/logs/qwen30ba3b_async1off_eagle3/2152194-logs/ray-driver.log,338.15736842105264,,241.5742105263158,87.30947368421053,,1227.0315789473684,2510.3900000000003,3435.363684210526,9507.32842105263,,,0.0018789473684210527,0.525142105263158,,,,,,,
2152195,qwen32_sync_eagle3,step>=2,19,19,0,2,20,20,2-20,,partial_usable,0,0,0,,71389263.0,158112381.0,45.150963225327686,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_eagle3_contextguard_retry/logs/qwen32_sync_eagle3/2152195-logs/ray-driver.log,395.20157894736843,192.64263157894737,130.8078947368421,60.142105263157895,10.027894736842105,1045.7410526315791,2150.331052631579,3158.572105263158,6867.011578947368,3115.719457894737,,0.0009315789473684211,0.5242315789473684,44.31266868031687,2.329656620248645,0.6538866183644688,0.4155244421120257,0.26003613176333923,,
2152196,qwen32_async_eagle3,step>=2,19,19,0,2,20,20,2-20,,partial_usable_with_errors,0,0,2,"[rank0]:[W618 08:56:30.049071455 ProcessGroupNCCL.cpp:1575] Warning: WARNING: destroy_process_group() was not called before program exit, which can leak resources. For more info, please see https://pytorch.org/docs/stable/distributed.html#shutdown (function operator()) [repeated 15x across cluster]",,,,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_eagle3_contextguard_retry/logs/qwen32_async1off_eagle3/2152196-logs/ray-driver.log,189.0457894736842,,124.84052631578946,56.62736842105264,,1114.5952631578948,2281.865263157895,3371.9373684210527,7435.11052631579,,,0.0009210526315789472,0.525921052631579,,,,,,,
2152218,qwen32_async_pard2,step>=2,19,19,0,2,20,20,2-20,,partial_usable_with_errors,0,0,2,"[rank0]:[W618 10:27:08.895039158 ProcessGroupNCCL.cpp:1575] Warning: WARNING: destroy_process_group() was not called before program exit, which can leak resources. For more info, please see https://pytorch.org/docs/stable/distributed.html#shutdown (function operator()) [repeated 15x across cluster]",,,,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_pard2_step20_retry_globalcache/logs/qwen32_async1off_pard2/2152218-logs/ray-driver.log,339.2626315789474,,124.54315789473685,56.66526315789474,,659.9973684210527,1344.173157894737,3379.6768421052634,7427.691578947368,,,0.0009368421052631579,0.5276947368421052,,,,,,,
2152224,qwen32_sync_pard2,step>=2,17,16,1,2,18,20,2-17,18,partial_usable,0,0,0,,4988203.0,490765340.0,1.0164130580207642,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen32_sync_recipe_osl_pard2_step20_retry_staticcheck/logs/qwen32_sync_pard2/2152224-logs/ray-driver.log,802.660625,601.698125,129.04375,60.14125,10.265,515.56125,688.0756250000001,3208.2825,6880.7387499999995,3120.9231,,0.000925,0.5195875,0.9763414259476675,1.048664302429012,0.04861283776097043,0.00015173687956298435,2.6503803252643897e-05,1.1389521640091117e-06,0.0
2152320,qwen30_sync_baseline_fuselossfalse,step>=2,19,19,0,2,20,20,2-20,,partial_usable,0,0,0,,,,,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/20260618_lyris_nemorl_fuse_loss_false_qwen30_qwen32_baseline_step20/logs/qwen30ba3b_sync_baseline/2152320-logs/ray-driver.log,449.70842105263154,299.29894736842107,97.63894736842104,43.677894736842106,7.137894736842106,924.4684210526317,1395.0678947368422,4257.806315789474,9507.545263157894,3131.7453315789476,,0.0019,0.527478947368421,,,,,,,
2152321,qwen30_async_baseline_fuselossfalse,step>=2,19,19,0,2,20,20,2-20,,partial_usable_with_errors,0,0,2,"[rank0]:[W618 12:47:35.329090656 ProcessGroupNCCL.cpp:1575] Warning: WARNING: destroy_process_group() was not called before program exit, which can leak resources. For more info, please see https://pytorch.org/docs/stable/distributed.html#shutdown (function operator()) [repeated 7x across cluster]",,,,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/20260618_lyris_nemorl_fuse_loss_false_qwen30_qwen32_baseline_step20/logs/qwen30ba3b_async1off_baseline/2152321-logs/ray-driver.log,416.5915789473684,,205.20368421052632,83.98789473684211,,1009.9442105263157,2052.318421052632,4047.751578947368,9888.453684210526,,,0.0019105263157894736,0.5272368421052631,,,,,,,
2152343,qwen32_sync_baseline_fuselossfalse,step>=2,19,19,0,2,20,20,2-20,,partial_usable,0,0,0,,,,,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/20260618_lyris_nemorl_fuse_loss_false_qwen32_baseline_step20_retry_addkey/logs/qwen32_sync_baseline/2152343-logs/ray-driver.log,544.0821052631578,331.1589473684211,136.3342105263158,64.66473684210527,10.452631578947368,774.1194736842106,1272.8657894736843,3088.878421052632,6511.606315789474,3180.8046842105264,,0.0009315789473684211,0.5260947368421053,,,,,,,
2152344,qwen32_async_baseline_fuselossfalse,step>=2,19,19,0,2,20,20,2-20,,partial_usable_with_errors,0,0,2,"[rank0]:[W618 11:57:01.511715044 ProcessGroupNCCL.cpp:1575] Warning: WARNING: destroy_process_group() was not called before program exit, which can leak resources. For more info, please see https://pytorch.org/docs/stable/distributed.html#shutdown (function operator()) [repeated 15x across cluster]",,,,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_fuse_loss_false_qwen32_baseline_step20_retry_addkey/logs/qwen32_async1off_baseline/2152344-logs/ray-driver.log,238.57263157894738,,125.09631578947368,56.33947368421053,,912.5578947368421,1864.5284210526315,3363.083157894737,7468.125263157895,,,0.0009315789473684211,0.5273842105263158,,,,,,,
2152499,qwen32_sync_suffix,step>=2,19,19,0,2,20,20,2-20,,partial_usable,0,0,0,,57134035.0,337383544.0,16.93444627518644,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/20260618_lyris_nemorl_qwen32_sync_suffix_step20_retry5h/logs/qwen32_sync_suffix/2152499-logs/ray-driver.log,592.4557894736841,386.0573684210526,132.59157894736842,61.28473684210527,10.609473684210526,695.3505263157895,1070.777894736842,3099.1752631578947,6706.854736842106,3100.0598052631576,,0.0009368421052631579,0.5215842105263158,20.10373052621992,1.939819888175273,0.3832650912431146,0.2069712075812935,0.12028616087300388,0.07492247789435794,0.04904932211470528
2152532,qwen32_sync_pard2,step>=2,19,19,0,2,20,20,2-20,,partial_usable,0,0,0,,5870319.0,584445030.0,1.0044261989874395,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/20260618_lyris_nemorl_qwen32_sync_recipe_osl_pard2_step20_retry_global_pard2_site/logs/qwen32_sync_pard2/2152532-logs/ray-driver.log,873.437894736842,677.1678947368422,119.91736842105263,63.04947368421053,11.26,479.5631578947369,623.9194736842105,3443.935263157895,6551.094736842106,3116.1174789473685,,0.0009263157894736843,0.5227631578947368,0.9619240183031003,1.0479029095512342,0.04774329926002624,0.00019607127153951486,6.25446113489257e-05,2.7700831024930747e-06,8.430687703239792e-07
