record_type,domain,temperature,model,method,result_scope,batches,rows,isl,osl,top_p,top_k,status,source,tok_s_per_gpu,speedup_vs_baseline,acceptance_pct,mean_accept_len,evidence,submitted_retry_job_ids,retry_notes
result,SWE,0.0,Qwen3-32B,suffix_k32,latest_core,batch1/2,2,4096,32768,1.0,-1,complete_from_home_retry,docs/lyris_swebench_osl32k_temp01_core_matrix_20260616_metrics_live.csv,80.230,6.527,84.858,8.060,initial lustre row failed but home retry produced metrics,,
result,SWE,1.0,Qwen3-235B-A22B,eagle3_k3,latest_core,batch1/2,2,4096,32768,1.0,-1,complete_from_home_retry,docs/lyris_swebench_osl32k_temp01_core_matrix_20260616_metrics_live.csv,4.789,1.550,24.058,1.722,initial lustre row failed but home retry produced metrics,,
result,SWE,1.0,Qwen3-235B-A22B,suffix_k32,latest_core,batch1/2,2,4096,32768,1.0,-1,complete_from_home_retry,docs/lyris_swebench_osl32k_temp01_core_matrix_20260616_metrics_live.csv,6.947,2.374,52.841,2.889,initial lustre row failed but home retry produced metrics,,
result,SWE,1.0,Qwen3-30B-A3B,eagle3_k3,latest_core,batch1/2,2,4096,32768,1.0,-1,complete_from_home_retry,docs/lyris_swebench_osl32k_temp01_core_matrix_20260616_metrics_live.csv,30.849,1.066,10.989,1.330,initial lustre row failed but home retry produced metrics,,
result,SWE,1.0,Qwen3-30B-A3B,suffix_k32,latest_core,batch1/2,2,4096,32768,1.0,-1,complete_from_home_retry,docs/lyris_swebench_osl32k_temp01_core_matrix_20260616_metrics_live.csv,237.720,8.261,90.784,9.374,initial lustre row failed but home retry produced metrics,,
result,SWE,1.0,Qwen3-32B,eagle3_k3,latest_core,batch1/2,2,4096,32768,1.0,-1,complete_from_home_retry,docs/lyris_swebench_osl32k_temp01_core_matrix_20260616_metrics_live.csv,22.828,1.860,49.031,2.471,initial lustre row failed but home retry produced metrics,,
result,SWE,1.0,Qwen3-32B,suffix_k32,latest_core,batch1/2,2,4096,32768,1.0,-1,complete_from_home_retry,docs/lyris_swebench_osl32k_temp01_core_matrix_20260616_metrics_live.csv,27.879,2.174,52.227,3.213,initial lustre row failed but home retry produced metrics,,
result,Math,0.0,Qwen3-235B-A22B,eagle3_k3,archived_qwen235b_math,batch1/2,2,4096,32768,1.0,-1,complete_no_matched_baseline,docs/lyris_qwen235b_standalone_fast_20260613_metrics.csv,9.097,,69.580,3.087,baseline job 2113223 timed out so speedup unavailable,,
result,Math,0.0,Qwen3-235B-A22B,pard_k5,archived_qwen235b_math,batch1/2,2,4096,32768,1.0,-1,complete_no_matched_baseline,docs/lyris_qwen235b_standalone_fast_20260613_metrics.csv,8.450,,53.088,3.654,baseline job 2113223 timed out so speedup unavailable,,
result,Math,0.0,Qwen3-235B-A22B,suffix_k32,archived_qwen235b_math,batch1/2,2,4096,32768,1.0,-1,complete_no_matched_baseline,docs/lyris_qwen235b_standalone_fast_20260613_metrics.csv,24.080,,86.254,8.264,baseline job 2113223 timed out so speedup unavailable,,
result,Math,1.0,Qwen3-235B-A22B,eagle3_k3,archived_qwen235b_temp1,batch1/2,2,4096,32768,1.0,-1,complete_no_matched_baseline,docs/lyris_qwen235b_standalone_temp1rl_20260614_metrics.csv,6.238,,42.561,2.277,baseline job 2124147 timed out so speedup unavailable,,
result,Math,1.0,Qwen3-235B-A22B,pard_k5,archived_qwen235b_temp1,batch1/2,2,4096,32768,1.0,-1,complete_no_matched_baseline,docs/lyris_qwen235b_standalone_temp1rl_20260614_metrics.csv,5.870,,31.768,2.588,baseline job 2124147 timed out so speedup unavailable,,
result,Math,1.0,Qwen3-235B-A22B,suffix_k32,archived_qwen235b_temp1,batch1/2,2,4096,32768,1.0,-1,complete_no_matched_baseline,docs/lyris_qwen235b_standalone_temp1rl_20260614_metrics.csv,15.367,,66.301,5.125,baseline job 2124147 timed out so speedup unavailable,,
failure,Math,0.0,Qwen3-235B-A22B,baseline,archived_qwen235b_math,batch1/2,0,4096,32768,1.0,-1,timeout_no_final_breakdown,docs/lyris_qwen235b_standalone_fast_20260613_status.csv,,,,,job 2113223 TIMEOUT after 05:00:02,,"planned split baseline bs1 retry blocked by lustre quota"
failure,Math,1.0,Qwen3-235B-A22B,baseline,archived_qwen235b_temp1,batch1/2,0,4096,32768,1.0,-1,timeout_no_final_breakdown,docs/lyris_qwen235b_standalone_temp1rl_20260614_status.csv,,,,,job 2124147 TIMEOUT after 05:00:04,,"planned split baseline bs1 retry blocked by lustre quota"
failure,SWE,0.0,Qwen3-235B-A22B,baseline,latest_core_lustre,batch1/2,0,4096,32768,1.0,-1,timeout_then_home_retry_metrics,docs/lyris_swebench_osl32k_temp01_core_matrix_20260616_status_live.csv,,,,,lustre job 2133873 TIMEOUT after 05:00:03; home split rows later produced metrics,,"planned split lustre retry blocked by lustre quota"
failure,SWE,0.0,Qwen3-235B-A22B,suffix_k32,latest_core_lustre,batch1/2,0,4096,32768,1.0,-1,failed_then_home_retry_metrics,docs/lyris_swebench_osl32k_temp01_core_matrix_20260616_status_live.csv,,,,,lustre job 2133874 FAILED after 00:00:47; home retry produced metrics,,"planned split lustre retry blocked by lustre quota"
failure,SWE,0.0,Qwen3-235B-A22B,eagle3_k3,latest_core_lustre,batch1/2,0,4096,32768,1.0,-1,failed_then_home_retry_metrics,docs/lyris_swebench_osl32k_temp01_core_matrix_20260616_status_live.csv,,,,,lustre job 2133875 FAILED after 02:09:20; home retry produced metrics,,"planned split lustre retry blocked by lustre quota"
failure,SWE,1.0,Qwen3-235B-A22B,baseline,latest_core_lustre,batch1/2,0,4096,32768,1.0,-1,failed_then_home_retry_metrics,docs/lyris_swebench_osl32k_temp01_core_matrix_20260616_status_live.csv,,,,,lustre job 2133883 FAILED after 00:00:17; home split rows later produced metrics,,"planned split lustre retry blocked by lustre quota"
failure,SWE,1.0,Qwen3-235B-A22B,suffix_k32,latest_core_lustre,batch1/2,0,4096,32768,1.0,-1,failed_then_home_retry_metrics,docs/lyris_swebench_osl32k_temp01_core_matrix_20260616_status_live.csv,,,,,lustre job 2133884 FAILED after 00:00:17; home retry produced metrics,,"planned split lustre retry blocked by lustre quota"
failure,SWE,1.0,Qwen3-235B-A22B,eagle3_k3,latest_core_lustre,batch1/2,0,4096,32768,1.0,-1,failed_then_home_retry_metrics,docs/lyris_swebench_osl32k_temp01_core_matrix_20260616_status_live.csv,,,,,lustre job 2133885 FAILED after 00:00:17; home split rows later produced metrics,,"planned split lustre retry blocked by lustre quota"
coverage,SWE,0.0/1.0,all_latest_core_models,all_latest_core_methods,latest_temp_matrix,batch1/2,,4096,32768,1.0,-1,batches_4_8_16_32_not_in_scope,docs/lyris_swebench_osl32k_temp01_core_matrix_20260616_manifest.csv,,,,,manifest and trackers use batch_sizes 1 2 with max_num_seqs 2,,
batch_sweep,SWE,0.0,Qwen3-235B-A22B,eagle3_k3,older_batch_sweep_full,batch4/8/16/32,4,4096,32768,,,completed,docs/lyris_qwen235b_swebench_osl32k_batch_sweep_metrics_20260612.csv,15.624-126.831,,46.474-57.294,,full split rows completed at all larger batch sizes,,
batch_sweep,SWE,0.0,Qwen3-235B-A22B,suffix_k32,older_batch_sweep_full,batch4/8/16/32,4,4096,32768,,,completed,docs/lyris_qwen235b_swebench_osl32k_batch_sweep_metrics_20260612.csv,27.971-223.154,,76.244-81.195,,full split rows completed at all larger batch sizes,,
batch_sweep,SWE,0.0,Qwen3-235B-A22B,eagle3_k3,older_batch_sweep_verified,batch4/8/16/32,4,4096,32768,,,completed,docs/lyris_qwen235b_swebench_osl32k_batch_sweep_metrics_20260612.csv,18.654-122.584,,51.454-62.342,,verified split rows completed at all larger batch sizes,,
batch_sweep,SWE,0.0,Qwen3-235B-A22B,suffix_k32,older_batch_sweep_verified,batch4/8/16/32,4,4096,32768,,,completed,docs/lyris_qwen235b_swebench_osl32k_batch_sweep_metrics_20260612.csv,48.656-223.252,,79.924-86.201,,verified split rows completed at all larger batch sizes,,
batch_sweep,SWE,0.0,Qwen3-30B-A3B,bs32_high_cap,older_batch_sweep,batch32,,4096,32768,,,initial_oom_retried_low_cap,docs/lyris_swebench_osl32k_batch_sweep_launch_20260612.md,,,,,initial max_num_batched_tokens 1310720 caused CUDA OOM; retry used 131072,,
batch_sweep,SWE,0.0,Qwen3-8B,bs32_eagle3_high_cap,older_batch_sweep,batch32,,4096,32768,,,initial_failed_retried_low_cap,docs/lyris_swebench_osl32k_batch_sweep_launch_20260612.md,,,,,original qwen8 bs32 eagle failed quickly under high-cap config and replacement was submitted,,
retry_plan,Math,0.0/1.0,Qwen3-235B-A22B,baseline,planned_lustre_retry,batch1,2,4096,32768,1.0,-1,blocked_by_lustre_quota,ssh_probe,,,,,mkdir under /lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs returned Disk quota exceeded,,"not submitted; would split temp0 and temp1 baseline bs1"
retry_plan,SWE,0.0/1.0,Qwen3-235B-A22B,baseline/suffix/eagle3,planned_lustre_retry,batch1 and batch2,12,4096,32768,1.0,-1,blocked_by_lustre_quota,ssh_probe,,,,,mkdir under /lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs returned Disk quota exceeded,,"not submitted; would split by temp method and batch"
