job_id,label,model,mode,method,nodes_x_gpus,temperature,top_p,isl,max_osl,osl_group,completed_last_step,slurm_state,metric_state,e2e_step_time_s,e2e_step_time_speedup,e2e_step_time_reduction_pct,e2e_throughput_tok_s_gpu,e2e_throughput_speedup,generation_time_s,generation_time_speedup,generation_throughput_tok_s_gpu,generation_throughput_speedup,acceptance_pct,mean_accept_len,notes,source_log
2152223,qwen30_async_pard2,Qwen3-30B-A3B,async-1off,PARD-2,4x4,1.0,1.0,performance recipe default,4096,"Current recipe-default OSL reruns (Qwen30/32=4096, Qwen235B=8192)",0/20,CANCELLED by 2001147693,waiting metrics,,,,,,,,,,,,waiting for first parsed NeMo-RL step; cancelled after qwen30 sync PARD-2 proved deterministic target-feature shape mismatch; no compatible public Qwen3 PARD-2 drafter found for Qwen3-30B-A3B,
2152321,qwen30_async_baseline_fuselossfalse,Qwen3-30B-A3B,async-1off,baseline fuse_loss=false,4x4,1.0,1.0,performance recipe default,4096,"Current recipe-default OSL reruns (Qwen30/32=4096, Qwen235B=8192)",19/20 last 20,COMPLETED,partial_usable_with_errors,416.5915789473684,1.0216531652862073,2.1194242842815876,1009.9442105263157,1.0270483494062699,,,2052.318421052632,1.026991884736019,,,usable metrics; driver ended with NCCL shutdown warning; async log omits generation_time_s; using generation worker tok/s/GPU; paired baseline rerun with policy.sequence_packing.fuse_loss=false; compare against the recipe-default fuse_loss=true baseline with the same model/mode/OSL,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/20260618_lyris_nemorl_fuse_loss_false_qwen30_qwen32_baseline_step20/logs/qwen30ba3b_async1off_baseline/2152321-logs/ray-driver.log
2152140,qwen32_sync_baseline,Qwen3-32B,sync,baseline,4x4,1.0,1.0,performance recipe default,4096,"Current recipe-default OSL reruns (Qwen30/32=4096, Qwen235B=8192)",19/20 last 20,COMPLETED,partial_usable,536.0978947368421,1.0,0.0,784.9152631578947,1.0,331.8205263157895,1.0,1269.6073684210526,1.0,,,live partial,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20/logs/qwen32_sync_baseline/2152140-logs/ray-driver.log
2152195,qwen32_sync_eagle3,Qwen3-32B,sync,Eagle-3,4x4,1.0,1.0,performance recipe default,4096,"Current recipe-default OSL reruns (Qwen30/32=4096, Qwen235B=8192)",19/20 last 20,COMPLETED,partial_usable,395.20157894736843,1.356517593286837,26.281825982293103,1045.7410526315791,1.332298022113014,192.64263157894737,1.7224667437114265,2150.331052631579,1.693697678602668,45.150963225327686,2.329656620248645,live partial; patched Eagle-3 retry with SpecDec context guard; recipe OSL unchanged,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_eagle3_contextguard_retry/logs/qwen32_sync_eagle3/2152195-logs/ray-driver.log
2152142,qwen32_sync_suffix,Qwen3-32B,sync,Suffix,4x4,1.0,1.0,performance recipe default,4096,"Current recipe-default OSL reruns (Qwen30/32=4096, Qwen235B=8192)",16/20 last 18,TIMEOUT,partial_usable,788.580625,0.6798263585753734,-47.09638533221545,537.5275,0.6848223308047332,580.001875,0.5721025062475694,732.98375,0.5773310459843781,7.870073769302167,1.5625467715878278,live partial,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20/logs/qwen32_sync_suffix/2152142-logs/ray-driver.log
2152499,qwen32_sync_suffix,Qwen3-32B,sync,Suffix,4x4,1.0,1.0,performance recipe default,4096,"Current recipe-default OSL reruns (Qwen30/32=4096, Qwen235B=8192)",19/20 last 20,COMPLETED,partial_usable,592.4557894736841,0.9048740923151274,-10.512612582540877,695.3505263157895,0.8858924764926016,386.0573684210526,0.8595109262463038,1070.777894736842,0.8433929428658838,16.93444627518644,1.939819888175273,live partial,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/20260618_lyris_nemorl_qwen32_sync_suffix_step20_retry5h/logs/qwen32_sync_suffix/2152499-logs/ray-driver.log
2152143,qwen32_sync_pard_k5,Qwen3-32B,sync,PARD K=5,4x4,1.0,1.0,performance recipe default,4096,"Current recipe-default OSL reruns (Qwen30/32=4096, Qwen235B=8192)",19/20 last 20,COMPLETED,partial_usable,562.2284210526316,0.9535232917132389,-4.874207970657356,748.9636842105263,0.9541968660378357,370.55947368421056,0.8954582189377939,1138.1789473684212,0.8964810505029737,31.779866316811095,2.0042378398981495,live partial,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen30_qwen32_recipe_osl_bestk_step20/logs/qwen32_sync_pard/2152143-logs/ray-driver.log
2152224,qwen32_sync_pard2,Qwen3-32B,sync,PARD-2,4x4,1.0,1.0,performance recipe default,4096,"Current recipe-default OSL reruns (Qwen30/32=4096, Qwen235B=8192)",16/20 last 18,TIMEOUT,partial_usable,802.660625,0.6679010755471432,-49.72277132220548,515.56125,0.656836825832356,601.698125,0.5514734258408891,688.0756250000001,0.5419593821794886,1.0164130580207642,1.048664302429012,live partial; PARD-2 retry after static patched-vLLM source validation fallback; recipe OSL unchanged,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260618_lyris_nemorl_qwen32_sync_recipe_osl_pard2_step20_retry_staticcheck/logs/qwen32_sync_pard2/2152224-logs/ray-driver.log
2152474,qwen32_sync_pard2,Qwen3-32B,sync,PARD-2,4x4,1.0,1.0,performance recipe default,4096,"Current recipe-default OSL reruns (Qwen30/32=4096, Qwen235B=8192)",0/20,FAILED,waiting metrics,,,,,,,,,,,,waiting for first parsed NeMo-RL step; superseded retry failed before GRPO because no Python executable in the job environment could import vLLM to build a fresh PARD-2 patched site,
2152532,qwen32_sync_pard2,Qwen3-32B,sync,PARD-2,4x4,1.0,1.0,performance recipe default,4096,"Current recipe-default OSL reruns (Qwen30/32=4096, Qwen235B=8192)",19/20 last 20,COMPLETED,partial_usable,873.437894736842,0.613779065423264,-62.92507456415068,479.5631578947369,0.6109744330430573,677.1678947368422,0.49001219475229263,623.9194736842105,0.4914271051058471,1.0044261989874395,1.0479029095512342,live partial; PARD-2 retry reusing the global patched vLLM site to avoid per-run vLLM import/build failure; recipe OSL unchanged,tmp/lyris_nemorl_perfcfg_step20_20260618_logs/20260618_lyris_nemorl_qwen32_sync_recipe_osl_pard2_step20_retry_global_pard2_site/logs/qwen32_sync_pard2/2152532-logs/ray-driver.log
