domain,run_group,model,method,job_id,steps,completed_steps,max_steps,step_span,max_new_tokens,min_tokens,gen_tok_s_per_gpu,e2e_tok_s_per_gpu,generation_time_s,total_step_time_s,gen_speedup_vs_baseline,e2e_speedup_vs_baseline,acceptance_pct,mean_accept_len,draft_training_steps,draft_refit_steps,state,source_group,source_file,generation_time_speedup_vs_baseline,total_step_time_speedup_vs_baseline
Math RL,step20 temp1 OSL1024,Qwen3-30B-A3B,pard2_k8,3333527,1,0,1.0,nan,,,,,,,,,,,0.0,0.0,no completed step,mathrl_multimodel_20260616,docs/oci_hsg_mathrl_multimodel_specdec_step20_live_summary_20260616.csv,,
Math RL,step20 temp1 OSL1024,Qwen3-30B-A3B,suffix,3333715,20,20,20.0,nan,1024.0,,335.9465,204.0035,108.935,179.23,1.946759809233515,1.6223780950904023,35.61637307812147,2.643135352095819,0.0,0.0,complete,mathrl_multimodel_20260616,docs/oci_hsg_mathrl_multimodel_specdec_step20_live_summary_20260616.csv,1.9395327488869507,1.6194163923450315
Math RL,step20 temp1 OSL1024,Qwen3-32B,baseline,3334219,17,16,17.0,nan,1024.0,,76.130625,69.29,480.8075,528.241875,1.0,1.0,,,0.0,0.0,partial,mathrl_multimodel_20260616,docs/oci_hsg_mathrl_multimodel_specdec_step20_live_summary_20260616.csv,1.0,1.0
Math RL,step20 temp1 OSL1024,Qwen3-32B,eagle3,3333533,20,20,20.0,nan,1024.0,,146.959,122.553,248.196,297.5705,1.9303532579694442,1.7686967816423724,46.690683647249664,2.4006310178162584,0.0,0.0,complete,mathrl_multimodel_20260616,docs/oci_hsg_mathrl_multimodel_specdec_step20_live_summary_20260616.csv,1.9372088994182017,1.7751822677315126
Math RL,step20 temp1 OSL1024,Qwen3-32B,online_pard2,3337769,1,0,1.0,nan,,,,,,,,,,,0.0,0.0,no completed step,mathrl_multimodel_20260616,docs/oci_hsg_mathrl_multimodel_specdec_step20_live_summary_20260616.csv,,
Math RL,step20 temp1 OSL1024,Qwen3-32B,pard,3333531,20,20,20.0,nan,1024.0,,153.642,126.7935,237.5955,287.84450000000004,2.018136590892299,1.829896088901717,46.795848344292736,3.3395158765717796,0.0,0.0,complete,mathrl_multimodel_20260616,docs/oci_hsg_mathrl_multimodel_specdec_step20_live_summary_20260616.csv,2.0236389157202055,1.835164038222026
Math RL,step20 temp1 OSL1024,Qwen3-32B,pard2_k14,3334113,11,10,11.0,nan,1024.0,,52.988,49.357,690.719,741.493,0.696014251820473,0.7123250108240726,1.6950832071146027,1.0507289000657871,0.0,0.0,partial,mathrl_multimodel_20260616,docs/oci_hsg_mathrl_multimodel_specdec_step20_live_summary_20260616.csv,0.6960971104023488,0.7124030503322352
Math RL,step20 temp1 OSL1024,Qwen3-32B,pard2_k8,3333532,1,0,1.0,nan,,,,,,,,,,,0.0,0.0,no completed step,mathrl_multimodel_20260616,docs/oci_hsg_mathrl_multimodel_specdec_step20_live_summary_20260616.csv,,
Math RL,step20 temp1 OSL1024,Qwen3-32B,suffix,3333716,19,18,19.0,nan,1024.0,,134.69333333333333,113.39833333333334,271.32666666666665,322.185,1.7692398208123647,1.6365757444556694,29.89251301346321,2.2251768146981887,0.0,0.0,partial,mathrl_multimodel_20260616,docs/oci_hsg_mathrl_multimodel_specdec_step20_live_summary_20260616.csv,1.7720613528587927,1.6395607337399323
NeMo-RL PerfCfg,Lyris perfcfg async-1off OSL4096,Qwen3-30B-A3B,Eagle-3,2152194,19,19,20.0,last 20,4096.0,,2510.3900000000003,1227.0315789473684,,338.15736842105264,1.2562135247025286,1.2478122501148066,,,,,COMPLETED; partial_usable_with_errors,lyris_perfcfg_20260618,docs/lyris_nemorl_perfcfg_step20_live_speedups_20260618.csv,,1.2586214141967536
