domain,model,temperature,top_p,batch_size,isl,osl,method,job_id,tok_s_gpu,baseline_tok_s_gpu,speedup,acceptance_pct,mean_accept_len,total_gpus,basis,source,source_label
Math,Qwen3-235B-A22B,0.0,,16,4096,32768,pard_k5,,59.30001600025247,23.52299106160737,2.5209385934358464,50.79573841770528,3.539786920885264,4,matched 6/17 qmath sweep,docs/qmath_vllm_standalone_batch_sweep_completed_metrics_live_20260617.csv,6/17 qmath sweep
Math,Qwen3-235B-A22B,0.0,,16,4096,32768,pard2_k1,,25.078928081965557,23.52299106160737,1.0661453731068105,5.102020359968085,1.051020203599681,4,matched 6/17 qmath sweep,docs/qmath_vllm_standalone_batch_sweep_completed_metrics_live_20260617.csv,6/17 qmath sweep
Math,Qwen3-235B-A22B,0.0,,32,4096,32768,baseline,,60.842495081365485,60.842495081365485,1.0,,,4,matched 6/17 qmath sweep,docs/qmath_vllm_standalone_batch_sweep_completed_metrics_live_20260617.csv,6/17 qmath sweep
Math,Qwen3-235B-A22B,0.0,,32,4096,32768,suffix_k32,,139.08885655856616,60.842495081365485,2.286047874475903,77.80479990423429,6.3957978525341685,4,matched 6/17 qmath sweep,docs/qmath_vllm_standalone_batch_sweep_completed_metrics_live_20260617.csv,6/17 qmath sweep
Math,Qwen3-235B-A22B,0.0,,32,4096,32768,eagle3_k3,,109.56184058858584,60.842495081365485,1.8007453580275976,59.11474588883364,2.773442376665009,4,matched 6/17 qmath sweep,docs/qmath_vllm_standalone_batch_sweep_completed_metrics_live_20260617.csv,6/17 qmath sweep
Math,Qwen3-235B-A22B,0.0,,32,4096,32768,pard_k5,,105.63504709780238,60.842495081365485,1.7362050480759412,51.41696379010315,3.5708481895051576,4,matched 6/17 qmath sweep,docs/qmath_vllm_standalone_batch_sweep_completed_metrics_live_20260617.csv,6/17 qmath sweep
Math,Qwen3-235B-A22B,0.0,,32,4096,32768,pard2_k1,,49.01436357081575,60.842495081365485,0.805594239770545,5.565064010921524,1.0556506401092152,4,matched 6/17 qmath sweep,docs/qmath_vllm_standalone_batch_sweep_completed_metrics_live_20260617.csv,6/17 qmath sweep
Math,Qwen3-32B,0.0,,1,4096,32768,baseline,3423798,6.544053992206331,6.544053992206331,1.0,,,4,matched 6/19 aggregation,docs/oci_qmath_qwen235b_baseline_qwen32_bs12_20260619_metrics_live.csv,6/19 batch aggregation
Math,Qwen3-32B,0.0,,1,4096,32768,suffix_k32,3423799,71.80279306053458,6.544053992206331,10.972218925156856,95.80022701475596,10.401654996817314,4,matched 6/19 aggregation,docs/oci_qmath_qwen235b_baseline_qwen32_bs12_20260619_metrics_live.csv,6/19 batch aggregation
Math,Qwen3-32B,0.0,,1,4096,32768,eagle3_k3,3423802,20.940252648569,6.544053992206331,3.199889957128698,78.79752249940115,3.3639256749820348,4,matched 6/19 aggregation,docs/oci_qmath_qwen235b_baseline_qwen32_bs12_20260619_metrics_live.csv,6/19 batch aggregation
Math,Qwen3-32B,0.0,,1,4096,32768,pard_k5,3423800,17.70581531739647,6.544053992206331,2.7056340516877286,56.08730988041333,3.8043654940206664,4,matched 6/19 aggregation,docs/oci_qmath_qwen235b_baseline_qwen32_bs12_20260619_metrics_live.csv,6/19 batch aggregation
Math,Qwen3-32B,0.0,,2,4096,32768,baseline,3423803,15.301252337778818,15.301252337778818,1.0,,,4,matched 6/19 aggregation,docs/oci_qmath_qwen235b_baseline_qwen32_bs12_20260619_metrics_live.csv,6/19 batch aggregation
Math,Qwen3-32B,0.0,,2,4096,32768,suffix_k32,3423805,104.00227038002134,15.301252337778818,6.796977664582366,91.40066585669881,8.7995152820789,4,matched 6/19 aggregation,docs/oci_qmath_qwen235b_baseline_qwen32_bs12_20260619_metrics_live.csv,6/19 batch aggregation
Math,Qwen3-32B,0.0,,2,4096,32768,eagle3_k3,3423817,35.836160260551466,15.301252337778818,2.3420409956949686,74.07644147244895,3.222293244173468,4,matched 6/19 aggregation,docs/oci_qmath_qwen235b_baseline_qwen32_bs12_20260619_metrics_live.csv,6/19 batch aggregation
Math,Qwen3-32B,0.0,,2,4096,32768,pard_k5,3423816,26.09982248875159,15.301252337778818,1.705731133151179,51.233695652173914,3.5616847826086957,4,matched 6/19 aggregation,docs/oci_qmath_qwen235b_baseline_qwen32_bs12_20260619_metrics_live.csv,6/19 batch aggregation
Math,Qwen3-32B,0.0,,4,4096,32768,baseline,3423667,32.20199981404923,32.20199981404923,1.0,,,4,matched 6/19 aggregation,docs/oci_qmath_qwen32_math500_osl32k_batch_sweep_20260619_metrics_live.csv,6/19 batch aggregation
Math,Qwen3-32B,0.0,,4,4096,32768,suffix_k32,3423670,173.03270457366705,32.20199981404923,5.373352759854858,88.99035517452542,8.954091406677612,4,matched 6/19 aggregation,docs/oci_qmath_qwen32_math500_osl32k_batch_sweep_20260619_metrics_live.csv,6/19 batch aggregation
Math,Qwen3-32B,0.0,,4,4096,32768,eagle3_k3,3423676,80.32837344577989,32.20199981404923,2.4945150583701907,84.48159633274909,3.5344478899824727,4,matched 6/19 aggregation,docs/oci_qmath_qwen32_math500_osl32k_batch_sweep_20260619_metrics_live.csv,6/19 batch aggregation
Math,Qwen3-32B,0.0,,4,4096,32768,pard_k5,3423674,36.63518182020317,32.20199981404923,1.1376679098116078,48.53490196078432,3.426745098039216,4,matched 6/19 aggregation,docs/oci_qmath_qwen32_math500_osl32k_batch_sweep_20260619_metrics_live.csv,6/19 batch aggregation
