model,bench,variant,k,sample_method,tp,tag,step,finished_s,output_tokens
Nemotron3-Super-120B (FP8) (40K),openmath,baseline,0,-,4,nemotron3_super_64k_openmath_rollout_baseline_20260713r2,0,3.787965876999806,307
Nemotron3-Super-120B (FP8) (40K),openmath,baseline,0,-,4,nemotron3_super_64k_openmath_rollout_baseline_20260713r2,0,3.1539980490015296,238
Nemotron3-Super-120B (FP8) (40K),openmath,baseline,0,-,4,nemotron3_super_64k_openmath_rollout_baseline_20260713r2,0,3.412150197000301,266
Nemotron3-Super-120B (FP8) (40K),openmath,baseline,0,-,4,nemotron3_super_64k_openmath_rollout_baseline_20260713r2,0,4.397709482000209,376
Nemotron3-Super-120B (FP8) (40K),openmath,baseline,0,-,4,nemotron3_super_64k_openmath_rollout_baseline_20260713r2,0,6.8884118140013015,672
Nemotron3-Super-120B (FP8) (40K),openmath,baseline,0,-,4,nemotron3_super_64k_openmath_rollout_baseline_20260713r2,0,3.412150197000301,266
Nemotron3-Super-120B (FP8) (40K),openmath,baseline,0,-,4,nemotron3_super_64k_openmath_rollout_baseline_20260713r2,0,3.393753932999971,264
Nemotron3-Super-120B (FP8) (40K),openmath,baseline,0,-,4,nemotron3_super_64k_openmath_rollout_baseline_20260713r2,0,3.0153481620000093,223
Nemotron3-Super-120B (FP8) (40K),openmath,baseline,0,-,4,nemotron3_super_64k_openmath_rollout_baseline_20260713r2,0,3.9501802080012567,325
Nemotron3-Super-120B (FP8) (40K),openmath,baseline,0,-,4,nemotron3_super_64k_openmath_rollout_baseline_20260713r2,0,10.33664870800203,1092
Nemotron3-Super-120B (FP8) (40K),openmath,baseline,0,-,4,nemotron3_super_64k_openmath_rollout_baseline_20260713r2,0,3.9592052360021626,326
Nemotron3-Super-120B (FP8) (40K),openmath,baseline,0,-,4,nemotron3_super_64k_openmath_rollout_baseline_20260713r2,0,5.4525832460021775,500
Nemotron3-Super-120B (FP8) (40K),openmath,baseline,0,-,4,nemotron3_super_64k_openmath_rollout_baseline_20260713r2,0,6.5814480840017495,635
Nemotron3-Super-120B (FP8) (40K),openmath,baseline,0,-,4,nemotron3_super_64k_openmath_rollout_baseline_20260713r2,0,4.11920839099912,344
Nemotron3-Super-120B (FP8) (40K),openmath,baseline,0,-,4,nemotron3_super_64k_openmath_rollout_baseline_20260713r2,0,4.82767865400092,426
Nemotron3-Super-120B (FP8) (40K),openmath,baseline,0,-,4,nemotron3_super_64k_openmath_rollout_baseline_20260713r2,0,3.540619116000016,280
Nemotron3-Super-120B (FP8) (40K),openmath,baseline,0,-,4,nemotron3_super_64k_openmath_rollout_baseline_20260713r2,0,4.501134558999183,388
Nemotron3-Super-120B (FP8) (40K),openmath,baseline,0,-,4,nemotron3_super_64k_openmath_rollout_baseline_20260713r2,0,5.309078460002638,483
Nemotron3-Super-120B (FP8) (40K),openmath,baseline,0,-,4,nemotron3_super_64k_openmath_rollout_baseline_20260713r2,0,3.923132454001461,322
Nemotron3-Super-120B (FP8) (40K),openmath,baseline,0,-,4,nemotron3_super_64k_openmath_rollout_baseline_20260713r2,0,4.224372515000141,356
Nemotron3-Super-120B (FP8) (40K),openmath,baseline,0,-,4,nemotron3_super_64k_openmath_rollout_baseline_20260713r2,0,8.166003664002346,827
Nemotron3-Super-120B (FP8) (40K),openmath,baseline,0,-,4,nemotron3_super_64k_openmath_rollout_baseline_20260713r2,0,64.19009162500151,9970
Nemotron3-Super-120B (FP8) (40K),openmath,baseline,0,-,4,nemotron3_super_64k_openmath_rollout_baseline_20260713r2,0,20.351436540000577,2373
Nemotron3-Super-120B (FP8) (40K),openmath,baseline,0,-,4,nemotron3_super_64k_openmath_rollout_baseline_20260713r2,0,18.45127363500069,2130
Nemotron3-Super-120B (FP8) (40K),openmath,baseline,0,-,4,nemotron3_super_64k_openmath_rollout_baseline_20260713r2,0,39.46671867999976,5065
Nemotron3-Super-120B (FP8) (40K),openmath,baseline,0,-,4,nemotron3_super_64k_openmath_rollout_baseline_20260713r2,0,35.503954358002375,4447
Nemotron3-Super-120B (FP8) (40K),openmath,baseline,0,-,4,nemotron3_super_64k_openmath_rollout_baseline_20260713r2,0,35.61566318599944,4464
Nemotron3-Super-120B (FP8) (40K),openmath,baseline,0,-,4,nemotron3_super_64k_openmath_rollout_baseline_20260713r2,0,33.4759611010013,4141
Nemotron3-Super-120B (FP8) (40K),openmath,baseline,0,-,4,nemotron3_super_64k_openmath_rollout_baseline_20260713r2,0,51.23086480400161,7173
Nemotron3-Super-120B (FP8) (40K),openmath,baseline,0,-,4,nemotron3_super_64k_openmath_rollout_baseline_20260713r2,0,47.5664844540006,6440
Nemotron3-Super-120B (FP8) (40K),openmath,baseline,0,-,4,nemotron3_super_64k_openmath_rollout_baseline_20260713r2,0,27.731714875000762,3340
Nemotron3-Super-120B (FP8) (40K),openmath,baseline,0,-,4,nemotron3_super_64k_openmath_rollout_baseline_20260713r2,0,29.994114402001287,3650
Nemotron3-Super-120B (FP8) (40K),openmath,baseline,0,-,4,nemotron3_super_64k_openmath_rollout_baseline_20260713r2,0,24.6513026850007,2926
