Arm,Job ID,W&B Run,Included Steps,E2E Step Time (s),Generation Time (s),Logprob Time (s),Policy Training Time (s),Refit Time (s),E2E TPS/GPU,Generation TPS/GPU,Logprob TPS/GPU,Policy Training TPS/GPU,Mean Tokens Per Sample
BF16,474462,w425ns70,17,376.264144,200.948455,52.611094,74.225003,21.080176,124.064371,228.709789,877.363876,620.916301,5631.294692
MoE baseline,474463,auf703va,17,321.343262,130.807513,50.377955,72.554208,42.035778,145.509745,349.613872,910.937689,631.814040,5606.297794
MoE optimized,474464,55dkfjpv,17,318.157972,135.126328,52.343878,75.224676,29.082822,146.822030,338.379465,875.776757,609.040488,5602.248851
QKVO baseline,474465,ljul0jic,17,342.166598,140.900465,53.367539,76.519288,43.786605,138.598157,328.534815,870.732035,606.078479,5671.639936
QKVO optimized,474466,dwvwsdus,17,314.597480,139.164071,51.515208,74.144070,22.609041,150.635359,332.321216,900.665223,625.516849,5667.214040
