model,metric,bf16_mean,mxfp8_mean,mxfp8_speedup,mxfp8_change_percent
nano,e2e_throughput,35.055237941826284,34.37953261176827,0.980724554453764,-1.9275445546235948
nano,generation_throughput,62.35977565475046,56.159588350156014,0.9005739318415569,-9.942606815844313
nano,generation_time,24.81454206767835,25.757160186767578,0.963403647286649,-3.6596352713351044
nano,logprob_time,4.545250930284199,3.0182603158448873,1.5059174672320697,50.59174672320697
nano,refit_total_time,5.192611380627281,4.993630352773164,1.039846967796408,3.984696779640795
nano,refit_transfer_time,1.7935390008820429,2.6957710054185657,0.6653157843440655,-33.46842156559345
nano,total_step_time,44.14259800158049,42.07478703950581,1.049146082667825,4.914608266782494
nano,training_time,3.485651260928104,2.837933979536358,1.2282355002132803,22.823550021328032
qwen30,e2e_throughput,2384.9600302859803,2264.4274682659034,0.9494613911807889,-5.053860881921112
qwen30,generation_throughput,6440.876623268733,7776.003262205039,1.2072895844818607,20.728958448186074
qwen30,generation_time,64.44312547382556,53.27956049065841,1.20952809821178,20.952809821177997
qwen30,logprob_time,19.61313950388055,36.636472400866054,0.5353446502512319,-46.46553497487681
qwen30,refit_total_time,6.216110518104152,9.74854262251603,0.6376451084849253,-36.23548915150747
qwen30,refit_transfer_time,3.4615123669306436,6.946366680992974,0.4983198448769227,-50.168015512307726
qwen30,total_step_time,174.03655202765214,182.96105394865336,0.9512218489760896,-4.877815102391036
qwen30,training_time,77.99800752338611,78.03252330579255,0.9995576744036434,-0.04423255963565964
