domain,dataset,model,source,batch_size,method,measurement,tok_s_per_gpu,baseline_tok_s_per_gpu,speedup_vs_baseline,acceptance_pct,mean_acceptance_length,job_id,state,final_rows,note
SWE OSL32K,full,Qwen/Qwen3-235B-A22B,Lyris,2,Suffix K32,final_spec_vs_live_baseline,25.17399444152723,4.125,6.102786531279329,87.55372798510358,7.432284541723666,,,,provisional: final spec breakdown / live baseline telemetry
SWE OSL32K,full,Qwen/Qwen3-235B-A22B,Lyris,2,PARD K5,live_only,1.675,4.125,0.40606060606060607,5.8,1.29,2109551,RUNNING,0,live telemetry only: no final breakdown.json yet
SWE OSL32K,full,Qwen/Qwen3-235B-A22B,Lyris,2,PARD K9,final_breakdown_no_baseline,6.180444452220702,,,16.248147452355603,2.4623332707120045,,,1,full_osl32k_qwen235b_pard_k9
SWE OSL32K,full,Qwen/Qwen3-235B-A22B,Lyris,2,PARD K11,final_breakdown_no_baseline,7.808713812765077,,,17.940521366111202,2.9734573502722323,,,1,full_osl32k_qwen235b_pard_k11
SWE OSL32K,full,Qwen/Qwen3-235B-A22B,Lyris,2,PARD-2 K1,live_only,5.075,4.125,1.2303030303030305,48.6,1.49,2109552,RUNNING,0,live telemetry only: no final breakdown.json yet
SWE OSL32K,full,Qwen/Qwen3-235B-A22B,Lyris,2,PARD-2 K9,final_breakdown_no_baseline,3.762946150899901,,,5.088122605363984,1.4579310344827587,,,1,full_osl32k_qwen235b_pard2_k9
SWE OSL32K,full,Qwen/Qwen3-235B-A22B,Lyris,2,PARD-2 K11,final_breakdown_no_baseline,3.6768116526714607,,,1.8513756749807149,1.2036513242478786,,,1,full_osl32k_qwen235b_pard2_k11
SWE OSL32K,full,Qwen/Qwen3-235B-A22B,Lyris,2,Eagle-3 K3,final_spec_vs_live_baseline,10.318086704345731,4.125,2.501354352568662,57.78380257212375,2.7335140771637123,,,,provisional: final spec breakdown / live baseline telemetry
SWE OSL32K,full,Qwen/Qwen3-235B-A22B,Lyris,2,Eagle-3 K9,final_breakdown_no_baseline,8.541511122524488,,,19.15052780317513,2.723547502285762,,,1,full_osl32k_qwen235b_eagle3_k9
SWE OSL32K,full,Qwen/Qwen3-235B-A22B,Lyris,2,Eagle-3 K11,final_breakdown_no_baseline,9.852215324483561,,,17.275422723048514,2.9002964995353366,,,1,full_osl32k_qwen235b_eagle3_k11
SWE OSL32K,full,Qwen/Qwen3-235B-A22B,Lyris,4,Suffix K8,final_breakdown_no_baseline,30.550580772183938,,,77.12145319543887,5.02618827872635,,,1,full_osl32k_qwen235b_suffix_k8
SWE OSL32K,full,Qwen/Qwen3-235B-A22B,Lyris,4,Suffix K16,final_breakdown_no_baseline,28.273132038519893,,,76.24354619809132,5.417373939091363,,,1,full_osl32k_qwen235b_suffix_k16
SWE OSL32K,full,Qwen/Qwen3-235B-A22B,Lyris,4,Suffix K32,final_spec_vs_live_baseline,27.970944623387158,8.15,3.432017745200878,76.24354619809132,5.417373939091363,,,,provisional: final spec breakdown / live baseline telemetry
SWE OSL32K,full,Qwen/Qwen3-235B-A22B,Lyris,4,PARD K5,live_only,8.575,8.15,1.0521472392638036,14.1,1.71,2109556,RUNNING,0,live telemetry only: no final breakdown.json yet
SWE OSL32K,full,Qwen/Qwen3-235B-A22B,Lyris,4,PARD K9,final_breakdown_no_baseline,9.588587451235687,,,14.456284904486305,2.301065641403768,,,1,full_osl32k_qwen235b_pard_k9
SWE OSL32K,full,Qwen/Qwen3-235B-A22B,Lyris,4,PARD K11,final_breakdown_no_baseline,11.801948198970372,,,12.882140725690183,2.41703547982592,,,1,full_osl32k_qwen235b_pard_k11
SWE OSL32K,full,Qwen/Qwen3-235B-A22B,Lyris,4,PARD-2 K1,live_only,8.325,8.15,1.0214723926380367,25.4,1.25,2109557,RUNNING,0,live telemetry only: no final breakdown.json yet
SWE OSL32K,full,Qwen/Qwen3-235B-A22B,Lyris,4,PARD-2 K9,final_breakdown_no_baseline,7.1029852556651605,,,1.829029299418395,1.1646126369476555,,,1,full_osl32k_qwen235b_pard2_k9
SWE OSL32K,full,Qwen/Qwen3-235B-A22B,Lyris,4,PARD-2 K11,final_breakdown_no_baseline,7.298968469364517,,,1.6838396443409736,1.185222360877507,,,1,full_osl32k_qwen235b_pard2_k11
SWE OSL32K,full,Qwen/Qwen3-235B-A22B,Lyris,4,Eagle-3 K3,final_spec_vs_live_baseline,15.624454287999786,8.15,1.9171109555827957,46.47365056169514,2.3942095168508537,,,,provisional: final spec breakdown / live baseline telemetry
SWE OSL32K,full,Qwen/Qwen3-235B-A22B,Lyris,4,Eagle-3 K9,final_breakdown_no_baseline,16.379069988945393,,,17.035920364035398,2.533232832763186,,,1,full_osl32k_qwen235b_eagle3_k9
SWE OSL32K,full,Qwen/Qwen3-235B-A22B,Lyris,4,Eagle-3 K11,final_breakdown_no_baseline,14.246350629011957,,,12.411637807288804,2.3652801588017685,,,1,full_osl32k_qwen235b_eagle3_k11
SWE OSL32K,full,Qwen/Qwen3-235B-A22B,Lyris,8,Suffix K8,final_breakdown_no_baseline,56.811913846566945,,,81.41009335575795,5.549669014682169,,,1,full_osl32k_qwen235b_suffix_k8
SWE OSL32K,full,Qwen/Qwen3-235B-A22B,Lyris,8,Suffix K16,final_breakdown_no_baseline,62.96145285750576,,,81.19485775849517,6.835766232407262,,,1,full_osl32k_qwen235b_suffix_k16
SWE OSL32K,full,Qwen/Qwen3-235B-A22B,Lyris,8,Suffix K32,final_spec_vs_live_baseline,63.64152749887743,16.4,3.8805809450535023,81.19485775849517,6.835766232407262,,,,provisional: final spec breakdown / live baseline telemetry
SWE OSL32K,full,Qwen/Qwen3-235B-A22B,Lyris,8,PARD K5,live_only,18.325,16.4,1.1173780487804879,21.6,2.08,2109563,RUNNING,0,live telemetry only: no final breakdown.json yet
SWE OSL32K,full,Qwen/Qwen3-235B-A22B,Lyris,8,PARD K9,final_breakdown_no_baseline,19.978514633349025,,,18.12369519832985,2.631132567849687,,,1,full_osl32k_qwen235b_pard_k9
SWE OSL32K,full,Qwen/Qwen3-235B-A22B,Lyris,8,PARD K11,final_breakdown_no_baseline,19.739432176214272,,,13.913541016723663,2.530489511839603,,,1,full_osl32k_qwen235b_pard_k11
SWE OSL32K,full,Qwen/Qwen3-235B-A22B,Lyris,8,PARD-2 K1,live_only,21.825,16.4,1.3307926829268293,63.2,1.63,2109564,RUNNING,0,live telemetry only: no final breakdown.json yet
SWE OSL32K,full,Qwen/Qwen3-235B-A22B,Lyris,8,PARD-2 K9,final_breakdown_no_baseline,13.56201789880469,,,3.3148809455018933,1.2983392850951705,,,1,full_osl32k_qwen235b_pard2_k9
SWE OSL32K,full,Qwen/Qwen3-235B-A22B,Lyris,8,PARD-2 K11,final_breakdown_no_baseline,13.592827685697895,,,2.7703947040963612,1.3047434174505999,,,1,full_osl32k_qwen235b_pard2_k11
SWE OSL32K,full,Qwen/Qwen3-235B-A22B,Lyris,8,Eagle-3 K3,final_spec_vs_live_baseline,29.849107586033213,16.4,1.8200675357337326,54.28720406710319,2.6286161220130957,,,,provisional: final spec breakdown / live baseline telemetry
SWE OSL32K,full,Qwen/Qwen3-235B-A22B,Lyris,8,Eagle-3 K9,final_breakdown_no_baseline,30.440258326710083,,,18.855097612890983,2.6969587851601884,,,1,full_osl32k_qwen235b_eagle3_k9
SWE OSL32K,full,Qwen/Qwen3-235B-A22B,Lyris,8,Eagle-3 K11,final_breakdown_no_baseline,27.98347504004081,,,15.104750266282949,2.6615225292911244,,,1,full_osl32k_qwen235b_eagle3_k11
SWE OSL32K,full,Qwen/Qwen3-235B-A22B,Lyris,16,Suffix K8,final_breakdown_no_baseline,90.79503343293588,,,75.5866250038183,5.087678554076377,,,1,full_osl32k_qwen235b_suffix_k8
SWE OSL32K,full,Qwen/Qwen3-235B-A22B,Lyris,16,Suffix K16,final_breakdown_no_baseline,109.24074242909217,,,81.08209516593588,6.866966580976864,,,1,full_osl32k_qwen235b_suffix_k16
SWE OSL32K,full,Qwen/Qwen3-235B-A22B,Lyris,16,Suffix K32,final_spec_vs_live_baseline,110.07211626064351,32.2,3.4183887037466927,81.08209516593588,6.866966580976864,,,,provisional: final spec breakdown / live baseline telemetry
SWE OSL32K,full,Qwen/Qwen3-235B-A22B,Lyris,16,PARD K5,live_only,20.275,32.2,0.6296583850931676,8.2,1.41,2109572,RUNNING,0,live telemetry only: no final breakdown.json yet
SWE OSL32K,full,Qwen/Qwen3-235B-A22B,Lyris,16,PARD K9,final_breakdown_no_baseline,29.51311020589426,,,10.425950573466102,1.9383355516119491,,,1,full_osl32k_qwen235b_pard_k9
SWE OSL32K,full,Qwen/Qwen3-235B-A22B,Lyris,16,PARD K11,final_breakdown_no_baseline,35.13728722094467,,,10.833933799720898,2.1917327179692987,,,1,full_osl32k_qwen235b_pard_k11
SWE OSL32K,full,Qwen/Qwen3-235B-A22B,Lyris,16,PARD-2 K1,live_only,42.2,32.2,1.31055900621118,59.9,1.6,2109574,RUNNING,0,live telemetry only: no final breakdown.json yet
SWE OSL32K,full,Qwen/Qwen3-235B-A22B,Lyris,16,PARD-2 K9,final_breakdown_no_baseline,25.37832442458432,,,2.064677910999829,1.1858210119899846,,,1,full_osl32k_qwen235b_pard2_k9
SWE OSL32K,full,Qwen/Qwen3-235B-A22B,Lyris,16,PARD-2 K11,final_breakdown_no_baseline,25.51416791174551,,,1.7806157182484443,1.195867729007329,,,1,full_osl32k_qwen235b_pard2_k11
SWE OSL32K,full,Qwen/Qwen3-235B-A22B,Lyris,16,Eagle-3 K3,final_spec_vs_live_baseline,63.41951850729513,32.2,1.969550264201712,57.29432975345327,2.7188298926035976,,,,provisional: final spec breakdown / live baseline telemetry
SWE OSL32K,full,Qwen/Qwen3-235B-A22B,Lyris,16,Eagle-3 K9,final_breakdown_no_baseline,66.08095071534132,,,20.026249992576357,2.8023624993318723,,,1,full_osl32k_qwen235b_eagle3_k9
SWE OSL32K,full,Qwen/Qwen3-235B-A22B,Lyris,16,Eagle-3 K11,final_breakdown_no_baseline,60.847495209421496,,,16.574830401524206,2.823231344167663,,,1,full_osl32k_qwen235b_eagle3_k11
SWE OSL32K,full,Qwen/Qwen3-235B-A22B,Lyris,32,Suffix K8,final_breakdown_no_baseline,101.19115893698067,,,72.67668927840856,4.9049162210004775,,,1,full_osl32k_qwen235b_suffix_k8
SWE OSL32K,full,Qwen/Qwen3-235B-A22B,Lyris,32,Suffix K16,final_breakdown_no_baseline,220.88396856482092,,,78.85689859383208,6.46431348349275,,,1,full_osl32k_qwen235b_suffix_k16
