source,job_id,model,method,shape,batch_size,output_tok_s_per_gpu,speedup_vs_final_baseline,acceptance_pct,mean_acceptance_length,latest_generation_tok_s,matching_live_baseline_tok_s,provisional_live_speedup,live_acceptance_pct,live_mean_acceptance_length,label
final_breakdown,,Qwen/Qwen3-8B,Eagle-3 K3,n4 ISL4096/OSL16384 BS1,1,98.81073372624179,2.662306432419401,72.97709428330414,3.189312828499124,,,,,,verified_osl16k_qwen8_eagle3_k3
final_breakdown,,Qwen/Qwen3-8B,baseline,n4 ISL4096/OSL16384 BS2,2,74.88371446525949,1.0,,,,,,,,verified_osl16k_qwen8_baseline
final_breakdown,,Qwen/Qwen3-8B,suffix K32,n4 ISL4096/OSL16384 BS2,2,650.01103291721,8.680272306988284,92.00583218361972,9.640312131919906,,,,,,verified_osl16k_qwen8_suffix_k32
final_breakdown,,Qwen/Qwen3-8B,PARD-2 draft K5,n4 ISL4096/OSL16384 BS2,2,53.078211876792736,0.7088084806666088,9.642429039918579,1.482121451995929,,,,,,verified_osl16k_qwen8_pard2_k5
final_breakdown,,Qwen/Qwen3-8B,Eagle-3 K3,n4 ISL4096/OSL16384 BS2,2,177.96774521931334,2.37658810717619,71.97210707284938,3.1591632121854816,,,,,,verified_osl16k_qwen8_eagle3_k3
final_breakdown,,Qwen/Qwen3-8B,baseline,n4 ISL4096/OSL32768 BS1,1,37.28552818700926,1.0,,,,,,,,full_osl32k_qwen8_baseline
final_breakdown,,Qwen/Qwen3-8B,suffix K32,n4 ISL4096/OSL32768 BS1,1,271.8356532059687,7.290647777404414,94.32997164583064,9.658410351201479,,,,,,full_osl32k_qwen8_suffix_k32
final_breakdown,,Qwen/Qwen3-8B,suffix K5,n4 ISL4096/OSL32768 BS1,1,149.991498111337,3.972389165602076,96.52067315059357,5.5174232197097535,,,,,,qwen8_suffix_k5
final_breakdown,,Qwen/Qwen3-8B,PARD-2 draft K11,n4 ISL4096/OSL32768 BS1,1,18.13266506234193,0.48022723383742266,1.807638163042493,1.1988401979346743,,,,,,qwen8_pard2_k11
final_breakdown,,Qwen/Qwen3-8B,PARD-2 draft K5,n4 ISL4096/OSL32768 BS1,1,17.898900249167173,0.4800495291200775,4.1691330364469525,1.2084566518223476,,,,,,full_osl32k_qwen8_pard2_k5
final_breakdown,,Qwen/Qwen3-8B,PARD-2 draft K9,n4 ISL4096/OSL32768 BS1,1,18.010633688923704,0.4769953432853977,2.202029251366936,1.1981826326230243,,,,,,qwen8_pard2_k9
final_breakdown,,Qwen/Qwen3-8B,Eagle-3 K11,n4 ISL4096/OSL32768 BS1,1,71.67479969501741,1.8982422426625913,21.802389987507954,3.398262898625875,,,,,,qwen8_eagle3_k11
final_breakdown,,Qwen/Qwen3-8B,Eagle-3 K3,n4 ISL4096/OSL32768 BS1,1,65.18368998209168,1.7482302960858278,55.571156285398395,2.667134688561952,,,,,,full_osl32k_qwen8_eagle3_k3
final_breakdown,,Qwen/Qwen3-8B,Eagle-3 K5,n4 ISL4096/OSL32768 BS1,1,75.30867247411331,1.9944820765106523,44.062072336265885,3.2031036168132943,,,,,,qwen8_eagle3_k5
final_breakdown,,Qwen/Qwen3-8B,Eagle-3 K9,n4 ISL4096/OSL32768 BS1,1,73.52175624770899,1.9471572164553308,26.404201728776687,3.376378155589902,,,,,,qwen8_eagle3_k9
final_breakdown,,Qwen/Qwen3-8B,baseline,n4 ISL4096/OSL32768 BS2,2,75.02894222084079,1.0,,,,,,,,full_osl32k_qwen8_baseline
final_breakdown,,Qwen/Qwen3-8B,suffix K32,n4 ISL4096/OSL32768 BS2,2,475.80707262122775,6.341647083611194,92.72645577303578,9.819824548249231,,,,,,full_osl32k_qwen8_suffix_k32
final_breakdown,,Qwen/Qwen3-8B,suffix K5,n4 ISL4096/OSL32768 BS2,2,248.058112010125,3.292617803465869,91.05487260490351,5.275211608222491,,,,,,qwen8_suffix_k5
final_breakdown,,Qwen/Qwen3-8B,PARD-2 draft K11,n4 ISL4096/OSL32768 BS2,2,32.136980147919715,0.4265725967484208,2.1299073093515077,1.2342898040286658,,,,,,qwen8_pard2_k11
final_breakdown,,Qwen/Qwen3-8B,PARD-2 draft K5,n4 ISL4096/OSL32768 BS2,2,33.523019081397024,0.44680116884395227,3.7806061815641696,1.1890303090782086,,,,,,full_osl32k_qwen8_pard2_k5
final_breakdown,,Qwen/Qwen3-8B,PARD-2 draft K9,n4 ISL4096/OSL32768 BS2,2,31.977378630683116,0.42445411413620154,2.5932826847512636,1.2333954416276138,,,,,,qwen8_pard2_k9
final_breakdown,,Qwen/Qwen3-8B,Eagle-3 K11,n4 ISL4096/OSL32768 BS2,2,112.18819818206424,1.489138394546615,21.85189382135471,3.4037083203490184,,,,,,qwen8_eagle3_k11
final_breakdown,,Qwen/Qwen3-8B,Eagle-3 K3,n4 ISL4096/OSL32768 BS2,2,117.2464863100658,1.5626834504071982,57.47699811550826,2.724309943465248,,,,,,full_osl32k_qwen8_eagle3_k3
final_breakdown,,Qwen/Qwen3-8B,Eagle-3 K5,n4 ISL4096/OSL32768 BS2,2,121.51180326606097,1.6128959602367041,44.11799236865278,3.2058996184326385,,,,,,qwen8_eagle3_k5
final_breakdown,,Qwen/Qwen3-8B,Eagle-3 K9,n4 ISL4096/OSL32768 BS2,2,115.38020097234525,1.5315076810449457,26.414548744420678,3.377309386997861,,,,,,qwen8_eagle3_k9
final_breakdown,,Qwen/Qwen3-8B,baseline,n4 ISL4096/OSL32768 BS4,4,152.92370500703157,1.0,,,,,,,,qwen8_baseline
final_breakdown,,Qwen/Qwen3-8B,suffix K5,n4 ISL4096/OSL32768 BS4,4,505.83816961287664,3.307781286031605,94.24512042553563,5.618435155412647,,,,,,qwen8_suffix_k5
final_breakdown,,Qwen/Qwen3-8B,Eagle-3 K11,n4 ISL4096/OSL32768 BS4,4,211.52835596501222,1.3832280348902477,21.857519639395434,3.404327160333498,,,,,,qwen8_eagle3_k11
final_breakdown,,Qwen/Qwen3-8B,Eagle-3 K3,n4 ISL4096/OSL32768 BS4,4,227.10522332132834,1.4850884191622602,63.095553397486825,2.892866601924605,,,,,,qwen8_eagle3_k3
