model,dispatcher,scope,router_replay,status,failure,exit_code,mode,cluster,profile,phase,steps,step,repeat,run_group,job_id,e2e_step_time,e2e_tokens_per_sec_per_gpu,generation_time,generation_tokens_per_sec_per_gpu,policy_training_time,policy_training_tokens_per_sec_per_gpu,logprob_time,logprob_tokens_per_sec_per_gpu,graph_telemetry_status,capture_count,replay_count,cache_hits,cache_misses,cache_evictions,fallback_count,graph_calls,eligible_calls,graph_coverage,logical_tokens,padded_tokens,capacity_tokens,capacity_utilization,padding_utilization,reward,policy_loss,gen_kl_error,token_mult_prob_error,policy_kl_error,js_divergence_error,sampling_importance_ratio,num_masked_seqs_by_logprob_error,router_topk_parity,expert_count_parity,parameter_delta_parity,parameter_delta_max_abs_error,parameter_delta_max_rel_error,grad_norm,nan_inf_status,nemo_rl_commit,bridge_commit,mcore_commit,te_commit,te_version,container_sha256
nano,hybridep,attn,off,completed,,,nemorl,oci-hsg,direct-4n4g,performance,20,11,1,nano-ep8-v2,5893775,40.513699722941965,66.33712838815597,27.14118386199698,99.02156492750188,4.415184353012592,608.7090107950324,3.281198118114844,819.0796176440857,reported,1.0,1.0,0.0,1.0,0.0,0.0,36.0,36.0,1.0,43001.0,43064.0,49152.0,0.8748575846354166,0.9985370611183355,0.0,3.6175142255956416e-05,0.002229011019153404,1.041773580480367,0.002367520322877681,0.000562203046229115,0.9997508502565324,0.0,,,,,,0.026357289403676987,clear,2bc7389cb4834c556f4418d12ad2e6e86da0f46a,0142aebf95c49d9137de52a9e7a4fc098a0a6a56,2812006062d10e04141180a4291b663ef2edff7e,04a76c84423d9a4eb2f2010ef6692e347326cc00,2.19.0.dev0+04a76c84,0f82ea5319d53ec37fca894a6efb5549c2990c1efa62415dff5578929a86ccc0
nano,hybridep,attn,off,completed,,,nemorl,oci-hsg,direct-4n4g,performance,20,12,1,nano-ep8-v2,5893775,45.135866096941754,70.73365986027508,27.857593866996467,114.60519581277894,4.5991130280308425,694.1827653596405,3.7423857951071113,853.0988451736102,reported,1.0,1.0,0.0,1.0,0.0,0.0,48.0,48.0,1.0,51082.0,51136.0,65536.0,0.779449462890625,0.9989439924906133,0.125,0.2884452909929678,0.0021421478186312015,1.0395365578879137,0.002246420222490997,0.0005301482372033206,0.9997835957037751,0.0,,,,,,0.8410024642944336,clear,2bc7389cb4834c556f4418d12ad2e6e86da0f46a,0142aebf95c49d9137de52a9e7a4fc098a0a6a56,2812006062d10e04141180a4291b663ef2edff7e,04a76c84423d9a4eb2f2010ef6692e347326cc00,2.19.0.dev0+04a76c84,0f82ea5319d53ec37fca894a6efb5549c2990c1efa62415dff5578929a86ccc0
nano,hybridep,attn,off,completed,,,nemorl,oci-hsg,direct-4n4g,performance,20,13,1,nano-ep8-v2,5893775,47.25878925900906,67.19781758680182,29.91613058000803,106.15301639718767,4.311426559928805,736.5746478243249,3.727869204012677,851.8773932791663,reported,1.0,1.0,0.0,1.0,0.0,0.0,48.0,48.0,1.0,50811.0,50848.0,65536.0,0.7753143310546875,0.9992723410950283,0.0,7.13522625233054e-05,0.0025223926422768272,1.0592799608130008,0.018853975256206468,0.0006860552548459964,0.9997412527445704,0.0,,,,,,0.03846105560660362,clear,2bc7389cb4834c556f4418d12ad2e6e86da0f46a,0142aebf95c49d9137de52a9e7a4fc098a0a6a56,2812006062d10e04141180a4291b663ef2edff7e,04a76c84423d9a4eb2f2010ef6692e347326cc00,2.19.0.dev0+04a76c84,0f82ea5319d53ec37fca894a6efb5549c2990c1efa62415dff5578929a86ccc0
nano,hybridep,attn,off,completed,,,nemorl,oci-hsg,direct-4n4g,performance,20,14,1,nano-ep8-v2,5893775,44.20188512606546,68.43882317173188,26.324976454954594,114.91463269402638,5.0049153049476445,604.4308076521278,3.623792844824493,834.79523514168,reported,1.0,1.0,0.0,1.0,0.0,0.0,48.0,48.0,1.0,48402.0,48456.0,65536.0,0.738555908203125,0.9988855869242199,0.0,0.00012842260355583335,0.002887388490705689,1.042428491928149,0.003649397292008416,0.0007534991470237173,0.9996156465786044,0.0,,,,,,0.05768376961350441,clear,2bc7389cb4834c556f4418d12ad2e6e86da0f46a,0142aebf95c49d9137de52a9e7a4fc098a0a6a56,2812006062d10e04141180a4291b663ef2edff7e,04a76c84423d9a4eb2f2010ef6692e347326cc00,2.19.0.dev0+04a76c84,0f82ea5319d53ec37fca894a6efb5549c2990c1efa62415dff5578929a86ccc0
nano,hybridep,attn,off,completed,,,nemorl,oci-hsg,direct-4n4g,performance,20,15,1,nano-ep8-v2,5893775,43.66787410201505,51.41365468708263,26.542285894975066,84.58672357323385,4.572380342055112,491.0188637087223,3.268080495065078,686.9858326287316,reported,1.0,1.0,0.0,1.0,0.0,0.0,36.0,36.0,1.0,35922.0,35984.0,49152.0,0.7308349609375,0.9982770120053357,0.0,0.000218892061617737,0.0022054657556509483,1.0414619080693228,0.002389298633488579,0.0005612528107121761,0.9995022664079443,0.0,,,,,,0.07255584746599197,clear,2bc7389cb4834c556f4418d12ad2e6e86da0f46a,0142aebf95c49d9137de52a9e7a4fc098a0a6a56,2812006062d10e04141180a4291b663ef2edff7e,04a76c84423d9a4eb2f2010ef6692e347326cc00,2.19.0.dev0+04a76c84,0f82ea5319d53ec37fca894a6efb5549c2990c1efa62415dff5578929a86ccc0
nano,hybridep,attn,off,completed,,,nemorl,oci-hsg,direct-4n4g,performance,20,16,1,nano-ep8-v2,5893775,44.049613035982475,67.29485903947815,27.03617098997347,109.64246753356211,4.1101562939584255,721.2164910510296,3.363304686965421,881.3690033758387,reported,1.0,1.0,0.0,1.0,0.0,0.0,36.0,36.0,1.0,47429.0,47480.0,49152.0,0.9649454752604166,0.9989258635214827,0.0625,0.043154719927997576,0.0024475425962009467,1.0444528739899397,0.002743809196545044,0.0006275908554016496,0.9995155958458781,0.0,,,,,,0.3004135191440582,clear,2bc7389cb4834c556f4418d12ad2e6e86da0f46a,0142aebf95c49d9137de52a9e7a4fc098a0a6a56,2812006062d10e04141180a4291b663ef2edff7e,04a76c84423d9a4eb2f2010ef6692e347326cc00,2.19.0.dev0+04a76c84,0f82ea5319d53ec37fca894a6efb5549c2990c1efa62415dff5578929a86ccc0
nano,hybridep,attn,off,completed,,,nemorl,oci-hsg,direct-4n4g,performance,20,17,1,nano-ep8-v2,5893775,47.824837896972895,85.76087615468127,29.704534832853824,138.07656046724748,5.40575177106075,758.7288824390799,3.7094476399943233,1105.6902261616171,reported,1.0,1.0,0.0,1.0,0.0,0.0,60.0,60.0,1.0,65624.0,65664.0,81920.0,0.80107421875,0.9993908382066277,0.0,0.00023089703017831198,0.0021475246467161924,1.0394666381180286,0.0023901020576886367,0.0005384472560763243,0.9999028528109193,0.0,,,,,,0.04021180421113968,clear,2bc7389cb4834c556f4418d12ad2e6e86da0f46a,0142aebf95c49d9137de52a9e7a4fc098a0a6a56,2812006062d10e04141180a4291b663ef2edff7e,04a76c84423d9a4eb2f2010ef6692e347326cc00,2.19.0.dev0+04a76c84,0f82ea5319d53ec37fca894a6efb5549c2990c1efa62415dff5578929a86ccc0
nano,hybridep,attn,off,completed,,,nemorl,oci-hsg,direct-4n4g,performance,20,18,1,nano-ep8-v2,5893775,43.338326999917626,58.41971011028673,25.962385484948754,97.51848502009858,4.32442252477631,585.4683453095193,3.1871873380150646,794.3720376276273,reported,1.0,1.0,0.0,1.0,0.0,0.0,36.0,36.0,1.0,40509.0,40560.0,49152.0,0.82415771484375,0.9987426035502959,0.25,-0.19439899548888206,0.0020120255285291933,1.2869767430238426,0.2514530611488226,0.0005582989936101512,1.0000756559893489,0.0,,,,,,1.1199853420257568,clear,2bc7389cb4834c556f4418d12ad2e6e86da0f46a,0142aebf95c49d9137de52a9e7a4fc098a0a6a56,2812006062d10e04141180a4291b663ef2edff7e,04a76c84423d9a4eb2f2010ef6692e347326cc00,2.19.0.dev0+04a76c84,0f82ea5319d53ec37fca894a6efb5549c2990c1efa62415dff5578929a86ccc0
nano,hybridep,attn,off,completed,,,nemorl,oci-hsg,direct-4n4g,performance,20,19,1,nano-ep8-v2,5893775,49.899361674906686,68.92372736963337,28.80128892697394,119.41305851693879,4.796839559916407,716.9824958790023,5.810248663881794,591.9281942921625,reported,1.0,1.0,0.0,1.0,0.0,0.0,48.0,48.0,1.0,55028.0,55072.0,65536.0,0.83966064453125,0.9992010459035444,0.0,0.000256853930750367,0.0023193612978502642,1.0402456019073725,0.0025890281231113477,0.0005850480492881616,0.9998582568950951,0.0,,,,,,0.03425169736146927,clear,2bc7389cb4834c556f4418d12ad2e6e86da0f46a,0142aebf95c49d9137de52a9e7a4fc098a0a6a56,2812006062d10e04141180a4291b663ef2edff7e,04a76c84423d9a4eb2f2010ef6692e347326cc00,2.19.0.dev0+04a76c84,0f82ea5319d53ec37fca894a6efb5549c2990c1efa62415dff5578929a86ccc0
nano,hybridep,attn,off,completed,,,nemorl,oci-hsg,direct-4n4g,performance,20,20,1,nano-ep8-v2,5893775,92.24195906193927,35.1487276828424,29.851473732851446,108.61063440335221,4.4205008840654045,733.4434682927279,3.505008848151192,925.0154965258293,reported,1.0,1.0,0.0,1.0,0.0,0.0,48.0,48.0,1.0,51875.0,51928.0,65536.0,0.7915496826171875,0.9989793560314282,0.1875,0.03542555961757898,0.002074391379210283,1.0366125907748938,0.002202229401518707,0.0005225370259722695,1.000005854293704,0.0,,,,,,1.0125725269317627,clear,2bc7389cb4834c556f4418d12ad2e6e86da0f46a,0142aebf95c49d9137de52a9e7a4fc098a0a6a56,2812006062d10e04141180a4291b663ef2edff7e,04a76c84423d9a4eb2f2010ef6692e347326cc00,2.19.0.dev0+04a76c84,0f82ea5319d53ec37fca894a6efb5549c2990c1efa62415dff5578929a86ccc0
