model,bench,variant,k,sample_method,tp,tag,step,num_sequences,wall_s,output_tok_s,len_p50,len_p90,len_max,total_tokens,mean_acceptance_length
Qwen3-235B-A22B,openmath,fixed_k3,3,greedy,4,qwen3_235b_openmath_rollout_fixed_k3_20260712,1,64,386.06561988801695,1040.442296095964,6216,8192,8192,401679,2.573351701159736
Qwen3-235B-A22B,openmath,fixed_k3,3,greedy,4,qwen3_235b_openmath_rollout_fixed_k3_20260712,2,64,406.89832905796356,1181.8161089855391,8192,8192,8192,480879,2.3781881667515687
Qwen3-235B-A22B,openmath,fixed_k3,3,greedy,4,qwen3_235b_openmath_rollout_fixed_k3_20260712,3,64,474.4452317369869,1074.7794811492195,8192,8192,8192,509924,2.150504211249963
Qwen3-235B-A22B,swe_verified,baseline,0,-,4,qwen3_235b_swe_verified_rollout_baseline_20260712,0,64,158.4353478201665,2429.5399056838796,6833,8192,8192,384925,
Qwen3-235B-A22B,swe_verified,baseline,0,-,4,qwen3_235b_swe_verified_rollout_baseline_20260712,1,64,107.1804583510384,1971.637397816303,3157,5280,6491,211321,
Qwen3-235B-A22B,swe_verified,baseline,0,-,4,qwen3_235b_swe_verified_rollout_baseline_20260712,2,64,154.69926118198782,2163.074325263563,5048,8192,8192,334626,
Qwen3-235B-A22B,swe_verified,baseline,0,-,4,qwen3_235b_swe_verified_rollout_baseline_20260712,3,64,149.82357038906775,2341.494059239145,5499,8192,8192,350811,
Qwen3-235B-A22B,swe_verified,dynamic,5,greedy,4,qwen3_235b_swe_verified_rollout_dynamic_20260712,0,64,557.761722123003,752.2961568658262,7047,8192,8192,419602,1.5586950296584168
Qwen3-235B-A22B,swe_verified,dynamic,5,greedy,4,qwen3_235b_swe_verified_rollout_dynamic_20260712,1,64,278.4295944320038,789.510182810986,3262,5586,8192,219823,1.6883705186025906
Qwen3-235B-A22B,swe_verified,dynamic,5,greedy,4,qwen3_235b_swe_verified_rollout_dynamic_20260712,2,64,535.159189138998,585.4071206439278,4737,8192,8192,313286,1.6044329178692487
Qwen3-235B-A22B,swe_verified,dynamic,5,greedy,4,qwen3_235b_swe_verified_rollout_dynamic_20260712,3,64,544.8768877219991,628.1198702166606,5863,8192,8192,342248,1.5962102205918212
Qwen3-235B-A22B,swe_verified,fixed_k3,3,greedy,4,qwen3_235b_swe_verified_rollout_fixed_k3_20260712,0,64,504.571868646075,810.8121467369531,7491,8192,8192,409113,1.9789031168818605
Qwen3-235B-A22B,swe_verified,fixed_k3,3,greedy,4,qwen3_235b_swe_verified_rollout_fixed_k3_20260712,1,64,275.61534455395304,769.913592232746,3095,5291,8192,212200,2.0667056359296607
Qwen3-235B-A22B,swe_verified,fixed_k3,3,greedy,4,qwen3_235b_swe_verified_rollout_fixed_k3_20260712,2,64,528.9404717630241,617.9958189065368,4790,8192,8192,326883,1.8738604960497196
Qwen3-235B-A22B,swe_verified,fixed_k3,3,greedy,4,qwen3_235b_swe_verified_rollout_fixed_k3_20260712,3,64,513.5629151930334,666.0858677294158,6071,8192,8192,342077,1.9467468082805413
Qwen3-30B-A3B (40K),openmath,baseline,0,-,2,qwen3_30ba3b_40k_openmath_rollout_baseline_20260712,0,128,105.64093713089824,8860.334122558927,7506,11057,12160,936014,
Qwen3-30B-A3B (40K),openmath,baseline,0,-,2,qwen3_30ba3b_40k_openmath_rollout_baseline_20260712,1,128,206.19394831405953,6632.9250260869285,10209,19836,24036,1367669,
Qwen3-30B-A3B (40K),openmath,dynamic,5,greedy,2,qwen3_30ba3b_40k_openmath_rollout_dynamic_20260712,0,128,144.22066355199786,6362.091099859521,7197,10878,13040,917545,2.3468992545522456
Qwen3-30B-A3B (40K),openmath,dynamic,5,greedy,2,qwen3_30ba3b_40k_openmath_rollout_dynamic_20260712,1,128,347.325237594021,3933.3450383955555,10018,18747,25428,1366150,1.8975795831504314
Qwen3-30B-A3B (40K),openmath,fixed_k3,3,greedy,2,qwen3_30ba3b_40k_openmath_rollout_fixed_k3_20260712,0,128,77.06922785099596,11930.935674842332,7618,10844,13028,919508,2.471418394914047
Qwen3-30B-A3B (40K),openmath,fixed_k3,3,greedy,2,qwen3_30ba3b_40k_openmath_rollout_fixed_k3_20260712,1,128,185.8332143590087,7427.4451139476205,10060,20243,26214,1380266,1.9640668626742224
Qwen3-30B-A3B,dapo,baseline,0,-,1,qwen3_30ba3b_dapo_rollout_baseline_20260712b,0,128,54.034352343995124,9702.864515933528,4096,4096,4096,524288,
Qwen3-30B-A3B,dapo,baseline,0,-,1,qwen3_30ba3b_dapo_rollout_baseline_20260712b,1,128,54.20663680200232,9672.025990378977,4096,4096,4096,524288,
Qwen3-30B-A3B,dapo,baseline,0,-,1,qwen3_30ba3b_dapo_rollout_baseline_20260712b,2,128,53.71850946499035,9759.91339338429,4096,4096,4096,524288,
Qwen3-30B-A3B,dapo,baseline,0,-,1,qwen3_30ba3b_dapo_rollout_baseline_20260712b,3,128,55.12392078799894,9493.664320661566,4096,4096,4096,523328,
Qwen3-30B-A3B,dapo,dynamic,5,greedy,1,qwen3_30ba3b_dapo_rollout_dynamic_20260712b,0,128,32.063801209034864,16351.398780886508,4096,4096,4096,524288,2.868625477302815
Qwen3-30B-A3B,dapo,dynamic,5,greedy,1,qwen3_30ba3b_dapo_rollout_dynamic_20260712b,1,128,31.944062474009115,16412.690165084055,4096,4096,4096,524288,2.8960931373090473
Qwen3-30B-A3B,dapo,dynamic,5,greedy,1,qwen3_30ba3b_dapo_rollout_dynamic_20260712b,2,128,31.55974125402281,16612.556984546598,4096,4096,4096,524288,2.8309038687873196
Qwen3-30B-A3B,dapo,dynamic,5,greedy,1,qwen3_30ba3b_dapo_rollout_dynamic_20260712b,3,128,31.15404293301981,16823.88385760612,4096,4096,4096,524132,2.9225755370813333
Qwen3-30B-A3B,dapo,fixed_k3,3,greedy,1,qwen3_30ba3b_dapo_rollout_fixed_k3_20260712b,0,128,29.58709326799726,17720.159099477798,4096,4096,4096,524288,2.8545568379790938
Qwen3-30B-A3B,dapo,fixed_k3,3,greedy,1,qwen3_30ba3b_dapo_rollout_fixed_k3_20260712b,1,128,29.353145511995535,17861.390691016164,4096,4096,4096,524288,2.869678725849707
