model,bench,variant,k,sample_method,tp,tag,step,finished_s,output_tokens
Nemotron3-Super-120B (FP8),openmath,fixed_k3,3,greedy,4,nemotron3_super_openmath_rollout_fixed_k3_20260713,2,8.498822062996624,23812
Nemotron3-Super-120B (FP8),openmath,fixed_k3,3,greedy,4,nemotron3_super_openmath_rollout_fixed_k3_20260713,3,23.473231157004193,93628
Nemotron3-Super-120B (FP8),openmath,fixed_k3,3,greedy,4,nemotron3_super_openmath_rollout_fixed_k3_20260713,3,24.03482092700142,130341
Nemotron3-Super-120B (FP8),openmath,fixed_k3,3,greedy,4,nemotron3_super_openmath_rollout_fixed_k3_20260713,3,4.027624059999653,8778
Nemotron3-Super-120B (FP8),openmath,fixed_k3,3,greedy,4,nemotron3_super_openmath_rollout_fixed_k3_20260713,3,12.56324972800212,21540
Nemotron3-Super-120B (FP8),swe_verified,baseline,0,-,4,nemotron3_super_swe_verified_rollout_baseline_20260713,0,47.77558127400698,131072
Nemotron3-Super-120B (FP8),swe_verified,baseline,0,-,4,nemotron3_super_swe_verified_rollout_baseline_20260713,0,47.79844544100342,131072
Nemotron3-Super-120B (FP8),swe_verified,baseline,0,-,4,nemotron3_super_swe_verified_rollout_baseline_20260713,0,47.81860969100671,111663
Nemotron3-Super-120B (FP8),swe_verified,baseline,0,-,4,nemotron3_super_swe_verified_rollout_baseline_20260713,0,47.84361662000447,131072
Nemotron3-Super-120B (FP8),swe_verified,baseline,0,-,4,nemotron3_super_swe_verified_rollout_baseline_20260713,1,49.05598833399563,127911
Nemotron3-Super-120B (FP8),swe_verified,baseline,0,-,4,nemotron3_super_swe_verified_rollout_baseline_20260713,1,49.0954058310017,131072
Nemotron3-Super-120B (FP8),swe_verified,baseline,0,-,4,nemotron3_super_swe_verified_rollout_baseline_20260713,1,49.1124764289998,121090
Nemotron3-Super-120B (FP8),swe_verified,baseline,0,-,4,nemotron3_super_swe_verified_rollout_baseline_20260713,1,49.11887765899883,131072
Nemotron3-Super-120B (FP8),swe_verified,baseline,0,-,4,nemotron3_super_swe_verified_rollout_baseline_20260713,2,47.87466055299592,128947
Nemotron3-Super-120B (FP8),swe_verified,baseline,0,-,4,nemotron3_super_swe_verified_rollout_baseline_20260713,2,47.904777871997794,109123
Nemotron3-Super-120B (FP8),swe_verified,baseline,0,-,4,nemotron3_super_swe_verified_rollout_baseline_20260713,2,47.9141207749999,129877
Nemotron3-Super-120B (FP8),swe_verified,baseline,0,-,4,nemotron3_super_swe_verified_rollout_baseline_20260713,2,47.928906025998,131072
Nemotron3-Super-120B (FP8),swe_verified,baseline,0,-,4,nemotron3_super_swe_verified_rollout_baseline_20260713,3,48.21427303599921,127266
Nemotron3-Super-120B (FP8),swe_verified,baseline,0,-,4,nemotron3_super_swe_verified_rollout_baseline_20260713,3,48.23461459200189,129956
Nemotron3-Super-120B (FP8),swe_verified,baseline,0,-,4,nemotron3_super_swe_verified_rollout_baseline_20260713,3,48.252153900997655,131072
Nemotron3-Super-120B (FP8),swe_verified,baseline,0,-,4,nemotron3_super_swe_verified_rollout_baseline_20260713,3,48.26487358199665,130348
Nemotron3-Super-120B (FP8),swe_verified,dynamic,3,greedy,4,nemotron3_super_swe_verified_rollout_dynamic_20260713c,0,32.950152255012654,131072
Nemotron3-Super-120B (FP8),swe_verified,dynamic,3,greedy,4,nemotron3_super_swe_verified_rollout_dynamic_20260713c,0,30.543908397026826,130331
Nemotron3-Super-120B (FP8),swe_verified,dynamic,3,greedy,4,nemotron3_super_swe_verified_rollout_dynamic_20260713c,0,32.59908842999721,117859
Nemotron3-Super-120B (FP8),swe_verified,dynamic,3,greedy,4,nemotron3_super_swe_verified_rollout_dynamic_20260713c,0,31.179434645047877,131072
